"species","doy","year","source"
"Viola_odorata",77,1950,"uknc"
"Ilex_aquifolium",153,1951,"uknc"
"Digitalis_purpurea",153,1951,"uknc"
"Lactuca_serriola",202,1951,"uknc"
"Rumex_acetosella",116.6803279,1952,"uknc"
"Trifolium_repens",139.6174863,1952,"uknc"
"Ulmus_glabra",81.77595628,1952,"uknc"
"Plantago_lanceolata",107.704918,1952,"uknc"
"Calluna_vulgaris",184.4945355,1952,"uknc"
"Trifolium_pratense",130.6420765,1952,"uknc"
"Sonchus_oleraceus",135.6284153,1952,"uknc"
"Digitalis_purpurea",154.5765027,1952,"uknc"
"Geum_urbanum",151.5846995,1952,"uknc"
"Rubus_idaeus",132.636612,1952,"uknc"
"Lactuca_serriola",216.4071038,1952,"uknc"
"Syringa_vulgaris",134.6311475,1952,"uknc"
"Syringa_vulgaris",123,1953,"uknc"
"Chenopodium_album",125,1953,"uknc"
"Briza_media",130,1953,"uknc"
"Ulmus_glabra",78,1953,"uknc"
"Plantago_lanceolata",90,1953,"uknc"
"Alopecurus_pratensis",124,1953,"uknc"
"Silene_dioica",136,1953,"uknc"
"Trifolium_pratense",129,1953,"uknc"
"Anagallis_arvensis",172,1953,"uknc"
"Rumex_acetosella",115,1953,"uknc"
"Trifolium_repens",141,1953,"uknc"
"Lactuca_serriola",232,1953,"uknc"
"Sonchus_oleraceus",134,1953,"uknc"
"Digitalis_purpurea",164,1953,"uknc"
"Cynosurus_cristatus",146,1953,"uknc"
"Pastinaca_sativa",206,1953,"uknc"
"Briza_media",156,1954,"uknc"
"Rumex_acetosella",116,1954,"uknc"
"Trifolium_repens",155,1954,"uknc"
"Cichorium_intybus",204,1954,"uknc"
"Aster_novi-belgii",251,1954,"uknc"
"Ribes_rubrum",109,1954,"uknc"
"Phleum_pratense",179,1954,"uknc"
"Lunaria_annua",120,1954,"uknc"
"Solidago_canadensis",227,1954,"uknc"
"Pastinaca_sativa",174,1954,"uknc"
"Silene_dioica",129,1954,"uknc"
"Avena_sativa",180,1954,"uknc"
"Epilobium_parviflorum",194,1954,"uknc"
"Rubus_idaeus",167,1954,"uknc"
"Deschampsia_cespitosa",167,1954,"uknc"
"Ribes_nigrum",120,1954,"uknc"
"Alopecurus_pratensis",128,1954,"uknc"
"Ilex_aquifolium",153,1955,"uknc"
"Cichorium_intybus",197,1955,"uknc"
"Rumex_acetosella",127,1955,"uknc"
"Aster_novi-belgii",215,1955,"uknc"
"Alopecurus_pratensis",122,1955,"uknc"
"Ribes_rubrum",113,1955,"uknc"
"Lactuca_serriola",200,1955,"uknc"
"Brachypodium_pinnatum",171,1955,"uknc"
"Digitalis_purpurea",156,1955,"uknc"
"Silene_latifolia",130,1955,"uknc"
"Solidago_canadensis",223,1955,"uknc"
"Poa_pratensis",110,1955,"uknc"
"Sinapis_alba",148,1955,"uknc"
"Arctium_lappa",202,1955,"uknc"
"Arrhenatherum_elatius",148,1955,"uknc"
"Cynosurus_cristatus",149,1955,"uknc"
"Deschampsia_flexuosa",151,1955,"uknc"
"Epilobium_parviflorum",181,1955,"uknc"
"Myosotis_scorpioides",163,1955,"uknc"
"Festuca_pratensis",169,1955,"uknc"
"Deschampsia_cespitosa",166,1955,"uknc"
"Festuca_rubra",111,1955,"uknc"
"Papaver_somniferum",196,1955,"uknc"
"Poa_trivialis",157,1955,"uknc"
"Ulmus_glabra",95,1955,"uknc"
"Ilex_aquifolium",146.5983607,1956,"uknc"
"Lunaria_annua",82.77322404,1956,"uknc"
"Aster_novi-belgii",232.363388,1956,"uknc"
"Cynosurus_cristatus",139.6174863,1956,"uknc"
"Alopecurus_pratensis",128.647541,1956,"uknc"
"Holcus_lanatus",158.5655738,1956,"uknc"
"Ribes_rubrum",114.6857923,1956,"uknc"
"Lactuca_serriola",251.3114754,1956,"uknc"
