PEP_ID;BBCH;YEAR;DAY
20143;60;1926;98
20155;60;1926;110
20536;60;1926;124
20529;60;1926;156
20532;60;1927;117
20535;60;1927;130
20529;60;1927;146
20529;60;1928;89
20535;60;1928;139
20143;60;1929;115
20534;60;1929;118
20535;60;1929;140
20534;60;1930;116
20535;60;1930;140
20152;60;1930;183
7015;60;1989;102
6490;51;2011;90
6571;31;2011;91
7015;31;2011;91
6561;14;2011;92
6695;14;2011;94
7015;51;2011;94
7015;60;2011;100
6561;31;2011;102
6662;14;2011;105
6695;31;2011;106
6490;60;2011;106
6561;51;2011;108
6571;60;2011;108
6662;31;2011;112
6561;60;2011;117
6695;51;2011;119
6662;51;2011;120
20230;60;2011;121
6662;60;2011;127
6695;60;2011;132
7015;89;2011;175
6490;89;2011;181
7015;100;2011;183
6571;89;2011;188
6490;100;2011;189
6561;89;2011;191
6571;100;2011;193
6561;100;2011;194
6662;89;2011;195
6662;100;2011;198
6561;0;2011;226
6695;89;2011;229
6695;100;2011;230
7015;0;2011;234
6571;0;2011;236
6662;0;2011;237
7015;7;2011;242
6571;7;2011;245
6561;7;2011;250
6662;7;2011;253
6695;0;2011;258
6571;14;2011;265
6695;7;2011;270
6490;0;2011;272
7015;14;2011;276
6490;7;2011;283
6662;14;2012;76
6490;14;2012;81
6533;31;2012;85
6490;51;2012;90
20218;51;2012;90
6533;51;2012;93
6561;14;2012;94
20218;60;2012;95
6589;51;2012;96
6490;60;2012;98
6695;14;2012;101
6662;31;2012;101
6561;51;2012;102
6589;60;2012;104
19380;60;2012;104
6533;60;2012;108
6708;60;2012;109
6571;60;2012;109
6662;51;2012;111
19399;60;2012;113
6695;31;2012;116
6477;60;2012;116
6561;60;2012;119
6695;51;2012;122
6662;60;2012;123
6695;60;2012;129
6450;60;2012;147
20238;100;2012;176
6571;89;2012;179
6450;89;2012;182
6490;100;2012;182
20235;100;2012;183
6561;89;2012;190
6571;100;2012;191
6589;89;2012;192
6533;89;2012;192
6561;100;2012;192
6450;100;2012;192
6708;100;2012;194
6533;100;2012;194
6589;100;2012;197
6662;89;2012;211
6662;100;2012;215
6695;89;2012;223
6695;100;2012;224
6561;0;2012;226
6662;0;2012;236
6533;0;2012;237
6533;7;2012;245
6571;0;2012;248
6561;7;2012;249
6662;7;2012;255
6490;0;2012;256
6571;7;2012;261
6695;0;2012;269
6490;7;2012;274
6695;7;2012;277
6571;14;2012;294
6569;0;2012;297
6533;14;2012;300
6533;31;2013;100
6662;31;2013;105
6533;50;2013;106
6533;51;2013;106
6561;14;2013;108
20488;14;2013;110
6561;31;2013;112
6695;14;2013;113
6662;50;2013;113
6662;51;2013;113
6571;50;2013;114
20488;50;2013;114
6571;51;2013;114
20488;51;2013;114
19380;60;2013;114
6533;60;2013;116
6708;60;2013;116
6561;50;2013;118
6561;51;2013;118
6662;60;2013;120
6695;31;2013;121
6571;60;2013;121
6561;60;2013;126
20488;60;2013;127
6695;50;2013;130
6695;51;2013;130
6695;60;2013;132
6450;60;2013;177
6490;100;2013;182
6561;87;2013;199
6561;89;2013;199
6571;100;2013;199
6533;87;2013;201
6533;89;2013;201
6533;100;2013;203
6561;100;2013;204
6708;100;2013;208
6662;87;2013;213
6662;89;2013;213
6695;87;2013;216
6695;89;2013;216
6695;100;2013;217
6662;100;2013;218
6561;0;2013;226
6662;0;2013;234
6533;0;2013;235
20488;87;2013;237
20488;89;2013;237
20488;100;2013;240
6571;0;2013;243
6662;7;2013;245
6533;7;2013;245
6662;10;2013;245
6533;10;2013;245
6561;7;2013;246
6561;10;2013;246
6571;7;2013;260
6571;10;2013;260
6695;0;2013;279
6695;7;2013;286
6695;10;2013;286
6571;14;2013;297
6662;14;2013;314
6516;31;2014;74
6662;31;2014;76
6516;50;2014;79
6533;31;2014;81
6561;31;2014;83
6571;31;2014;85
6571;50;2014;87
6516;60;2014;89
6533;50;2014;90
6490;60;2014;92
6561;50;2014;94
6533;60;2014;94
6662;50;2014;95
20511;60;2014;95
6708;60;2014;98
20510;60;2014;99
6477;60;2014;101
6571;60;2014;101
20488;60;2014;105
6561;60;2014;105
6662;60;2014;108
6490;50;2014;117
6571;87;2014;178
6490;100;2014;188
6561;87;2014;191
6662;87;2014;194
6533;87;2014;195
6516;87;2014;196
6561;100;2014;196
6533;100;2014;197
6708;100;2014;199
6662;100;2014;200
6516;100;2014;202
6571;0;2014;230
6561;0;2014;233
6708;0;2014;234
6662;0;2014;234
6533;0;2014;237
6571;10;2014;241
6490;0;2014;244
6533;10;2014;246
6662;10;2014;258
6490;10;2014;258
6561;10;2014;275
6662;31;2015;74
6571;31;2015;93
6490;50;2015;95
6561;31;2015;99
6662;50;2015;100
6533;60;2015;100
6516;31;2015;105
6561;50;2015;106
6490;60;2015;107
6708;60;2015;109
6516;50;2015;112
6516;60;2015;117
6561;60;2015;118
6662;60;2015;121
6695;31;2015;128
6695;50;2015;130
6695;60;2015;134
6571;87;2015;177
6571;100;2015;185
6516;87;2015;191
6533;87;2015;192
6662;87;2015;193
6561;87;2015;193
6533;100;2015;193
6516;100;2015;193
6662;100;2015;196
6561;100;2015;198
6695;87;2015;203
6695;100;2015;204
6533;0;2015;234
6571;0;2015;234
6662;0;2015;237
6561;0;2015;239
6533;10;2015;245
6571;10;2015;247
6662;10;2015;249
6561;10;2015;257
6490;0;2015;264
6490;100;2015;276
6490;10;2015;283
6571;31;2016;74
6571;60;2016;98
6533;60;2016;100
6708;60;2016;101
6477;60;2016;113
6571;87;2016;176
6571;100;2016;188
6533;87;2016;193
6533;100;2016;201
