PEP_ID;BBCH;YEAR;DAY
19485;10;2001;83
19486;10;2001;83
19488;10;2001;91
19486;51;2001;111
19485;51;2001;116
19488;51;2001;117
19486;60;2001;117
19485;60;2001;120
19488;60;2001;121
19487;10;2001;122
19487;51;2001;124
19487;60;2001;130
19486;89;2001;148
19485;89;2001;168
19487;89;2001;178
19486;10;2002;72
19485;10;2002;80
19488;10;2002;84
19486;51;2002;106
19486;60;2002;108
19485;51;2002;116
19488;51;2002;118
19488;60;2002;121
19485;60;2002;123
19487;10;2002;124
19487;51;2002;129
19487;60;2002;131
19486;89;2002;151
19485;89;2002;157
19487;89;2002;177
19485;10;2003;83
19486;10;2003;85
19488;10;2003;87
19486;51;2003;109
19485;51;2003;112
19486;60;2003;113
19485;60;2003;120
19488;51;2003;122
19488;60;2003;126
19487;10;2003;127
19487;51;2003;132
19487;60;2003;135
19486;89;2003;148
19485;89;2003;160
19487;89;2003;171
19488;10;2004;79
19485;10;2004;80
19486;10;2004;93
19486;51;2004;112
19485;51;2004;115
19486;60;2004;118
19485;60;2004;120
19488;51;2004;122
19488;60;2004;129
19487;10;2004;130
19487;51;2004;134
19487;60;2004;136
19486;89;2004;157
19485;89;2004;166
19487;89;2004;176
19488;10;2005;91
19485;10;2005;94
19486;10;2005;96
19486;51;2005;118
19485;51;2005;123
19486;60;2005;123
19488;51;2005;124
19488;60;2005;126
19485;60;2005;127
19487;10;2005;135
19487;51;2005;139
19487;60;2005;143
19485;89;2005;156
19486;89;2005;166
19487;89;2005;183
19486;10;2006;97
19485;10;2006;105
19488;10;2006;109
19486;51;2006;110
19486;60;2006;115
19488;51;2006;121
19485;51;2006;124
19488;60;2006;124
19485;60;2006;130
19487;10;2006;137
19487;51;2006;144
19487;60;2006;146
19485;89;2006;159
19486;89;2006;165
19487;89;2006;180
19486;10;2007;53
19485;10;2007;75
19488;10;2007;92
19486;51;2007;103
19486;60;2007;108
19487;10;2007;113
19485;51;2007;114
19488;51;2007;120
19485;60;2007;120
19488;60;2007;121
19487;51;2007;122
19487;60;2007;127
19485;89;2007;151
19486;89;2007;157
19487;89;2007;171
19485;10;2008;81
19488;10;2008;95
19486;10;2008;96
19486;51;2008;108
19487;10;2008;111
19488;51;2008;112
19485;51;2008;115
19486;60;2008;116
19488;60;2008;117
19487;51;2008;120
19485;60;2008;125
19487;60;2008;128
19486;89;2008;142
19485;89;2008;159
19487;89;2008;170
19486;10;2009;75
19485;10;2009;80
19488;10;2009;89
19486;51;2009;102
19486;60;2009;106
19485;51;2009;108
19488;51;2009;112
19488;60;2009;114
19485;60;2009;117
19487;10;2009;121
19487;51;2009;124
19487;60;2009;128
19485;89;2009;157
19486;89;2009;161
19487;89;2009;177
19486;10;2010;93
19488;10;2010;98
19485;10;2010;102
19486;51;2010;115
19486;60;2010;120
19488;51;2010;122
19485;51;2010;124
19488;60;2010;124
19487;10;2010;127
19485;60;2010;130
19487;51;2010;131
19487;60;2010;140
19486;89;2010;162
19485;89;2010;172
19487;89;2010;184
19486;10;2011;82
19485;10;2011;87
19487;60;2011;91
19488;10;2011;100
19486;51;2011;100
19486;60;2011;104
19485;51;2011;110
19488;51;2011;116
19485;60;2011;116
19488;60;2011;118
19487;10;2011;119
19487;51;2011;133
19486;89;2011;146
19485;89;2011;158
19487;89;2011;180
20312;10;2012;82
19486;10;2012;82
7282;10;2012;83
20385;10;2012;87
19488;10;2012;94
19485;10;2012;95
