PEP_ID;BBCH;YEAR;DAY
5781;65;1951;49
3909;65;1951;106
3015;65;1951;117
3151;65;1951;120
2219;65;1951;121
3058;65;1951;123
3710;65;1951;123
4215;65;1951;123
2985;65;1951;124
6126;65;1951;125
3832;65;1951;126
1924;65;1951;126
3598;65;1951;127
4359;65;1951;127
4073;65;1951;128
4086;65;1951;128
4386;65;1951;128
3038;65;1951;128
2911;65;1951;130
3504;65;1951;130
4015;65;1951;130
6263;65;1951;130
3091;65;1951;131
152;65;1951;132
357;65;1951;132
1847;65;1951;132
3593;65;1951;132
3678;65;1951;132
3738;65;1951;132
4226;65;1951;132
4469;65;1951;132
3754;65;1951;133
5865;65;1951;133
1129;65;1951;133
1928;65;1951;133
1893;65;1951;134
3530;65;1951;134
3550;65;1951;135
3793;65;1951;135
3841;65;1951;135
4558;65;1951;135
1606;65;1951;135
2255;65;1951;135
3063;65;1951;135
1949;65;1951;136
2148;65;1951;136
3137;65;1951;136
3779;65;1951;136
4223;65;1951;136
4390;65;1951;136
5744;65;1951;136
6179;65;1951;136
3704;65;1951;137
3705;65;1951;137
3949;65;1951;137
1217;65;1951;137
2127;65;1951;137
3114;65;1951;137
1990;65;1951;138
2537;65;1951;138
2894;65;1951;138
3585;65;1951;138
3847;65;1951;138
4068;65;1951;138
4251;65;1951;138
5713;65;1951;138
3528;65;1951;139
3601;65;1951;139
3727;65;1951;139
3790;65;1951;139
3813;65;1951;139
4014;65;1951;139
4042;65;1951;139
4102;65;1951;139
4350;65;1951;139
556;65;1951;139
1653;65;1951;139
2077;65;1951;139
3141;65;1951;139
1940;65;1951;140
2129;65;1951;140
2337;65;1951;140
2443;65;1951;140
2464;65;1951;140
2800;65;1951;140
2861;65;1951;140
2912;65;1951;140
3082;65;1951;140
3291;65;1951;140
3654;65;1951;140
3853;65;1951;140
4182;65;1951;140
4329;65;1951;140
4457;65;1951;140
4474;65;1951;140
5371;65;1951;140
5446;65;1951;140
6023;65;1951;140
6082;65;1951;140
3566;65;1951;141
3812;65;1951;141
4190;65;1951;141
4288;65;1951;141
4358;65;1951;141
4461;65;1951;141
4503;65;1951;141
2021;65;1951;141
2066;65;1951;141
2277;65;1951;141
2292;65;1951;141
2393;65;1951;141
2394;65;1951;141
2427;65;1951;141
2996;65;1951;141
2075;65;1951;142
2303;65;1951;142
2903;65;1951;142
2915;65;1951;142
