PEP_ID;BBCH;YEAR;DAY
6072;10;1951;94
1067;10;1951;97
4329;60;1951;98
6267;60;1951;100
6072;60;1951;101
6025;10;1951;103
3532;10;1951;103
2547;60;1951;103
2939;60;1951;104
3064;60;1951;104
3574;60;1951;104
4403;60;1951;104
5744;60;1951;104
773;60;1951;105
5438;60;1951;106
3896;60;1951;108
1318;60;1951;108
3880;10;1951;109
3732;60;1951;109
3096;10;1951;110
3508;10;1951;110
4329;10;1951;110
3508;60;1951;110
6116;60;1951;111
362;10;1951;113
4181;10;1951;114
4813;10;1951;114
2464;60;1951;114
3055;10;1951;115
4000;10;1951;115
5781;10;1951;115
4904;10;1951;116
5233;10;1951;116
667;10;1951;116
966;10;1951;116
3574;10;1951;116
3620;10;1951;116
2631;60;1951;116
3291;60;1951;116
4365;10;1951;117
2931;60;1951;117
4032;60;1951;117
2924;10;1951;118
3151;10;1951;118
3782;10;1951;118
3841;10;1951;118
4173;10;1951;118
5212;10;1951;118
5213;10;1951;118
5722;10;1951;118
5746;10;1951;118
1918;10;1951;118
1637;60;1951;118
3515;60;1951;118
3548;60;1951;118
3791;60;1951;118
4497;60;1951;118
4558;60;1951;118
5546;60;1951;118
6126;60;1951;118
1230;10;1951;119
2939;10;1951;119
3091;60;1951;119
4251;60;1951;119
760;60;1951;119
277;10;1951;120
1539;10;1951;120
3291;10;1951;120
5661;10;1951;120
5713;60;1951;120
3042;60;1951;120
2869;10;1951;121
3160;10;1951;121
3840;10;1951;121
4098;10;1951;121
4239;10;1951;121
151;10;1951;121
375;10;1951;121
512;10;1951;121
1723;10;1951;121
4311;10;1951;121
4525;10;1951;121
4877;10;1951;121
4482;60;1951;121
4596;60;1951;121
5060;60;1951;121
2950;60;1951;121
3710;60;1951;121
3736;60;1951;121
3817;60;1951;121
423;60;1951;121
1960;60;1951;121
163;10;1951;122
254;10;1951;122
644;10;1951;122
769;10;1951;122
773;10;1951;122
1072;10;1951;122
1151;10;1951;122
1166;10;1951;122
4740;10;1951;122
4925;10;1951;122
5482;10;1951;122
3103;10;1951;122
3504;10;1951;122
3769;10;1951;122
3929;10;1951;122
4001;10;1951;122
4032;10;1951;122
3072;60;1951;122
3567;60;1951;122
4000;60;1951;122
4038;60;1951;122
1921;60;1951;122
4693;60;1951;122
4863;60;1951;122
5072;60;1951;122
5361;60;1951;122
5842;60;1951;122
6231;60;1951;122
6278;60;1951;122
4318;10;1951;123
4444;10;1951;123
4755;10;1951;123
5262;10;1951;123
5438;10;1951;123
5936;10;1951;123
2457;10;1951;123
2631;10;1951;123
3042;10;1951;123
3283;10;1951;123
3599;10;1951;123
3736;10;1951;123
3896;10;1951;123
4014;10;1951;123
4085;10;1951;123
