PEP_ID;BBCH;YEAR;DAY
20407;15;2013;104
20446;15;2013;118
20420;15;2013;119
20401;65;2013;152
20401;95;2013;182
20408;65;2013;187
20446;65;2013;193
20411;65;2013;195
20407;65;2013;197
20428;65;2013;201
20402;65;2013;209
20420;65;2013;211
20408;95;2013;214
20429;65;2013;219
20411;95;2013;232
20407;95;2013;240
20429;95;2013;240
20446;95;2013;247
20402;95;2013;271
20401;15;2014;29
20402;15;2014;32
20399;15;2014;59
20432;15;2014;60
20411;15;2014;64
20407;15;2014;64
20428;15;2014;82
20429;15;2014;87
20425;15;2014;110
20446;15;2014;118
20425;65;2014;174
20401;65;2014;182
20446;65;2014;184
20428;65;2014;201
20407;95;2014;204
