PEP_ID;BBCH;YEAR;DAY
19296;60;1961;95
19300;60;1961;95
19295;60;1961;98
19294;60;1961;99
19299;60;1961;99
19298;60;1961;100
19297;60;1961;101
19300;65;1961;101
19291;60;1961;102
19296;65;1961;103
19295;65;1961;105
19298;65;1961;105
19297;65;1961;106
19294;65;1961;107
19293;60;1961;109
19299;65;1961;109
19291;65;1961;117
19293;65;1961;120
19294;60;1962;113
19299;60;1962;113
19298;60;1962;114
19300;60;1962;117
19296;60;1962;119
19295;60;1962;120
19299;65;1962;120
19300;65;1962;120
19294;65;1962;122
19298;65;1962;124
19295;65;1962;126
19297;60;1962;127
19291;60;1962;128
19297;65;1962;130
19293;60;1962;132
19291;65;1962;134
19296;65;1962;135
19293;65;1962;145
19294;60;1963;105
19298;60;1963;105
19299;60;1963;106
19294;65;1963;110
19298;65;1963;110
19299;65;1963;111
19300;60;1963;113
19295;60;1963;117
19300;65;1963;117
19291;60;1963;118
19296;60;1963;120
19297;60;1963;122
19295;65;1963;124
19296;65;1963;124
19291;65;1963;126
19297;65;1963;128
19293;60;1963;131
19293;65;1963;136
19294;60;1964;107
19299;60;1964;107
19298;60;1964;108
19299;65;1964;112
19300;60;1964;115
19291;60;1964;119
19295;60;1964;120
19300;65;1964;120
19294;65;1964;122
19296;60;1964;123
19297;60;1964;124
19298;65;1964;124
19295;65;1964;127
19293;60;1964;130
19291;65;1964;131
19296;65;1964;131
19297;65;1964;131
19293;65;1964;134
19299;60;1965;102
19294;60;1965;103
19298;65;1965;106
19294;65;1965;115
19299;65;1965;115
19298;60;1965;116
19300;60;1965;119
19291;60;1965;120
19292;65;1965;121
19295;60;1965;123
19291;65;1965;126
19300;65;1965;126
19297;60;1965;127
19296;60;1965;129
19295;65;1965;130
19297;65;1965;133
19296;65;1965;135
19293;60;1965;140
19293;65;1965;143
19299;60;1966;92
19294;60;1966;96
19299;65;1966;100
19294;65;1966;103
19291;60;1966;104
19298;65;1966;105
19300;60;1966;107
19291;65;1966;107
19297;60;1966;108
19296;60;1966;110
19300;65;1966;112
19295;60;1966;114
19292;60;1966;115
19296;65;1966;115
19295;65;1966;118
19298;60;1966;119
19292;65;1966;120
19297;65;1966;122
19293;60;1966;123
19293;65;1966;128
19299;60;1967;90
19294;60;1967;92
19299;65;1967;100
19292;60;1967;104
19294;65;1967;104
19296;60;1967;106
19300;60;1967;106
19292;65;1967;108
19291;60;1967;110
19298;60;1967;110
19300;65;1967;110
19295;60;1967;115
19298;65;1967;116
19291;65;1967;118
19295;65;1967;120
19296;65;1967;120
19297;60;1967;121
19297;65;1967;126
19293;60;1967;136
19293;65;1967;139
19294;60;1968;94
19299;60;1968;96
19298;60;1968;98
19294;65;1968;100
19298;65;1968;105
19296;60;1968;106
19299;65;1968;106
19300;60;1968;108
19292;60;1968;111
19295;60;1968;111
19296;65;1968;111
19300;65;1968;114
19297;60;1968;116
19292;65;1968;117
19295;65;1968;117
19297;65;1968;121
19293;60;1968;126
19293;65;1968;129
19294;60;1969;100
19299;60;1969;101
19299;65;1969;105
19294;65;1969;109
19298;60;1969;116
19300;60;1969;117
19292;60;1969;118
19298;65;1969;120
19296;60;1969;121
19297;60;1969;122
19292;65;1969;122
19300;65;1969;122
19291;60;1969;123
19295;60;1969;123
19297;65;1969;124
19296;65;1969;125
19293;60;1969;128
19291;65;1969;130
19295;65;1969;131
19293;65;1969;133
19299;60;1970;108
19294;60;1970;112
19296;60;1970;116
19299;65;1970;116
19298;60;1970;119
19294;65;1970;120
19292;60;1970;121
19300;60;1970;121
