PEP_ID;BBCH;YEAR;DAY
20451;86;1951;190
20449;11;1953;72
20449;60;1953;77
20449;65;1953;89
20452;11;1954;101
20452;60;1954;128
20451;11;1954;129
20452;65;1954;137
20451;60;1954;148
20451;65;1954;153
20449;11;1955;77
20452;11;1955;91
20452;60;1955;117
20452;65;1955;125
20449;11;1956;99
20450;11;1956;105
20449;60;1956;109
20450;60;1956;113
20449;65;1956;116
20450;65;1956;121
20451;11;1956;130
20450;11;1957;76
20449;11;1957;76
20450;60;1957;111
20449;60;1957;111
20450;65;1957;117
20449;65;1957;117
20450;60;1958;103
20449;11;1958;112
20450;65;1958;120
20449;60;1958;121
20451;11;1958;122
20449;65;1958;126
20451;60;1958;135
20451;65;1958;142
20449;11;1959;83
20450;60;1959;91
20450;65;1959;95
20449;60;1959;104
20449;65;1959;111
20450;11;1959;119
20449;11;1960;77
20450;11;1960;81
20449;60;1960;116
20449;65;1960;120
20451;65;1960;153
20450;60;1961;79
20450;65;1961;86
20449;60;1961;95
20449;60;1962;123
20449;65;1962;131
20450;60;1963;99
20450;65;1963;104
20449;60;1963;120
20449;65;1963;126
20451;60;1963;132
20451;65;1963;137
20452;60;1964;113
20452;65;1964;117
20449;60;1964;125
20449;65;1964;129
20451;60;1964;139
20451;65;1964;141
20450;60;1965;99
20452;60;1965;121
20452;65;1965;130
20449;60;1965;133
20449;65;1965;140
20451;60;1965;145
20451;65;1965;147
20452;60;1966;105
20452;65;1966;110
20449;60;1966;121
20449;65;1966;127
20451;60;1966;137
20451;65;1966;141
20449;60;1967;125
20449;65;1967;129
20449;60;1968;114
20451;60;1968;120
20449;65;1968;121
20451;65;1968;126
20452;60;1969;116
20452;65;1969;120
20449;60;1969;122
20451;60;1969;129
20449;65;1969;129
20451;65;1969;139
20450;60;1970;109
20450;65;1970;114
20452;60;1970;118
20452;65;1970;122
20449;60;1970;129
20449;65;1970;134
20451;60;1970;143
20450;60;1971;83
20450;65;1971;89
20452;60;1971;116
20452;65;1971;123
20449;60;1971;127
20449;65;1971;131
20450;60;1972;88
20449;60;1972;113
20452;60;1972;115
20449;65;1972;119
20452;65;1972;119
20452;60;1973;109
20452;65;1973;114
20449;60;1973;128
20451;60;1973;134
20449;65;1973;134
20451;65;1973;139
20449;60;1974;127
20449;65;1974;133
20452;60;1975;120
20449;60;1975;124
20449;65;1975;128
20451;60;1975;131
20451;65;1975;135
20452;65;1975;135
20450;60;1976;99
20450;65;1976;103
20451;60;1976;140
20451;65;1976;146
20449;60;1977;107
20449;65;1977;115
20451;60;1977;128
20451;65;1977;134
20450;60;1978;94
20450;65;1978;99
20452;60;1978;112
20449;60;1978;124
20452;65;1978;129
20451;60;1978;134
20449;65;1978;138
20451;65;1978;140
20452;60;1979;117
20452;65;1979;131
20449;60;1979;134
20449;65;1979;138
20451;60;1979;139
20451;65;1979;143
20450;60;1981;91
20449;11;1981;96
20450;65;1981;103
20449;60;1981;112
20452;60;1981;113
20449;65;1981;116
20452;65;1981;124
20449;60;1982;124
20449;65;1982;132
20451;11;1983;117
20451;60;1983;136
20451;65;1983;146
20450;11;1984;89
20450;60;1984;110
20449;11;1984;111
20451;11;1984;122
20450;65;1984;123
20449;60;1984;133
20449;65;1984;139
20451;60;1984;143
20451;65;1984;148
20449;11;1985;116
20451;11;1985;116
20449;60;1985;124
20451;60;1985;135
20449;65;1985;135
20449;11;1987;105
20449;60;1987;124
20451;11;1987;127
20449;65;1987;135
20451;60;1987;147
20451;65;1987;155
20449;11;1988;100
20449;60;1988;119
20449;65;1988;127
20450;11;1989;78
20452;11;1989;91
20450;60;1989;94
20452;60;1989;99
20450;65;1989;108
20451;11;1989;109
20452;65;1989;116
20449;11;1989;123
20449;60;1989;125
20451;60;1989;128
20449;65;1989;129
20451;65;1989;134
20452;11;1990;83
20450;11;1990;85
20450;60;1990;101
20449;11;1990;109
20451;11;1990;111
20450;65;1990;117
20449;60;1990;120
20452;60;1990;123
20452;65;1990;129
20449;65;1990;129
20451;60;1990;132
20451;65;1990;141
20452;11;1993;92
20450;11;1993;97
20452;60;1993;99
20450;60;1993;101
20449;11;1993;107
20452;65;1993;112
20449;60;1993;125
20451;11;1993;129
20451;60;1993;140
20451;65;1993;151
20449;65;1993;160
20449;11;1998;117
20449;60;1998;125
20452;11;2004;101
20452;60;2004;116
20452;65;2004;131
20450;11;2005;99
20451;11;2005;125
20451;60;2005;137
20451;65;2005;144
20451;11;2006;124
20451;60;2006;134
20451;65;2006;137
20451;11;2007;109
20451;60;2007;123
20451;65;2007;128
20451;11;2009;109
20450;60;2014;109
20450;65;2014;121
20451;60;2014;141
20451;65;2014;148
20451;86;2014;191
20451;97;2014;297
