PEP_ID;BBCH;YEAR;DAY
20586;65;1961;100
20585;60;1961;102
20583;60;1961;105
20582;60;1961;109
20583;65;1961;110
20585;65;1961;112
20582;65;1961;119
20586;60;1962;105
20586;65;1962;115
20585;60;1962;117
20583;60;1962;118
20585;65;1962;122
20583;65;1962;123
20582;60;1962;125
20582;65;1962;128
20583;60;1963;115
20582;60;1963;123
20583;65;1963;125
20582;65;1963;128
20586;60;1964;111
20583;60;1964;112
20585;60;1964;113
20586;65;1964;116
20582;60;1964;118
20585;65;1964;120
20582;65;1964;123
20583;65;1964;125
20583;60;1965;118
20582;60;1965;128
20583;65;1965;132
20582;65;1965;132
20585;60;1966;110
20583;60;1966;110
20583;65;1966;115
20585;65;1966;117
20582;60;1966;118
20582;65;1966;123
20585;65;1967;108
20583;60;1967;118
20582;60;1967;121
20583;65;1967;123
20582;65;1967;125
20584;60;1968;93
20586;60;1968;97
20584;65;1968;101
20586;65;1968;105
20585;60;1968;106
20583;60;1968;108
20585;65;1968;112
20582;60;1968;116
20583;65;1968;117
20582;65;1968;120
20584;60;1969;95
20584;65;1969;109
20583;60;1969;116
20585;60;1969;120
20585;65;1969;124
20583;65;1969;125
20582;60;1969;126
20582;65;1969;128
20583;60;1970;112
20585;60;1970;112
20585;65;1970;116
20582;60;1970;117
20583;65;1970;120
20582;65;1970;121
20586;60;1971;115
20583;60;1971;117
20586;65;1971;118
20585;60;1971;119
20582;60;1971;122
20583;65;1971;125
20582;65;1971;126
20584;60;1972;95
20585;60;1972;98
20585;65;1972;103
20583;60;1972;105
20586;60;1972;106
20584;65;1972;110
20583;65;1972;113
20586;65;1972;114
20582;60;1972;116
20582;65;1972;121
20584;60;1973;110
20583;60;1973;119
20584;65;1973;120
20586;60;1973;122
20582;60;1973;124
20583;65;1973;124
20582;65;1973;128
20586;65;1973;130
20586;60;1974;112
20585;60;1974;117
20586;65;1974;117
20583;60;1974;118
20585;65;1974;122
20582;60;1974;125
20583;65;1974;125
20582;65;1974;132
20584;60;1975;90
20584;65;1975;96
20586;60;1975;104
20585;60;1975;106
20585;65;1975;110
20583;60;1975;112
20586;65;1975;112
20582;60;1975;115
20583;65;1975;115
20582;65;1975;121
20584;60;1976;100
20584;65;1976;110
20583;60;1976;113
20585;60;1976;114
20586;60;1976;116
20585;65;1976;119
20583;65;1976;123
20586;65;1976;127
20584;60;1977;80
20586;60;1977;85
20584;65;1977;85
20583;60;1977;91
20586;65;1977;92
20583;65;1977;96
20582;60;1977;117
20582;65;1977;121
20586;60;1978;100
20584;60;1978;100
20584;65;1978;105
20586;65;1978;107
20583;60;1978;110
20583;65;1978;115
20582;60;1978;125
20582;65;1978;130
20584;60;1979;83
20584;65;1979;88
20583;60;1979;103
20583;65;1979;109
20582;60;1979;121
20582;65;1979;124
20584;60;1980;108
20586;60;1980;111
20584;65;1980;112
20586;65;1980;116
20583;60;1980;118
20585;60;1980;121
20583;65;1980;122
20585;65;1980;125
20582;60;1980;130
20582;65;1980;135
20584;60;1981;96
20586;60;1981;100
20584;65;1981;100
20583;60;1981;101
20586;65;1981;105
20583;65;1981;106
20585;60;1981;111
20582;60;1981;114
20585;65;1981;116
20582;65;1981;117
20582;60;1982;96
20582;65;1982;102
20586;60;1982;104
20585;60;1982;105
20584;60;1982;108
20586;65;1982;109
20585;65;1982;110
20584;65;1982;112
20583;60;1982;114
20583;65;1982;120
20585;60;1983;98
20583;60;1983;102
20584;60;1983;103
20584;65;1983;106
20583;65;1983;107
20582;60;1983;120
20582;65;1983;123
20584;60;1984;110
20586;60;1984;111
20584;65;1984;113
20583;60;1984;115
20586;65;1984;118
20583;65;1984;122
20585;60;1984;126
20582;60;1984;127
20582;65;1984;130
20585;65;1984;130
20586;60;1985;103
20584;60;1985;105
20586;65;1985;107
20583;60;1985;108
20584;65;1985;108
20583;65;1985;114
20585;60;1985;120
20582;60;1985;123
20585;65;1985;126
20582;65;1985;126
20584;60;1986;100
20585;60;1986;100
20586;60;1986;101
20584;65;1986;103
20586;65;1986;109
20585;65;1986;110
20583;60;1986;111
20582;60;1986;114
20582;65;1986;118
20583;65;1986;120
20586;60;1987;110
20586;65;1987;115
20583;60;1987;123
20583;65;1987;127
20585;60;1988;110
20585;65;1988;121
20586;60;1988;138
20586;65;1988;149
20586;60;1989;91
20584;60;1989;95
20586;65;1989;96
20582;60;1989;99
20585;60;1989;100
20584;65;1989;101
20582;65;1989;105
20585;65;1989;106
20585;60;1990;79
20586;60;1990;85
20585;65;1990;87
20586;65;1990;89
20584;60;1990;95
20583;60;1990;100
20584;65;1990;104
20583;65;1990;106
20582;60;1990;107
20582;65;1990;113
20585;60;1991;90
20586;60;1991;102
20585;65;1991;105
20584;60;1991;106
20586;65;1991;107
20584;65;1991;114
20583;60;1991;117
20582;60;1991;122
20582;65;1991;129
