PEP_ID;BBCH;YEAR;DAY
7811;60;1868;112
7639;60;1868;113
7801;60;1868;125
7929;60;1868;129
7686;60;1869;107
7801;60;1869;110
7582;60;1869;113
7929;60;1869;127
7639;60;1869;127
7990;60;1869;141
7582;60;1870;115
7801;60;1870;127
7639;60;1870;128
7929;60;1870;136
7637;60;1870;136
7801;60;1871;125
7929;60;1871;133
7990;60;1871;149
7706;60;1871;157
7801;60;1872;106
7923;60;1872;116
7637;60;1872;120
7974;60;1872;124
7929;60;1872;126
7797;60;1872;127
7534;60;1873;108
7923;60;1873;120
7801;60;1873;120
7706;60;1873;134
7929;60;1873;152
7475;60;1873;156
7797;60;1874;108
7801;60;1874;113
7639;60;1874;115
7637;60;1874;126
7923;60;1874;130
7911;60;1875;120
7801;60;1875;123
7637;60;1875;126
7990;60;1875;128
7475;60;1875;130
7706;60;1875;132
7923;60;1875;133
7801;60;1876;123
7797;60;1876;134
7923;60;1876;137
7990;60;1876;143
7475;60;1877;122
7801;60;1877;123
7797;60;1877;129
7929;60;1877;149
7475;60;1878;104
7802;60;1878;127
7669;60;1884;105
7881;60;1884;125
7873;60;1884;131
7923;60;1884;148
7625;60;1885;103
7669;60;1885;121
7625;60;1886;101
7881;60;1886;116
7881;60;1887;118
7669;60;1887;133
7625;60;1888;134
7669;60;1888;139
7873;60;1888;144
7990;60;1889;132
7669;60;1889;134
7743;60;1893;121
7538;60;1894;94
7873;60;1894;106
7669;60;1894;117
7962;60;1895;67
7669;60;1895;130
7873;60;1897;120
7669;60;1898;131
