PEP_ID;BBCH;YEAR;DAY
7990;11;1868;113
7639;60;1868;113
7801;11;1868;116
7801;60;1868;117
7639;86;1868;229
7801;86;1868;246
7639;11;1869;102
7990;11;1869;106
7801;11;1869;113
7990;86;1869;263
7801;86;1869;263
7990;11;1870;112
7801;11;1870;120
7639;11;1870;121
7990;60;1870;126
7801;60;1870;130
7811;60;1870;130
8001;60;1870;139
7801;86;1870;263
7639;11;1871;104
7990;11;1871;105
7532;11;1871;111
7801;11;1871;117
7475;11;1871;125
7532;60;1871;143
7801;86;1871;266
7797;11;1872;93
7923;11;1872;95
7686;60;1872;95
7990;11;1872;99
7923;60;1872;101
7706;60;1872;101
7801;11;1872;106
7990;60;1872;106
7475;60;1872;111
7801;60;1872;112
7475;11;1872;118
7974;60;1872;123
7797;60;1872;127
7801;86;1872;251
7475;60;1873;80
7639;11;1873;101
7990;11;1873;104
7686;60;1873;104
7923;11;1873;106
7534;60;1873;107
7990;60;1873;109
7706;11;1873;110
7923;60;1873;110
7801;60;1873;118
7706;60;1873;118
7923;86;1873;258
7801;86;1873;261
7801;11;1873;283
7923;60;1874;100
7923;11;1874;104
7990;11;1874;106
7929;60;1874;111
7990;60;1874;111
7706;11;1874;112
7801;11;1874;115
7801;60;1874;116
7923;86;1874;258
7801;86;1874;258
7706;11;1875;116
7990;11;1875;117
7923;60;1875;117
7532;11;1875;120
7706;60;1875;120
7929;11;1875;122
7929;60;1875;125
7881;60;1875;125
7828;60;1875;126
7801;60;1875;131
7532;60;1875;133
7475;86;1875;248
7706;86;1875;249
7990;11;1876;111
7475;86;1876;257
7929;60;1877;20
7475;60;1877;44
7990;60;1877;46
7801;60;1877;51
7797;11;1877;52
7923;60;1877;54
7801;11;1877;63
7990;11;1877;67
7929;11;1877;80
7881;60;1877;128
7475;86;1877;240
7990;86;1877;253
7801;86;1877;283
7934;60;1878;110
7881;60;1878;112
7990;60;1878;117
7990;86;1878;245
7873;60;1879;117
7881;60;1879;130
7662;86;1879;254
7990;86;1879;266
7934;11;1880;69
7873;60;1880;95
7934;60;1880;106
7532;60;1880;108
7929;60;1880;110
7884;60;1880;113
7530;60;1880;116
