PEP_ID;BBCH;YEAR;DAY
7146;60;1951;219
7144;60;1951;221
7147;60;1951;231
7148;60;1951;231
7142;60;1951;238
7150;60;1951;244
7143;60;1951;246
7151;60;1951;251
7140;60;1951;253
7141;60;1951;260
7152;60;1951;263
7149;60;1951;272
7146;60;1952;228
7148;60;1952;228
7147;60;1952;228
7149;60;1952;238
7144;60;1952;239
7142;60;1952;243
7143;60;1952;246
7150;60;1952;248
7140;60;1952;252
7141;60;1952;259
7151;60;1952;272
7152;60;1952;273
7143;60;1953;219
7146;60;1953;219
7148;60;1953;228
7147;60;1953;228
7141;60;1953;230
7144;60;1953;233
7142;60;1953;242
7149;60;1953;246
7140;60;1953;251
7150;60;1953;254
7152;60;1953;259
7151;60;1953;274
7144;60;1954;225
7147;60;1954;225
7148;60;1954;225
7146;60;1954;228
7142;60;1954;238
7143;60;1954;244
7149;60;1954;250
7140;60;1954;252
7150;60;1954;254
7152;60;1954;255
7141;60;1954;263
7151;60;1954;266
7144;60;1955;240
7147;60;1955;244
7142;60;1955;244
7148;60;1955;244
7149;60;1955;246
7141;60;1955;248
7140;60;1955;252
7146;60;1955;252
7150;60;1955;254
7152;60;1955;254
7143;60;1955;263
7151;60;1955;269
7147;60;1956;233
7148;60;1956;233
7149;60;1956;235
7146;60;1956;238
7142;60;1956;238
7144;60;1956;244
7140;60;1956;245
7150;60;1956;249
7143;60;1956;250
7152;60;1956;256
7141;60;1956;259
7151;60;1956;274
7147;60;1957;231
7148;60;1957;231
7142;60;1957;233
7144;60;1957;246
7140;60;1957;251
7150;60;1957;254
7146;60;1957;262
7143;60;1957;264
7141;60;1957;264
7149;60;1957;264
7152;60;1957;270
7151;60;1957;274
7146;60;1958;219
7144;60;1958;233
7143;60;1958;239
7147;60;1958;239
7148;60;1958;239
7142;60;1958;252
7141;60;1958;254
7150;60;1958;254
7149;60;1958;254
7152;60;1958;264
7151;60;1958;272
7140;60;1958;279
7146;60;1959;216
7142;60;1959;229
7148;60;1959;230
7147;60;1959;230
7149;60;1959;238
7144;60;1959;239
7140;60;1959;241
7150;60;1959;258
7143;60;1959;258
7152;60;1959;258
7141;60;1959;264
7151;60;1959;274
7146;60;1960;223
7144;60;1960;228
7142;60;1960;230
7147;60;1960;231
7148;60;1960;231
7143;60;1960;239
7149;60;1960;254
7150;60;1960;254
7141;60;1960;262
7140;60;1960;266
7151;60;1960;269
7152;60;1960;274
7146;60;1961;218
7144;60;1961;220
7148;60;1961;227
7147;60;1961;227
7142;60;1961;233
7150;60;1961;238
7143;60;1961;239
7140;60;1961;243
7152;60;1961;254
7149;60;1961;264
7141;60;1961;269
7151;60;1961;274
7146;60;1962;221
7144;60;1962;233
7148;60;1962;235
7147;60;1962;235
7140;60;1962;240
7143;60;1962;241
7142;60;1962;248
7150;60;1962;259
7152;60;1962;259
7151;60;1962;269
7141;60;1962;269
7149;60;1962;270
7146;60;1963;213
7148;60;1963;227
7147;60;1963;227
7143;60;1963;229
7144;60;1963;241
7142;60;1963;241
7140;60;1963;241
7152;60;1963;246
7149;60;1963;246
7141;60;1963;249
7151;60;1963;249
7150;60;1963;259
7148;60;1964;230
7147;60;1964;230
7144;60;1964;234
7142;60;1964;237
7143;60;1964;240
7149;60;1964;248
7146;60;1964;254
7150;60;1964;254
7141;60;1964;259
7152;60;1964;259
7140;60;1964;260
7151;60;1964;264
7146;60;1965;219
7144;60;1965;234
7143;60;1965;235
7147;60;1965;241
7148;60;1965;241
7140;60;1965;249
7142;60;1965;249
7141;60;1965;253
7150;60;1965;254
7151;60;1965;259
7152;60;1965;259
7149;60;1965;269
7146;60;1966;228
7147;60;1966;230
7148;60;1966;230
7144;60;1966;233
7142;60;1966;239
7143;60;1966;243
7140;60;1966;252
7150;60;1966;253
7149;60;1966;254
7141;60;1966;257
7152;60;1966;260
7151;60;1966;268
7146;60;1967;225
7143;60;1967;226
7144;60;1967;228
7147;60;1967;228
7148;60;1967;228
7151;60;1967;238
7142;60;1967;239
7149;60;1967;247
7150;60;1967;248
7140;60;1967;271
7141;60;1967;272
7152;60;1967;276
7144;60;1968;212
7143;60;1968;219
7146;60;1968;223
7147;60;1968;226
7148;60;1968;226
7142;60;1968;240
7140;60;1968;240
7149;60;1968;247
7150;60;1968;254
7141;60;1968;254
7152;60;1968;259
7151;60;1968;264
7146;60;1969;225
7143;60;1969;226
7144;60;1969;229
7148;60;1969;240
7149;60;1969;240
7147;60;1969;240
7151;60;1969;240
7140;60;1969;247
7142;60;1969;249
7152;60;1969;254
7150;60;1969;254
7141;60;1969;259
7144;60;1970;197
7146;60;1970;221
7143;60;1970;228
7148;60;1970;228
7147;60;1970;228
7142;60;1970;237
7149;60;1970;248
7150;60;1970;250
7140;60;1970;251
7151;60;1970;264
7141;60;1970;264
7152;60;1970;284
7144;60;1971;222
7146;60;1971;225
7148;60;1971;231
7147;60;1971;231
7143;60;1971;233
7142;60;1971;241
7140;60;1971;249
7150;60;1971;252
7141;60;1971;257
7151;60;1971;259
7149;60;1971;263
7152;60;1971;265
7146;60;1972;221
7144;60;1972;230
7147;60;1972;231
7148;60;1972;231
7142;60;1972;232
7141;60;1972;241
7143;60;1972;247
7152;60;1972;251
7149;60;1972;251
7140;60;1972;253
7150;60;1972;256
7151;60;1972;269
7146;60;1973;225
7147;60;1973;229
7148;60;1973;229
7142;60;1973;230
7144;60;1973;239
7140;60;1973;241
7149;60;1973;241
7141;60;1973;251
7150;60;1973;254
7143;60;1973;254
7152;60;1973;259
7151;60;1973;264
7146;60;1974;229
7147;60;1974;231
7148;60;1974;231
7143;60;1974;231
7151;60;1974;238
7142;60;1974;240
7144;60;1974;240
7140;60;1974;251
7149;60;1974;252
7141;60;1974;254
7150;60;1974;254
7152;60;1974;264
7144;60;1975;203
7146;60;1975;221
7148;60;1975;232
7147;60;1975;232
7140;60;1975;239
7143;60;1975;240
7142;60;1975;240
7149;60;1975;250
7152;60;1975;254
7150;60;1975;256
7151;60;1975;269
7141;60;1975;271
7144;60;1976;206
7140;60;1976;226
7146;60;1976;228
7147;60;1976;228
7148;60;1976;228
7142;60;1976;230
7149;60;1976;248
7152;60;1976;249
7143;60;1976;254
7150;60;1976;254
7151;60;1976;269
7141;60;1976;274
7144;60;1977;216
7146;60;1977;225
7147;60;1977;230
7148;60;1977;230
7140;60;1977;233
7142;60;1977;235
7149;60;1977;246
7143;60;1977;250
7152;60;1977;252
7150;60;1977;254
7151;60;1977;254
7141;60;1977;264
7144;60;1978;221
7146;60;1978;228
7147;60;1978;232
7148;60;1978;232
7150;60;1978;240
7143;60;1978;241
7140;60;1978;243
7142;60;1978;249
7149;60;1978;251
7152;60;1978;264
7141;60;1978;272
7151;60;1978;274
7144;60;1979;220
7146;60;1979;225
7147;60;1979;232
7148;60;1979;232
7143;60;1979;240
7142;60;1979;243
7140;60;1979;243
7149;60;1979;249
7151;60;1979;251
7150;60;1979;252
7152;60;1979;260
7141;60;1979;260
7146;60;1980;229
7147;60;1980;234
7148;60;1980;234
7150;60;1980;240
7142;60;1980;249
7149;60;1980;256
7151;60;1980;259
7144;60;1980;259
7140;60;1980;259
7141;60;1980;262
7143;60;1980;273
7152;60;1980;274
7148;60;1981;227
7140;60;1981;227
7147;60;1981;227
7146;60;1981;228
7142;60;1981;231
7143;60;1981;236
7149;60;1981;243
7150;60;1981;249
7151;60;1981;259
7152;60;1981;264
7141;60;1981;264
7144;60;1981;270
7146;60;1982;225
7148;60;1982;232
7147;60;1982;232
7142;60;1982;238
7140;60;1982;242
7150;60;1982;247
7152;60;1982;249
7143;60;1982;250
7149;60;1982;250
7144;60;1982;254
7141;60;1982;269
7151;60;1982;279
7146;60;1983;216
7147;60;1983;229
7148;60;1983;229
7143;60;1983;231
7144;60;1983;233
7140;60;1983;233
7142;60;1983;240
7150;60;1983;248
7149;60;1983;250
7141;60;1983;259
7152;60;1983;259
7151;60;1983;259
7146;60;1984;223
7144;60;1984;223
7148;60;1984;231
7147;60;1984;231
7140;60;1984;238
7149;60;1984;241
7143;60;1984;246
7142;60;1984;247
7150;60;1984;249
7141;60;1984;269
7151;60;1984;272
7152;60;1984;274
7146;60;1985;225
7147;60;1985;231
