PEP_ID;BBCH;YEAR;DAY
6868;60;1961;249
6868;60;1962;250
6868;60;1963;237
6868;60;1964;229
6868;60;1965;245
6868;60;1966;226
6868;60;1967;227
6868;60;1968;229
6868;60;1969;227
6868;60;1970;222
6868;60;1971;216
6868;60;1972;225
6868;60;1973;232
6868;60;1974;227
6868;60;1975;227
6868;60;1976;231
6868;60;1977;239
6868;60;1978;237
6868;60;1979;231
6868;60;1980;237
6868;60;1981;234
6868;60;1982;231
6868;60;1983;227
6868;60;1984;245
6868;60;1985;236
6868;60;1986;235
6868;60;1988;241
6868;60;1989;235
6868;60;1991;244
6868;60;1992;221
6868;60;1993;228
6868;60;1994;232
6868;60;1995;232
6868;60;1996;246
6868;60;1997;222
6868;60;1998;219
6868;60;1999;229
6868;60;2000;227
6868;60;2001;225
6868;60;2002;220
6868;60;2003;219
6868;60;2004;232
6874;60;2005;226
6868;60;2005;227
6868;60;2006;229
6874;60;2006;234
6874;60;2007;216
6868;60;2007;218
6868;60;2008;224
6874;60;2008;225
6874;60;2009;213
6868;60;2009;217
6868;60;2010;219
6874;60;2010;237
6874;60;2011;238
6868;60;2012;227
6874;60;2012;232
6868;60;2013;228
6874;60;2013;232
6862;60;2013;247
