PEP_ID;BBCH;YEAR;DAY
6869;60;1961;86
6871;60;1961;87
6867;60;1961;91
6862;60;1961;99
6863;60;1961;99
6875;60;1961;102
6866;60;1961;105
6870;60;1961;106
6868;60;1961;107
6865;60;1961;107
6864;60;1961;107
6873;60;1961;108
6874;60;1961;110
6872;60;1961;127
6867;60;1962;112
6871;60;1962;113
6869;60;1962;115
6862;60;1962;122
6875;60;1962;124
6866;60;1962;125
6870;60;1962;126
6868;60;1962;126
6873;60;1962;126
6864;60;1962;127
6863;60;1962;128
6874;60;1962;130
6865;60;1962;138
6872;60;1962;148
6871;60;1963;107
6869;60;1963;112
6867;60;1963;113
6862;60;1963;119
6875;60;1963;121
6870;60;1963;123
6863;60;1963;123
6864;60;1963;123
6874;60;1963;124
6866;60;1963;127
6868;60;1963;127
6873;60;1963;130
6865;60;1963;131
6872;60;1963;149
6869;60;1964;113
6871;60;1964;113
6867;60;1964;115
6862;60;1964;121
6864;60;1964;125
6875;60;1964;125
6866;60;1964;126
6863;60;1964;127
6868;60;1964;128
6873;60;1964;128
6870;60;1964;128
6874;60;1964;131
6865;60;1964;131
6872;60;1964;140
6869;60;1965;105
6871;60;1965;108
6867;60;1965;116
6862;60;1965;122
6875;60;1965;124
6866;60;1965;125
6863;60;1965;126
6864;60;1965;126
6868;60;1965;129
6870;60;1965;129
6873;60;1965;130
6865;60;1965;133
6874;60;1965;134
6872;60;1965;154
6871;60;1966;100
6869;60;1966;102
6867;60;1966;107
6875;60;1966;110
6873;60;1966;111
6862;60;1966;111
6870;60;1966;112
6864;60;1966;114
6866;60;1966;115
6863;60;1966;116
6868;60;1966;118
6865;60;1966;120
6874;60;1966;120
6872;60;1966;135
6871;60;1967;100
6869;60;1967;100
6867;60;1967;104
6866;60;1967;117
6863;60;1967;118
6864;60;1967;118
6875;60;1967;118
6862;60;1967;118
6870;60;1967;119
6873;60;1967;120
6868;60;1967;123
6865;60;1967;124
6874;60;1967;126
6872;60;1967;142
6871;60;1968;97
6867;60;1968;102
6869;60;1968;108
