PEP_ID;BBCH;YEAR;DAY
6927;60;2000;170
6925;60;2000;180
6938;60;2000;202
6888;60;2000;205
6925;60;2001;177
6949;60;2001;219
6927;60;2001;225
6888;60;2002;194
6949;60;2002;217
6925;60;2003;192
6888;60;2003;206
6927;60;2003;215
6949;60;2003;215
6925;60;2004;193
6888;60;2004;202
6927;60;2004;211
6949;60;2004;217
6900;60;2004;233
6927;60;2005;208
6949;60;2005;218
6888;60;2006;202
6949;60;2006;218
6949;60;2007;209
6949;60;2008;217
6925;60;2009;187
6888;60;2009;189
6937;60;2009;195
6949;60;2009;214
6888;60;2010;189
6925;60;2010;192
6937;60;2010;214
6949;60;2010;217
6926;60;2011;158
6888;60;2011;197
6937;60;2011;209
6949;60;2011;215
6926;60;2012;157
6937;60;2012;192
6925;60;2012;193
6888;60;2012;198
6949;60;2012;215
6926;60;2013;167
6937;60;2013;193
6925;60;2013;197
6888;60;2013;197
6915;60;2013;215
6949;60;2013;215
