"","PEP_ID","BBCH","YEAR","DAY","species"
"1",20143,60,1926,98,"brassica napus"
"2",20155,60,1926,110,"brassica napus"
"3",20536,60,1926,124,"brassica napus"
"4",20529,60,1926,156,"brassica napus"
"5",20532,60,1927,117,"brassica napus"
"6",20535,60,1927,130,"brassica napus"
"7",20529,60,1927,146,"brassica napus"
"8",20529,60,1928,89,"brassica napus"
"9",20535,60,1928,139,"brassica napus"
"10",20143,60,1929,115,"brassica napus"
"11",20534,60,1929,118,"brassica napus"
"12",20535,60,1929,140,"brassica napus"
"13",20534,60,1930,116,"brassica napus"
"14",20535,60,1930,140,"brassica napus"
"15",20152,60,1930,183,"brassica napus"
"16",7015,60,1989,102,"brassica napus"
"17",6490,51,2011,90,"brassica napus"
"18",6571,31,2011,91,"brassica napus"
"19",7015,31,2011,91,"brassica napus"
"20",6561,14,2011,92,"brassica napus"
"21",6695,14,2011,94,"brassica napus"
"22",7015,51,2011,94,"brassica napus"
"23",7015,60,2011,100,"brassica napus"
"24",6561,31,2011,102,"brassica napus"
"25",6662,14,2011,105,"brassica napus"
"26",6695,31,2011,106,"brassica napus"
"27",6490,60,2011,106,"brassica napus"
"28",6561,51,2011,108,"brassica napus"
"29",6571,60,2011,108,"brassica napus"
"30",6662,31,2011,112,"brassica napus"
"31",6561,60,2011,117,"brassica napus"
"32",6695,51,2011,119,"brassica napus"
"33",6662,51,2011,120,"brassica napus"
"34",20230,60,2011,121,"brassica napus"
"35",6662,60,2011,127,"brassica napus"
"36",6695,60,2011,132,"brassica napus"
"37",7015,89,2011,175,"brassica napus"
"38",6490,89,2011,181,"brassica napus"
"39",7015,100,2011,183,"brassica napus"
"40",6571,89,2011,188,"brassica napus"
"41",6490,100,2011,189,"brassica napus"
"42",6561,89,2011,191,"brassica napus"
"43",6571,100,2011,193,"brassica napus"
"44",6561,100,2011,194,"brassica napus"
"45",6662,89,2011,195,"brassica napus"
"46",6662,100,2011,198,"brassica napus"
"47",6561,0,2011,226,"brassica napus"
"48",6695,89,2011,229,"brassica napus"
"49",6695,100,2011,230,"brassica napus"
"50",7015,0,2011,234,"brassica napus"
"51",6571,0,2011,236,"brassica napus"
"52",6662,0,2011,237,"brassica napus"
"53",7015,7,2011,242,"brassica napus"
"54",6571,7,2011,245,"brassica napus"
"55",6561,7,2011,250,"brassica napus"
"56",6662,7,2011,253,"brassica napus"
"57",6695,0,2011,258,"brassica napus"
"58",6571,14,2011,265,"brassica napus"
"59",6695,7,2011,270,"brassica napus"
"60",6490,0,2011,272,"brassica napus"
"61",7015,14,2011,276,"brassica napus"
"62",6490,7,2011,283,"brassica napus"
"63",6662,14,2012,76,"brassica napus"
"64",6490,14,2012,81,"brassica napus"
"65",6533,31,2012,85,"brassica napus"
"66",6490,51,2012,90,"brassica napus"
"67",20218,51,2012,90,"brassica napus"
"68",6533,51,2012,93,"brassica napus"
"69",6561,14,2012,94,"brassica napus"
"70",20218,60,2012,95,"brassica napus"
"71",6589,51,2012,96,"brassica napus"
"72",6490,60,2012,98,"brassica napus"
