"","PEP_ID","BBCH","YEAR","DAY","species"
"1",6608,60,1943,237,"calluna vulgaris"
"2",6677,60,1958,161,"calluna vulgaris"
"3",6610,60,1958,180,"calluna vulgaris"
"4",6604,60,1958,191,"calluna vulgaris"
"5",20184,60,1958,191,"calluna vulgaris"
"6",19981,60,1958,193,"calluna vulgaris"
"7",20203,60,1958,194,"calluna vulgaris"
"8",6498,60,1958,196,"calluna vulgaris"
"9",20125,60,1958,197,"calluna vulgaris"
"10",6637,60,1958,199,"calluna vulgaris"
"11",6481,60,1958,201,"calluna vulgaris"
"12",6589,60,1958,201,"calluna vulgaris"
"13",19970,60,1958,202,"calluna vulgaris"
"14",20103,60,1958,203,"calluna vulgaris"
"15",19550,60,1958,205,"calluna vulgaris"
"16",19947,60,1958,207,"calluna vulgaris"
"17",19570,60,1958,210,"calluna vulgaris"
"18",19672,60,1958,211,"calluna vulgaris"
"19",19917,60,1958,211,"calluna vulgaris"
"20",19668,60,1958,213,"calluna vulgaris"
"21",6517,60,1958,214,"calluna vulgaris"
"22",6588,60,1958,214,"calluna vulgaris"
"23",19971,60,1958,214,"calluna vulgaris"
"24",19993,60,1958,215,"calluna vulgaris"
"25",6636,60,1958,217,"calluna vulgaris"
"26",19575,60,1958,217,"calluna vulgaris"
"27",19940,60,1958,217,"calluna vulgaris"
"28",20006,60,1958,217,"calluna vulgaris"
"29",6520,60,1958,218,"calluna vulgaris"
"30",6622,60,1958,222,"calluna vulgaris"
"31",19578,60,1958,222,"calluna vulgaris"
"32",19666,60,1958,222,"calluna vulgaris"
"33",19676,60,1958,222,"calluna vulgaris"
"34",19691,60,1958,222,"calluna vulgaris"
"35",19755,60,1958,222,"calluna vulgaris"
"36",20025,60,1958,222,"calluna vulgaris"
"37",20096,60,1958,222,"calluna vulgaris"
"38",19616,60,1958,223,"calluna vulgaris"
"39",19949,60,1958,223,"calluna vulgaris"
"40",19620,60,1958,224,"calluna vulgaris"
"41",6516,60,1958,227,"calluna vulgaris"
"42",6649,60,1958,227,"calluna vulgaris"
"43",19574,60,1958,227,"calluna vulgaris"
"44",19607,60,1958,227,"calluna vulgaris"
"45",19934,60,1958,227,"calluna vulgaris"
"46",20012,60,1958,227,"calluna vulgaris"
"47",19569,60,1958,228,"calluna vulgaris"
"48",19619,60,1958,228,"calluna vulgaris"
"49",20054,60,1958,228,"calluna vulgaris"
"50",6603,60,1958,230,"calluna vulgaris"
"51",20042,60,1958,230,"calluna vulgaris"
"52",20046,60,1958,230,"calluna vulgaris"
"53",20172,60,1958,232,"calluna vulgaris"
"54",20174,60,1958,232,"calluna vulgaris"
"55",20274,60,1958,232,"calluna vulgaris"
"56",19689,60,1958,233,"calluna vulgaris"
"57",6506,60,1958,237,"calluna vulgaris"
"58",6529,60,1958,237,"calluna vulgaris"
"59",6592,60,1958,237,"calluna vulgaris"
"60",20115,60,1958,237,"calluna vulgaris"
"61",20204,60,1958,238,"calluna vulgaris"
"62",6705,60,1958,240,"calluna vulgaris"
"63",19645,60,1958,241,"calluna vulgaris"
"64",19640,60,1958,242,"calluna vulgaris"
"65",20197,60,1958,247,"calluna vulgaris"
"66",20195,60,1958,248,"calluna vulgaris"
"67",6532,60,1958,255,"calluna vulgaris"
"68",6616,60,1958,258,"calluna vulgaris"
"69",19589,60,1958,258,"calluna vulgaris"
"70",20254,60,1958,258,"calluna vulgaris"
"71",20199,60,1958,263,"calluna vulgaris"
"72",6558,60,1958,269,"calluna vulgaris"
"73",20032,60,1959,191,"calluna vulgaris"
"74",6498,60,1959,197,"calluna vulgaris"
"75",6624,60,1959,199,"calluna vulgaris"
"76",20201,60,1959,200,"calluna vulgaris"
"77",19672,60,1959,201,"calluna vulgaris"
"78",19971,60,1959,201,"calluna vulgaris"
"79",20190,60,1959,201,"calluna vulgaris"
"80",6517,60,1959,203,"calluna vulgaris"
"81",6513,60,1959,206,"calluna vulgaris"
"82",6665,60,1959,209,"calluna vulgaris"
"83",6669,60,1959,209,"calluna vulgaris"
"84",19662,60,1959,209,"calluna vulgaris"
"85",20103,60,1959,209,"calluna vulgaris"
"86",20203,60,1959,210,"calluna vulgaris"
"87",19578,60,1959,211,"calluna vulgaris"
"88",19949,60,1959,211,"calluna vulgaris"
"89",6520,60,1959,212,"calluna vulgaris"
"90",20037,60,1959,212,"calluna vulgaris"
"91",19640,60,1959,213,"calluna vulgaris"
"92",19668,60,1959,213,"calluna vulgaris"
"93",20254,60,1959,215,"calluna vulgaris"
"94",19940,60,1959,216,"calluna vulgaris"
"95",19917,60,1959,217,"calluna vulgaris"
"96",19691,60,1959,220,"calluna vulgaris"
"97",6682,60,1959,224,"calluna vulgaris"
"98",19981,60,1959,224,"calluna vulgaris"
"99",19693,60,1959,225,"calluna vulgaris"
"100",6549,60,1959,227,"calluna vulgaris"
"101",6590,60,1959,227,"calluna vulgaris"
"102",6600,60,1959,227,"calluna vulgaris"
"103",19645,60,1959,227,"calluna vulgaris"
"104",19689,60,1959,227,"calluna vulgaris"
"105",19946,60,1959,227,"calluna vulgaris"
"106",20046,60,1959,227,"calluna vulgaris"
"107",20150,60,1959,227,"calluna vulgaris"
"108",20131,60,1959,228,"calluna vulgaris"
"109",6635,60,1959,230,"calluna vulgaris"
"110",20006,60,1959,230,"calluna vulgaris"
"111",20025,60,1959,230,"calluna vulgaris"
"112",6521,60,1959,232,"calluna vulgaris"
"113",6594,60,1959,232,"calluna vulgaris"
"114",6612,60,1959,232,"calluna vulgaris"
"115",19574,60,1959,232,"calluna vulgaris"
"116",19606,60,1959,232,"calluna vulgaris"
"117",19619,60,1959,232,"calluna vulgaris"
"118",19947,60,1959,232,"calluna vulgaris"
"119",19993,60,1959,232,"calluna vulgaris"
"120",20098,60,1959,232,"calluna vulgaris"
"121",20125,60,1959,232,"calluna vulgaris"
"122",20199,60,1959,232,"calluna vulgaris"
"123",20022,60,1959,233,"calluna vulgaris"
"124",6506,60,1959,234,"calluna vulgaris"
"125",20042,60,1959,234,"calluna vulgaris"
"126",20198,60,1959,236,"calluna vulgaris"
"127",6470,60,1959,237,"calluna vulgaris"
"128",6613,60,1959,237,"calluna vulgaris"
"129",20029,60,1959,237,"calluna vulgaris"
"130",6619,60,1959,240,"calluna vulgaris"
"131",19607,60,1959,240,"calluna vulgaris"
"132",19570,60,1959,241,"calluna vulgaris"
"133",19616,60,1959,242,"calluna vulgaris"
"134",20172,60,1959,242,"calluna vulgaris"
"135",6592,60,1959,244,"calluna vulgaris"
"136",19776,60,1959,244,"calluna vulgaris"
"137",6448,60,1959,249,"calluna vulgaris"
"138",6711,60,1959,249,"calluna vulgaris"
"139",6668,60,1959,251,"calluna vulgaris"
"140",19594,60,1959,251,"calluna vulgaris"
"141",20174,60,1959,253,"calluna vulgaris"
"142",19679,60,1959,255,"calluna vulgaris"
"143",19738,60,1959,258,"calluna vulgaris"
"144",6579,60,1959,263,"calluna vulgaris"
"145",6702,60,1960,176,"calluna vulgaris"
"146",6517,60,1960,180,"calluna vulgaris"
"147",20140,60,1960,187,"calluna vulgaris"
"148",19940,60,1960,190,"calluna vulgaris"
"149",19691,60,1960,196,"calluna vulgaris"
"150",6498,60,1960,197,"calluna vulgaris"
"151",6604,60,1960,197,"calluna vulgaris"
"152",19981,60,1960,197,"calluna vulgaris"
"153",20184,60,1960,197,"calluna vulgaris"
"154",6677,60,1960,199,"calluna vulgaris"
"155",19570,60,1960,204,"calluna vulgaris"
"156",20154,60,1960,204,"calluna vulgaris"
"157",19607,60,1960,205,"calluna vulgaris"
"158",20103,60,1960,206,"calluna vulgaris"
"159",19947,60,1960,207,"calluna vulgaris"
"160",6520,60,1960,208,"calluna vulgaris"
"161",20014,60,1960,208,"calluna vulgaris"
"162",19586,60,1960,210,"calluna vulgaris"
"163",19626,60,1960,210,"calluna vulgaris"
"164",19733,60,1960,210,"calluna vulgaris"
"165",19917,60,1960,212,"calluna vulgaris"
"166",20203,60,1960,212,"calluna vulgaris"
"167",6513,60,1960,214,"calluna vulgaris"
"168",20160,60,1960,214,"calluna vulgaris"
"169",20161,60,1960,214,"calluna vulgaris"
"170",19971,60,1960,215,"calluna vulgaris"
"171",19575,60,1960,217,"calluna vulgaris"
"172",20025,60,1960,217,"calluna vulgaris"
"173",6689,60,1960,218,"calluna vulgaris"
"174",19578,60,1960,218,"calluna vulgaris"
"175",19620,60,1960,218,"calluna vulgaris"
"176",20150,60,1960,218,"calluna vulgaris"
"177",20254,60,1960,219,"calluna vulgaris"
"178",6588,60,1960,220,"calluna vulgaris"
"179",6576,60,1960,221,"calluna vulgaris"
"180",19662,60,1960,222,"calluna vulgaris"
"181",19888,60,1960,222,"calluna vulgaris"
"182",6469,60,1960,223,"calluna vulgaris"
"183",6611,60,1960,223,"calluna vulgaris"
"184",6656,60,1960,223,"calluna vulgaris"
"185",19640,60,1960,223,"calluna vulgaris"
"186",19668,60,1960,223,"calluna vulgaris"
"187",19913,60,1960,223,"calluna vulgaris"
"188",19949,60,1960,223,"calluna vulgaris"
"189",6665,60,1960,224,"calluna vulgaris"
"190",6669,60,1960,224,"calluna vulgaris"
"191",6622,60,1960,225,"calluna vulgaris"
"192",6526,60,1960,227,"calluna vulgaris"
"193",19562,60,1960,227,"calluna vulgaris"
"194",6481,60,1960,228,"calluna vulgaris"
"195",6529,60,1960,228,"calluna vulgaris"
"196",6638,60,1960,228,"calluna vulgaris"
"197",19576,60,1960,228,"calluna vulgaris"
"198",19595,60,1960,228,"calluna vulgaris"
"199",19762,60,1960,228,"calluna vulgaris"
"200",20012,60,1960,228,"calluna vulgaris"
"201",20060,60,1960,228,"calluna vulgaris"
"202",20077,60,1960,228,"calluna vulgaris"
"203",20096,60,1960,228,"calluna vulgaris"
"204",20125,60,1960,228,"calluna vulgaris"
"205",20183,60,1960,228,"calluna vulgaris"
"206",20274,60,1960,228,"calluna vulgaris"
"207",19748,60,1960,229,"calluna vulgaris"
"208",6590,60,1960,231,"calluna vulgaris"
"209",6682,60,1960,231,"calluna vulgaris"
"210",6686,60,1960,231,"calluna vulgaris"
"211",19720,60,1960,231,"calluna vulgaris"
"212",6608,60,1960,232,"calluna vulgaris"
"213",6516,60,1960,233,"calluna vulgaris"
"214",6594,60,1960,233,"calluna vulgaris"
"215",6612,60,1960,233,"calluna vulgaris"
"216",19645,60,1960,233,"calluna vulgaris"
"217",20037,60,1960,233,"calluna vulgaris"
"218",20073,60,1960,233,"calluna vulgaris"
"219",20099,60,1960,233,"calluna vulgaris"
"220",6448,60,1960,234,"calluna vulgaris"
"221",6711,60,1960,234,"calluna vulgaris"
"222",19619,60,1960,234,"calluna vulgaris"
"223",19672,60,1960,236,"calluna vulgaris"
"224",19724,60,1960,236,"calluna vulgaris"
"225",6549,60,1960,237,"calluna vulgaris"
"226",19946,60,1960,237,"calluna vulgaris"
"227",20174,60,1960,237,"calluna vulgaris"
"228",6574,60,1960,238,"calluna vulgaris"
"229",6592,60,1960,238,"calluna vulgaris"
"230",6613,60,1960,238,"calluna vulgaris"
"231",6616,60,1960,238,"calluna vulgaris"
"232",19689,60,1960,238,"calluna vulgaris"
"233",20199,60,1960,238,"calluna vulgaris"
"234",6636,60,1960,239,"calluna vulgaris"
"235",19561,60,1960,239,"calluna vulgaris"
"236",20172,60,1960,239,"calluna vulgaris"
"237",20093,60,1960,241,"calluna vulgaris"
"238",20153,60,1960,241,"calluna vulgaris"
"239",20146,60,1960,243,"calluna vulgaris"
"240",19776,60,1960,245,"calluna vulgaris"
"241",19612,60,1960,247,"calluna vulgaris"
"242",19996,60,1960,248,"calluna vulgaris"
"243",19589,60,1960,249,"calluna vulgaris"
"244",6579,60,1960,270,"calluna vulgaris"
"245",19566,60,1961,151,"calluna vulgaris"
"246",6559,60,1961,153,"calluna vulgaris"
"247",6517,60,1961,176,"calluna vulgaris"
"248",19575,60,1961,186,"calluna vulgaris"
"249",19981,60,1961,189,"calluna vulgaris"
"250",6677,60,1961,191,"calluna vulgaris"
"251",19668,60,1961,191,"calluna vulgaris"
"252",20203,60,1961,191,"calluna vulgaris"
"253",19683,60,1961,193,"calluna vulgaris"
"254",19607,60,1961,196,"calluna vulgaris"
"255",19679,60,1961,196,"calluna vulgaris"
"256",6616,60,1961,201,"calluna vulgaris"
"257",19634,60,1961,201,"calluna vulgaris"
"258",19586,60,1961,202,"calluna vulgaris"
"259",19852,60,1961,204,"calluna vulgaris"
"260",20103,60,1961,205,"calluna vulgaris"
"261",6529,60,1961,206,"calluna vulgaris"
"262",19672,60,1961,206,"calluna vulgaris"
"263",6520,60,1961,207,"calluna vulgaris"
"264",6612,60,1961,208,"calluna vulgaris"
"265",6665,60,1961,208,"calluna vulgaris"
"266",6669,60,1961,208,"calluna vulgaris"
"267",20472,60,1961,208,"calluna vulgaris"
"268",19610,60,1961,209,"calluna vulgaris"
"269",6619,60,1961,210,"calluna vulgaris"
"270",19693,60,1961,210,"calluna vulgaris"
"271",19949,60,1961,210,"calluna vulgaris"
"272",20160,60,1961,210,"calluna vulgaris"
"273",19917,60,1961,211,"calluna vulgaris"
"274",20025,60,1961,211,"calluna vulgaris"
"275",20078,60,1961,211,"calluna vulgaris"
"276",20096,60,1961,211,"calluna vulgaris"
"277",6498,60,1961,213,"calluna vulgaris"
"278",19602,60,1961,213,"calluna vulgaris"
"279",19650,60,1961,213,"calluna vulgaris"
"280",19776,60,1961,213,"calluna vulgaris"
"281",19940,60,1961,214,"calluna vulgaris"
"282",19971,60,1961,214,"calluna vulgaris"
"283",20201,60,1961,214,"calluna vulgaris"
"284",6513,60,1961,216,"calluna vulgaris"
"285",19645,60,1961,216,"calluna vulgaris"
"286",19691,60,1961,216,"calluna vulgaris"
"287",20261,60,1961,216,"calluna vulgaris"
"288",19578,60,1961,217,"calluna vulgaris"
"289",19599,60,1961,217,"calluna vulgaris"
"290",20161,60,1961,217,"calluna vulgaris"
"291",6656,60,1961,218,"calluna vulgaris"
"292",19913,60,1961,219,"calluna vulgaris"
"293",19724,60,1961,221,"calluna vulgaris"
"294",20254,60,1961,221,"calluna vulgaris"
"295",6448,60,1961,222,"calluna vulgaris"
"296",6521,60,1961,222,"calluna vulgaris"
"297",6613,60,1961,222,"calluna vulgaris"
"298",6622,60,1961,222,"calluna vulgaris"
"299",6711,60,1961,222,"calluna vulgaris"
"300",19563,60,1961,222,"calluna vulgaris"
"301",20150,60,1961,222,"calluna vulgaris"
"302",20183,60,1961,222,"calluna vulgaris"
"303",20199,60,1961,222,"calluna vulgaris"
"304",6451,60,1961,224,"calluna vulgaris"
"305",19561,60,1961,226,"calluna vulgaris"
"306",6603,60,1961,227,"calluna vulgaris"
"307",6682,60,1961,227,"calluna vulgaris"
"308",19562,60,1961,227,"calluna vulgaris"
"309",19576,60,1961,227,"calluna vulgaris"
"310",19589,60,1961,227,"calluna vulgaris"
"311",19662,60,1961,227,"calluna vulgaris"
"312",20012,60,1961,227,"calluna vulgaris"
"313",20023,60,1961,227,"calluna vulgaris"
"314",20059,60,1961,227,"calluna vulgaris"
"315",20099,60,1961,227,"calluna vulgaris"
"316",6636,60,1961,228,"calluna vulgaris"
"317",20125,60,1961,229,"calluna vulgaris"
"318",6576,60,1961,230,"calluna vulgaris"
"319",6686,60,1961,230,"calluna vulgaris"
"320",20077,60,1961,230,"calluna vulgaris"
"321",6549,60,1961,231,"calluna vulgaris"
"322",6574,60,1961,231,"calluna vulgaris"
"323",19946,60,1961,231,"calluna vulgaris"
"324",20006,60,1961,231,"calluna vulgaris"
"325",6481,60,1961,232,"calluna vulgaris"
"326",6579,60,1961,232,"calluna vulgaris"
"327",6590,60,1961,232,"calluna vulgaris"
"328",19550,60,1961,232,"calluna vulgaris"
"329",19616,60,1961,232,"calluna vulgaris"
"330",20021,60,1961,232,"calluna vulgaris"
"331",20037,60,1961,232,"calluna vulgaris"
"332",20073,60,1961,232,"calluna vulgaris"
"333",20115,60,1961,232,"calluna vulgaris"
"334",6608,60,1961,233,"calluna vulgaris"
"335",6594,60,1961,234,"calluna vulgaris"
"336",19588,60,1961,235,"calluna vulgaris"
"337",20022,60,1961,235,"calluna vulgaris"
"338",6668,60,1961,237,"calluna vulgaris"
"339",19720,60,1961,237,"calluna vulgaris"
"340",19620,60,1961,240,"calluna vulgaris"
"341",6516,60,1961,242,"calluna vulgaris"
"342",20038,60,1961,244,"calluna vulgaris"
"343",20042,60,1961,244,"calluna vulgaris"
"344",20146,60,1961,244,"calluna vulgaris"
