"","PEP_ID","BBCH","YEAR","DAY","species"
"1",6699,60,1943,164,"dactylis glomerata"
"2",6712,60,1944,154,"dactylis glomerata"
"3",6712,60,1945,145,"dactylis glomerata"
"4",6581,60,1949,186,"dactylis glomerata"
"5",6677,60,1950,117,"dactylis glomerata"
"6",19971,60,1950,123,"dactylis glomerata"
"7",6582,60,1950,124,"dactylis glomerata"
"8",20081,60,1950,124,"dactylis glomerata"
"9",19993,60,1950,130,"dactylis glomerata"
"10",19607,60,1950,134,"dactylis glomerata"
"11",6613,60,1950,135,"dactylis glomerata"
"12",19617,60,1950,135,"dactylis glomerata"
"13",19813,60,1950,135,"dactylis glomerata"
"14",19925,60,1950,135,"dactylis glomerata"
"15",19926,60,1950,135,"dactylis glomerata"
"16",19987,60,1950,135,"dactylis glomerata"
"17",20068,60,1950,135,"dactylis glomerata"
"18",20110,60,1950,135,"dactylis glomerata"
"19",20148,60,1950,135,"dactylis glomerata"
"20",20277,60,1950,135,"dactylis glomerata"
"21",6653,60,1950,136,"dactylis glomerata"
"22",20028,60,1950,136,"dactylis glomerata"
"23",20165,60,1950,136,"dactylis glomerata"
"24",6590,60,1950,138,"dactylis glomerata"
"25",19631,60,1950,138,"dactylis glomerata"
"26",19892,60,1950,138,"dactylis glomerata"
"27",19559,60,1950,139,"dactylis glomerata"
"28",19648,60,1950,139,"dactylis glomerata"
"29",19665,60,1950,139,"dactylis glomerata"
"30",19823,60,1950,139,"dactylis glomerata"
"31",19973,60,1950,139,"dactylis glomerata"
"32",19977,60,1950,139,"dactylis glomerata"
"33",6535,60,1950,140,"dactylis glomerata"
"34",19560,60,1950,140,"dactylis glomerata"
"35",19596,60,1950,140,"dactylis glomerata"
"36",19807,60,1950,140,"dactylis glomerata"
"37",19844,60,1950,140,"dactylis glomerata"
"38",19995,60,1950,140,"dactylis glomerata"
"39",20115,60,1950,140,"dactylis glomerata"
"40",20197,60,1950,140,"dactylis glomerata"
"41",6478,60,1950,141,"dactylis glomerata"
"42",8025,60,1950,141,"dactylis glomerata"
"43",19567,60,1950,141,"dactylis glomerata"
"44",19798,60,1950,141,"dactylis glomerata"
"45",19906,60,1950,141,"dactylis glomerata"
"46",20029,60,1950,141,"dactylis glomerata"
"47",20042,60,1950,141,"dactylis glomerata"
"48",20070,60,1950,141,"dactylis glomerata"
"49",20084,60,1950,141,"dactylis glomerata"
"50",6449,60,1950,142,"dactylis glomerata"
"51",19614,60,1950,142,"dactylis glomerata"
"52",19676,60,1950,142,"dactylis glomerata"
"53",19691,60,1950,142,"dactylis glomerata"
"54",19695,60,1950,142,"dactylis glomerata"
"55",20045,60,1950,142,"dactylis glomerata"
"56",20274,60,1950,142,"dactylis glomerata"
"57",19587,60,1950,143,"dactylis glomerata"
"58",6707,60,1950,144,"dactylis glomerata"
"59",19553,60,1950,144,"dactylis glomerata"
"60",19658,60,1950,144,"dactylis glomerata"
