"","PEP_ID","BBCH","YEAR","DAY","species"
"1",6452,0,2000,90,"helianthus annus"
"2",6571,0,2000,98,"helianthus annus"
"3",6693,0,2000,99,"helianthus annus"
"4",6457,0,2000,102,"helianthus annus"
"5",6561,0,2000,103,"helianthus annus"
"6",6663,0,2000,104,"helianthus annus"
"7",6522,0,2000,105,"helianthus annus"
"8",6634,0,2000,105,"helianthus annus"
"9",6452,10,2000,108,"helianthus annus"
"10",6528,0,2000,109,"helianthus annus"
"11",7015,0,2000,109,"helianthus annus"
"12",6693,10,2000,116,"helianthus annus"
"13",6571,10,2000,116,"helianthus annus"
"14",6663,10,2000,116,"helianthus annus"
"15",6589,0,2000,119,"helianthus annus"
"16",6634,10,2000,121,"helianthus annus"
"17",6665,0,2000,122,"helianthus annus"
"18",6561,10,2000,123,"helianthus annus"
"19",7015,10,2000,124,"helianthus annus"
"20",6528,10,2000,124,"helianthus annus"
"21",6626,0,2000,125,"helianthus annus"
"22",6626,10,2000,133,"helianthus annus"
"23",6522,10,2000,133,"helianthus annus"
"24",6553,0,2000,134,"helianthus annus"
"25",6589,10,2000,136,"helianthus annus"
"26",6665,10,2000,139,"helianthus annus"
"27",6663,51,2000,153,"helianthus annus"
"28",6571,51,2000,155,"helianthus annus"
"29",6634,51,2000,157,"helianthus annus"
"30",6647,10,2000,158,"helianthus annus"
"31",6553,10,2000,164,"helianthus annus"
"32",6561,51,2000,164,"helianthus annus"
"33",7015,51,2000,166,"helianthus annus"
"34",6665,51,2000,166,"helianthus annus"
"35",6589,51,2000,167,"helianthus annus"
"36",6647,51,2000,179,"helianthus annus"
"37",6626,51,2000,182,"helianthus annus"
"38",6452,51,2000,207,"helianthus annus"
"39",6528,51,2000,210,"helianthus annus"
"40",7015,100,2000,254,"helianthus annus"
"41",6693,51,2000,255,"helianthus annus"
"42",6553,51,2000,255,"helianthus annus"
"43",6663,100,2000,257,"helianthus annus"
"44",6528,100,2000,257,"helianthus annus"
"45",6589,100,2000,258,"helianthus annus"
"46",6571,100,2000,259,"helianthus annus"
"47",6634,100,2000,260,"helianthus annus"
"48",6561,100,2000,260,"helianthus annus"
"49",6693,100,2000,262,"helianthus annus"
"50",6522,51,2000,264,"helianthus annus"
"51",6522,100,2000,270,"helianthus annus"
"52",6553,100,2000,271,"helianthus annus"
"53",6452,100,2000,279,"helianthus annus"
"54",6665,100,2000,279,"helianthus annus"
"55",6647,100,2000,298,"helianthus annus"
"56",6518,0,2001,80,"helianthus annus"
"57",6518,10,2001,86,"helianthus annus"
"58",6693,0,2001,96,"helianthus annus"
"59",7015,0,2001,101,"helianthus annus"
"60",6663,0,2001,102,"helianthus annus"
"61",6561,0,2001,105,"helianthus annus"
"62",6634,0,2001,115,"helianthus annus"
"63",6624,0,2001,118,"helianthus annus"
"64",6663,10,2001,120,"helianthus annus"
"65",7015,10,2001,120,"helianthus annus"
"66",6573,0,2001,123,"helianthus annus"
"67",6665,0,2001,124,"helianthus annus"
"68",6626,0,2001,124,"helianthus annus"
"69",6693,10,2001,124,"helianthus annus"
"70",6561,10,2001,128,"helianthus annus"
"71",6490,10,2001,130,"helianthus annus"
"72",6634,10,2001,130,"helianthus annus"
"73",6553,0,2001,131,"helianthus annus"
"74",6665,10,2001,134,"helianthus annus"
"75",6626,10,2001,135,"helianthus annus"
"76",6624,10,2001,135,"helianthus annus"
"77",6573,10,2001,145,"helianthus annus"
"78",6553,10,2001,157,"helianthus annus"
"79",6665,51,2001,163,"helianthus annus"
"80",6663,51,2001,165,"helianthus annus"
"81",7015,51,2001,165,"helianthus annus"
"82",6561,51,2001,173,"helianthus annus"
"83",6708,51,2001,178,"helianthus annus"
"84",6573,51,2001,186,"helianthus annus"
"85",6624,51,2001,207,"helianthus annus"
"86",6634,51,2001,214,"helianthus annus"
"87",6693,51,2001,222,"helianthus annus"
"88",6503,100,2001,242,"helianthus annus"
"89",6553,51,2001,244,"helianthus annus"
"90",6553,100,2001,264,"helianthus annus"
"91",6693,100,2001,271,"helianthus annus"
"92",6663,100,2001,274,"helianthus annus"
"93",7015,100,2001,277,"helianthus annus"
"94",6665,100,2001,277,"helianthus annus"
"95",6561,100,2001,278,"helianthus annus"
"96",6573,100,2001,278,"helianthus annus"
"97",6490,100,2001,281,"helianthus annus"
"98",6624,100,2001,288,"helianthus annus"
"99",6561,0,2002,93,"helianthus annus"
"100",6663,0,2002,99,"helianthus annus"
"101",6522,0,2002,102,"helianthus annus"
"102",6620,0,2002,108,"helianthus annus"
"103",7015,0,2002,108,"helianthus annus"
"104",6634,0,2002,113,"helianthus annus"
"105",6663,10,2002,119,"helianthus annus"
"106",7015,10,2002,120,"helianthus annus"
"107",6548,0,2002,121,"helianthus annus"
"108",6553,0,2002,121,"helianthus annus"
"109",6490,10,2002,122,"helianthus annus"
"110",6639,0,2002,125,"helianthus annus"
"111",6561,10,2002,125,"helianthus annus"
"112",6522,10,2002,130,"helianthus annus"
"113",6548,10,2002,130,"helianthus annus"
"114",6634,10,2002,134,"helianthus annus"
"115",6620,10,2002,140,"helianthus annus"
"116",6639,10,2002,140,"helianthus annus"
"117",6553,10,2002,147,"helianthus annus"
"118",6490,51,2002,155,"helianthus annus"
"119",7015,51,2002,163,"helianthus annus"
"120",6522,51,2002,163,"helianthus annus"
"121",6561,51,2002,170,"helianthus annus"
"122",6663,51,2002,173,"helianthus annus"
"123",6639,51,2002,178,"helianthus annus"
"124",6620,51,2002,211,"helianthus annus"
"125",6639,100,2002,220,"helianthus annus"
"126",6553,51,2002,236,"helianthus annus"
"127",6553,100,2002,251,"helianthus annus"
"128",6663,100,2002,252,"helianthus annus"
"129",6634,51,2002,253,"helianthus annus"
"130",7015,100,2002,253,"helianthus annus"
"131",6561,100,2002,253,"helianthus annus"
"132",6522,100,2002,261,"helianthus annus"
"133",6634,100,2002,262,"helianthus annus"
"134",6620,100,2002,263,"helianthus annus"
"135",6490,100,2002,298,"helianthus annus"
"136",6561,0,2003,102,"helianthus annus"
"137",6663,0,2003,102,"helianthus annus"
"138",7015,0,2003,104,"helianthus annus"
"139",6522,0,2003,106,"helianthus annus"
"140",6571,0,2003,108,"helianthus annus"
"141",6467,0,2003,110,"helianthus annus"
"142",6634,0,2003,111,"helianthus annus"
"143",6468,10,2003,115,"helianthus annus"
"144",6624,0,2003,118,"helianthus annus"
"145",7015,10,2003,118,"helianthus annus"
"146",6663,10,2003,118,"helianthus annus"
"147",6573,0,2003,120,"helianthus annus"
"148",6620,0,2003,120,"helianthus annus"
"149",6561,10,2003,122,"helianthus annus"
"150",6571,10,2003,122,"helianthus annus"
"151",6540,0,2003,123,"helianthus annus"
"152",6467,10,2003,124,"helianthus annus"
"153",6634,10,2003,128,"helianthus annus"
"154",6553,0,2003,129,"helianthus annus"
"155",6540,10,2003,134,"helianthus annus"
"156",6522,10,2003,134,"helianthus annus"
"157",6620,10,2003,135,"helianthus annus"
"158",6624,10,2003,135,"helianthus annus"
"159",6647,10,2003,135,"helianthus annus"
"160",6573,10,2003,140,"helianthus annus"
"161",6553,10,2003,146,"helianthus annus"
"162",6450,51,2003,152,"helianthus annus"
"163",6571,51,2003,158,"helianthus annus"
"164",6663,51,2003,158,"helianthus annus"
"165",7015,51,2003,160,"helianthus annus"
"166",6561,51,2003,163,"helianthus annus"
"167",6634,51,2003,167,"helianthus annus"
"168",6620,51,2003,171,"helianthus annus"
"169",6573,51,2003,171,"helianthus annus"
"170",6624,51,2003,182,"helianthus annus"
"171",6467,51,2003,186,"helianthus annus"
"172",6573,100,2003,232,"helianthus annus"
"173",6553,51,2003,233,"helianthus annus"
"174",6540,51,2003,234,"helianthus annus"
"175",6477,0,2003,235,"helianthus annus"
"176",6663,100,2003,239,"helianthus annus"
"177",7015,100,2003,240,"helianthus annus"
"178",6571,100,2003,240,"helianthus annus"
"179",6624,100,2003,240,"helianthus annus"
"180",6561,100,2003,241,"helianthus annus"
"181",6553,100,2003,245,"helianthus annus"
"182",6490,100,2003,245,"helianthus annus"
"183",6467,100,2003,258,"helianthus annus"
"184",6634,100,2003,263,"helianthus annus"
"185",6522,51,2003,265,"helianthus annus"
"186",6620,100,2003,265,"helianthus annus"
"187",6450,100,2003,265,"helianthus annus"
"188",6522,100,2003,271,"helianthus annus"
"189",6540,100,2003,275,"helianthus annus"
"190",6571,0,2004,100,"helianthus annus"
"191",6490,0,2004,104,"helianthus annus"
"192",6561,0,2004,107,"helianthus annus"
"193",7015,0,2004,107,"helianthus annus"
"194",6663,0,2004,108,"helianthus annus"
"195",8019,0,2004,109,"helianthus annus"
"196",6708,0,2004,110,"helianthus annus"
"197",6634,0,2004,111,"helianthus annus"
"198",6533,0,2004,112,"helianthus annus"
"199",6620,0,2004,115,"helianthus annus"
"200",6452,0,2004,116,"helianthus annus"
"201",6571,10,2004,117,"helianthus annus"
"202",6711,0,2004,118,"helianthus annus"
"203",7015,10,2004,118,"helianthus annus"
"204",6663,10,2004,118,"helianthus annus"
"205",6573,0,2004,121,"helianthus annus"
"206",6708,10,2004,121,"helianthus annus"
"207",6452,10,2004,123,"helianthus annus"
"208",6533,10,2004,124,"helianthus annus"
"209",8019,10,2004,124,"helianthus annus"
"210",8024,0,2004,126,"helianthus annus"
"211",6624,0,2004,127,"helianthus annus"
"212",6561,10,2004,127,"helianthus annus"
"213",6490,10,2004,129,"helianthus annus"
"214",8024,10,2004,134,"helianthus annus"
"215",6620,10,2004,137,"helianthus annus"
"216",6634,10,2004,138,"helianthus annus"
"217",6573,10,2004,141,"helianthus annus"
"218",6624,10,2004,154,"helianthus annus"
"219",6571,51,2004,161,"helianthus annus"
"220",6490,51,2004,167,"helianthus annus"
"221",6663,51,2004,170,"helianthus annus"
"222",6533,51,2004,171,"helianthus annus"
"223",7015,51,2004,177,"helianthus annus"
"224",6620,51,2004,180,"helianthus annus"
"225",6561,51,2004,183,"helianthus annus"
"226",6634,51,2004,187,"helianthus annus"
"227",6624,51,2004,192,"helianthus annus"
"228",8019,51,2004,194,"helianthus annus"
"229",6651,51,2004,200,"helianthus annus"
"230",6573,51,2004,210,"helianthus annus"
"231",8021,100,2004,241,"helianthus annus"
"232",6573,100,2004,244,"helianthus annus"
"233",6708,51,2004,252,"helianthus annus"
"234",6663,100,2004,252,"helianthus annus"
"235",6571,100,2004,253,"helianthus annus"
