"","PEP_ID","BBCH","YEAR","DAY","species"
"1",20138,60,1926,121,"pinus sylverstris"
"2",20529,60,1926,123,"pinus sylverstris"
"3",20536,60,1926,130,"pinus sylverstris"
"4",20155,60,1926,130,"pinus sylverstris"
"5",20542,60,1926,133,"pinus sylverstris"
"6",20546,60,1926,134,"pinus sylverstris"
"7",20540,60,1926,135,"pinus sylverstris"
"8",20149,60,1926,143,"pinus sylverstris"
"9",20151,60,1926,152,"pinus sylverstris"
"10",20546,60,1927,118,"pinus sylverstris"
"11",20529,60,1927,125,"pinus sylverstris"
"12",20155,60,1927,132,"pinus sylverstris"
"13",20537,60,1927,135,"pinus sylverstris"
"14",20540,60,1927,137,"pinus sylverstris"
"15",20532,60,1927,138,"pinus sylverstris"
"16",6612,60,1947,135,"pinus sylverstris"
"17",6607,60,1947,144,"pinus sylverstris"
"18",6677,60,1948,110,"pinus sylverstris"
"19",6612,60,1948,120,"pinus sylverstris"
"20",20284,60,1948,122,"pinus sylverstris"
"21",20254,60,1948,136,"pinus sylverstris"
"22",20284,60,1949,120,"pinus sylverstris"
"23",20254,60,1949,122,"pinus sylverstris"
"24",6612,60,1949,132,"pinus sylverstris"
"25",8027,60,1949,142,"pinus sylverstris"
"26",20272,60,1950,121,"pinus sylverstris"
"27",20248,60,1950,127,"pinus sylverstris"
"28",6612,60,1950,131,"pinus sylverstris"
"29",20270,60,1950,134,"pinus sylverstris"
"30",20274,60,1950,135,"pinus sylverstris"
"31",6611,60,1950,145,"pinus sylverstris"
"32",20185,60,1950,166,"pinus sylverstris"
"33",20277,60,1951,122,"pinus sylverstris"
"34",20198,60,1951,122,"pinus sylverstris"
"35",20272,60,1951,126,"pinus sylverstris"
"36",20197,60,1951,130,"pinus sylverstris"
"37",20250,60,1951,133,"pinus sylverstris"
"38",20274,60,1951,135,"pinus sylverstris"
"39",6513,60,1951,136,"pinus sylverstris"
"40",20291,60,1951,140,"pinus sylverstris"
"41",20189,60,1951,140,"pinus sylverstris"
"42",6603,60,1951,142,"pinus sylverstris"
"43",20247,60,1951,145,"pinus sylverstris"
"44",20284,60,1951,149,"pinus sylverstris"
"45",20203,60,1951,158,"pinus sylverstris"
"46",20183,60,1951,166,"pinus sylverstris"
"47",20254,60,1952,107,"pinus sylverstris"
