"","PEP_ID","BBCH","YEAR","DAY","species"
"1",20138,60,1926,125,"raphanus raphanistrum"
"2",20155,60,1926,140,"raphanus raphanistrum"
"3",20153,60,1926,144,"raphanus raphanistrum"
"4",20149,60,1926,146,"raphanus raphanistrum"
"5",20537,60,1926,148,"raphanus raphanistrum"
"6",20536,60,1926,151,"raphanus raphanistrum"
"7",20151,60,1926,152,"raphanus raphanistrum"
"8",20546,60,1926,156,"raphanus raphanistrum"
"9",20539,60,1926,161,"raphanus raphanistrum"
"10",20529,60,1926,166,"raphanus raphanistrum"
"11",20156,60,1926,166,"raphanus raphanistrum"
"12",20535,60,1927,132,"raphanus raphanistrum"
"13",20155,60,1927,135,"raphanus raphanistrum"
"14",20532,60,1927,136,"raphanus raphanistrum"
"15",20533,60,1927,142,"raphanus raphanistrum"
"16",20529,60,1927,152,"raphanus raphanistrum"
"17",20546,60,1927,152,"raphanus raphanistrum"
"18",20537,60,1927,156,"raphanus raphanistrum"
"19",20156,60,1927,169,"raphanus raphanistrum"
"20",20149,60,1927,171,"raphanus raphanistrum"
