"","PEP_ID","BBCH","YEAR","DAY","species"
"1",20143,60,1926,114,"syringa vulgaris"
"2",20138,60,1926,117,"syringa vulgaris"
"3",20532,60,1926,117,"syringa vulgaris"
"4",20537,60,1926,118,"syringa vulgaris"
"5",20529,60,1926,119,"syringa vulgaris"
"6",20542,60,1926,120,"syringa vulgaris"
"7",20543,60,1926,121,"syringa vulgaris"
"8",20149,60,1926,122,"syringa vulgaris"
"9",20540,60,1926,122,"syringa vulgaris"
"10",20546,60,1926,122,"syringa vulgaris"
"11",20539,60,1926,124,"syringa vulgaris"
"12",20535,60,1926,125,"syringa vulgaris"
"13",20536,60,1926,125,"syringa vulgaris"
"14",20153,60,1926,134,"syringa vulgaris"
"15",20156,60,1926,134,"syringa vulgaris"
"16",20151,60,1926,135,"syringa vulgaris"
"17",20155,60,1926,135,"syringa vulgaris"
"18",20532,60,1927,123,"syringa vulgaris"
"19",20535,60,1927,127,"syringa vulgaris"
"20",20149,60,1927,128,"syringa vulgaris"
"21",20533,60,1927,128,"syringa vulgaris"
"22",20155,60,1927,130,"syringa vulgaris"
"23",20546,60,1927,130,"syringa vulgaris"
"24",20537,60,1927,131,"syringa vulgaris"
"25",20150,60,1927,132,"syringa vulgaris"
"26",20540,60,1927,132,"syringa vulgaris"
"27",20529,60,1927,134,"syringa vulgaris"
"28",20156,60,1927,136,"syringa vulgaris"
"29",20544,60,1927,154,"syringa vulgaris"
"30",6590,60,1929,138,"syringa vulgaris"
"31",6590,60,1930,130,"syringa vulgaris"
"32",6590,60,1931,132,"syringa vulgaris"
"33",6590,60,1932,131,"syringa vulgaris"
"34",6590,60,1933,123,"syringa vulgaris"
"35",6590,60,1934,117,"syringa vulgaris"
"36",6590,60,1935,131,"syringa vulgaris"
"37",6677,60,1943,115,"syringa vulgaris"
"38",6699,60,1943,121,"syringa vulgaris"
"39",6608,60,1943,128,"syringa vulgaris"
"40",6699,60,1944,131,"syringa vulgaris"
"41",6677,60,1944,132,"syringa vulgaris"
"42",6712,60,1944,134,"syringa vulgaris"
"43",6712,60,1945,122,"syringa vulgaris"
"44",6608,60,1946,84,"syringa vulgaris"
"45",19682,60,1946,95,"syringa vulgaris"
"46",19893,60,1946,95,"syringa vulgaris"
"47",19613,60,1946,98,"syringa vulgaris"
"48",19721,60,1946,98,"syringa vulgaris"
"49",20268,60,1946,99,"syringa vulgaris"
"50",19770,60,1946,100,"syringa vulgaris"
"51",19953,60,1946,100,"syringa vulgaris"
"52",19996,60,1946,100,"syringa vulgaris"
"53",20135,60,1946,100,"syringa vulgaris"
"54",6610,60,1946,101,"syringa vulgaris"
"55",19715,60,1946,102,"syringa vulgaris"
"56",20281,60,1946,102,"syringa vulgaris"
"57",6489,60,1946,103,"syringa vulgaris"
"58",6616,60,1946,103,"syringa vulgaris"
"59",6677,60,1946,103,"syringa vulgaris"
"60",19665,60,1946,103,"syringa vulgaris"
"61",19963,60,1946,103,"syringa vulgaris"
"62",19973,60,1946,103,"syringa vulgaris"
"63",19978,60,1946,103,"syringa vulgaris"
"64",19987,60,1946,103,"syringa vulgaris"
"65",19691,60,1946,104,"syringa vulgaris"
"66",19957,60,1946,104,"syringa vulgaris"
"67",6601,60,1946,105,"syringa vulgaris"
"68",19649,60,1946,105,"syringa vulgaris"
"69",19664,60,1946,105,"syringa vulgaris"
"70",19709,60,1946,105,"syringa vulgaris"
"71",19982,60,1946,105,"syringa vulgaris"
"72",20069,60,1946,105,"syringa vulgaris"
"73",20075,60,1946,105,"syringa vulgaris"
"74",20270,60,1946,105,"syringa vulgaris"
"75",20280,60,1946,105,"syringa vulgaris"
"76",19654,60,1946,106,"syringa vulgaris"
"77",19657,60,1946,106,"syringa vulgaris"
"78",19818,60,1946,106,"syringa vulgaris"
"79",20103,60,1946,106,"syringa vulgaris"
"80",20164,60,1946,106,"syringa vulgaris"
"81",6449,60,1946,107,"syringa vulgaris"
"82",6470,60,1946,107,"syringa vulgaris"
