"","PEP_ID","BBCH","YEAR","DAY","species"
"1",19527,11,1971,115,"betula pendula"
"2",19527,86,1971,261,"betula pendula"
"3",19527,94,1971,283,"betula pendula"
"4",19527,97,1971,297,"betula pendula"
"5",19527,11,1972,105,"betula pendula"
"6",19527,86,1972,259,"betula pendula"
"7",19527,94,1972,282,"betula pendula"
"8",19527,97,1972,294,"betula pendula"
"9",19527,11,1973,119,"betula pendula"
"10",19527,94,1973,291,"betula pendula"
"11",19527,11,1974,103,"betula pendula"
"12",19525,11,1974,125,"betula pendula"
"13",19525,94,1974,275,"betula pendula"
"14",19527,94,1974,281,"betula pendula"
"15",19527,11,1975,105,"betula pendula"
"16",19525,11,1975,108,"betula pendula"
"17",19527,94,1975,280,"betula pendula"
"18",19525,94,1975,298,"betula pendula"
"19",19525,11,1976,113,"betula pendula"
"20",19527,11,1976,119,"betula pendula"
"21",19527,94,1976,286,"betula pendula"
"22",19525,94,1976,302,"betula pendula"
"23",19525,11,1977,84,"betula pendula"
"24",19527,11,1977,100,"betula pendula"
"25",19525,94,1977,286,"betula pendula"
"26",19525,11,1978,120,"betula pendula"
"27",19525,94,1978,296,"betula pendula"
"28",19525,11,1979,108,"betula pendula"
"29",19525,94,1979,291,"betula pendula"
"30",19525,11,1980,112,"betula pendula"
"31",19527,11,1980,121,"betula pendula"
"32",19527,94,1980,275,"betula pendula"
"33",19525,94,1980,289,"betula pendula"
"34",19525,11,1981,105,"betula pendula"
"35",19525,11,1982,130,"betula pendula"
"36",19525,86,1982,268,"betula pendula"
"37",19525,94,1982,314,"betula pendula"
"38",19525,97,1982,319,"betula pendula"
"39",19525,11,1983,102,"betula pendula"
"40",19525,86,1983,253,"betula pendula"
"41",19525,94,1983,303,"betula pendula"
"42",19525,97,1983,312,"betula pendula"
"43",19525,86,1984,101,"betula pendula"
"44",19526,86,1984,105,"betula pendula"
"45",19525,94,1984,114,"betula pendula"
"46",19525,11,1984,121,"betula pendula"
"47",19526,11,1984,125,"betula pendula"
"48",19525,97,1984,275,"betula pendula"
"49",19525,11,1985,116,"betula pendula"
"50",19525,86,1985,261,"betula pendula"
"51",19525,94,1985,299,"betula pendula"
"52",19525,97,1985,314,"betula pendula"
"53",19525,11,1987,114,"betula pendula"
"54",19525,94,1987,295,"betula pendula"
"55",19525,97,1987,304,"betula pendula"
"56",19525,11,1988,108,"betula pendula"
"57",19525,86,1988,289,"betula pendula"
"58",19525,94,1988,302,"betula pendula"
"59",19525,97,1988,311,"betula pendula"
"60",19525,11,1989,100,"betula pendula"
"61",19525,86,1989,268,"betula pendula"
"62",19525,94,1989,299,"betula pendula"
"63",19525,97,1989,303,"betula pendula"
