"","PEP_ID","BBCH","YEAR","DAY","species"
"1",19527,11,1971,115,"fagus sylvatica"
"2",19527,86,1971,261,"fagus sylvatica"
"3",19527,94,1971,283,"fagus sylvatica"
"4",19527,97,1971,297,"fagus sylvatica"
"5",19527,11,1972,105,"fagus sylvatica"
"6",19527,86,1972,259,"fagus sylvatica"
"7",19527,94,1972,282,"fagus sylvatica"
"8",19527,97,1972,294,"fagus sylvatica"
"9",19527,11,1973,119,"fagus sylvatica"
"10",19527,94,1973,291,"fagus sylvatica"
"11",19527,11,1974,103,"fagus sylvatica"
"12",19525,11,1974,125,"fagus sylvatica"
"13",19525,94,1974,275,"fagus sylvatica"
"14",19527,94,1974,281,"fagus sylvatica"
"15",19527,11,1975,105,"fagus sylvatica"
"16",19525,11,1975,108,"fagus sylvatica"
"17",19527,94,1975,280,"fagus sylvatica"
"18",19525,94,1975,298,"fagus sylvatica"
"19",19525,11,1976,113,"fagus sylvatica"
"20",19527,11,1976,119,"fagus sylvatica"
"21",19527,94,1976,286,"fagus sylvatica"
"22",19525,94,1976,302,"fagus sylvatica"
"23",19525,11,1977,84,"fagus sylvatica"
"24",19527,11,1977,100,"fagus sylvatica"
"25",19525,94,1977,286,"fagus sylvatica"
"26",19525,11,1978,120,"fagus sylvatica"
"27",19525,94,1978,296,"fagus sylvatica"
"28",19525,11,1979,108,"fagus sylvatica"
"29",19525,94,1979,291,"fagus sylvatica"
"30",19525,11,1980,112,"fagus sylvatica"
"31",19527,11,1980,121,"fagus sylvatica"
"32",19527,94,1980,275,"fagus sylvatica"
"33",19525,94,1980,289,"fagus sylvatica"
"34",19525,11,1981,105,"fagus sylvatica"
"35",19525,11,1982,130,"fagus sylvatica"
"36",19525,86,1982,268,"fagus sylvatica"
"37",19525,94,1982,314,"fagus sylvatica"
"38",19525,97,1982,319,"fagus sylvatica"
"39",19525,11,1983,102,"fagus sylvatica"
"40",19525,86,1983,253,"fagus sylvatica"
"41",19525,94,1983,303,"fagus sylvatica"
"42",19525,97,1983,312,"fagus sylvatica"
"43",19525,86,1984,101,"fagus sylvatica"
"44",19526,86,1984,105,"fagus sylvatica"
"45",19525,94,1984,114,"fagus sylvatica"
"46",19525,11,1984,121,"fagus sylvatica"
"47",19526,11,1984,125,"fagus sylvatica"
"48",19525,97,1984,275,"fagus sylvatica"
"49",19525,11,1985,116,"fagus sylvatica"
"50",19525,86,1985,261,"fagus sylvatica"
"51",19525,94,1985,299,"fagus sylvatica"
"52",19525,97,1985,314,"fagus sylvatica"
"53",19525,11,1987,114,"fagus sylvatica"
"54",19525,94,1987,295,"fagus sylvatica"
"55",19525,97,1987,304,"fagus sylvatica"
"56",19525,11,1988,108,"fagus sylvatica"
"57",19525,86,1988,289,"fagus sylvatica"
"58",19525,94,1988,302,"fagus sylvatica"
"59",19525,97,1988,311,"fagus sylvatica"
"60",19525,11,1989,100,"fagus sylvatica"
"61",19525,86,1989,268,"fagus sylvatica"
"62",19525,94,1989,299,"fagus sylvatica"
"63",19525,97,1989,303,"fagus sylvatica"
