"","PEP_ID","BBCH","YEAR","DAY","species"
"1",19529,11,2001,120,"pinus sylvestris"
"2",19529,60,2001,140,"pinus sylvestris"
"3",19529,11,2002,115,"pinus sylvestris"
"4",19529,60,2002,130,"pinus sylvestris"
"5",19529,11,2003,125,"pinus sylvestris"
"6",19529,60,2003,130,"pinus sylvestris"
"7",19529,11,2004,125,"pinus sylvestris"
"8",19529,60,2004,136,"pinus sylvestris"
"9",19529,11,2005,131,"pinus sylvestris"
"10",19529,60,2005,146,"pinus sylvestris"
"11",19527,11,2015,100,"pinus sylvestris"
"12",19527,60,2015,117,"pinus sylvestris"
