"","PEP_ID","BBCH","YEAR","DAY","species"
"1",19529,60,1971,108,"syringa vulgaris"
"2",19528,60,1971,111,"syringa vulgaris"
"3",19529,65,1971,115,"syringa vulgaris"
"4",19528,65,1971,116,"syringa vulgaris"
"5",19526,60,1971,122,"syringa vulgaris"
"6",19527,60,1971,124,"syringa vulgaris"
"7",19526,65,1971,125,"syringa vulgaris"
"8",19527,65,1971,130,"syringa vulgaris"
"9",19528,60,1972,91,"syringa vulgaris"
"10",19529,60,1972,94,"syringa vulgaris"
"11",19527,60,1972,104,"syringa vulgaris"
"12",19526,60,1972,108,"syringa vulgaris"
"13",19528,60,1973,94,"syringa vulgaris"
"14",19529,60,1973,123,"syringa vulgaris"
"15",19527,60,1973,126,"syringa vulgaris"
"16",19526,60,1973,126,"syringa vulgaris"
"17",19525,60,1974,103,"syringa vulgaris"
"18",19527,60,1974,118,"syringa vulgaris"
"19",19525,60,1975,110,"syringa vulgaris"
"20",19527,60,1975,112,"syringa vulgaris"
"21",19528,60,1976,102,"syringa vulgaris"
"22",19529,60,1976,119,"syringa vulgaris"
"23",19525,60,1976,121,"syringa vulgaris"
"24",19527,60,1976,128,"syringa vulgaris"
"25",19526,60,1976,129,"syringa vulgaris"
"26",19528,60,1977,77,"syringa vulgaris"
"27",19525,60,1977,81,"syringa vulgaris"
"28",19529,60,1977,87,"syringa vulgaris"
"29",19527,60,1977,99,"syringa vulgaris"
"30",19526,60,1977,99,"syringa vulgaris"
"31",19528,60,1978,100,"syringa vulgaris"
"32",19529,60,1978,113,"syringa vulgaris"
"33",19525,60,1978,120,"syringa vulgaris"
"34",19527,60,1978,125,"syringa vulgaris"
"35",19528,60,1979,101,"syringa vulgaris"
"36",19525,60,1979,105,"syringa vulgaris"
"37",19527,60,1979,111,"syringa vulgaris"
"38",19529,60,1979,114,"syringa vulgaris"
"39",19526,60,1979,136,"syringa vulgaris"
"40",19528,60,1980,97,"syringa vulgaris"
"41",19525,60,1980,118,"syringa vulgaris"
"42",19529,60,1980,125,"syringa vulgaris"
"43",19527,60,1980,128,"syringa vulgaris"
"44",19526,60,1980,130,"syringa vulgaris"
"45",19528,11,1981,72,"syringa vulgaris"
"46",19525,11,1981,83,"syringa vulgaris"
"47",19529,11,1981,83,"syringa vulgaris"
"48",19527,11,1981,86,"syringa vulgaris"
"49",19528,60,1981,90,"syringa vulgaris"
"50",19528,65,1981,99,"syringa vulgaris"
"51",19525,60,1981,101,"syringa vulgaris"
"52",19529,60,1981,104,"syringa vulgaris"
"53",19525,65,1981,105,"syringa vulgaris"
"54",19529,65,1981,109,"syringa vulgaris"
"55",19526,60,1981,114,"syringa vulgaris"
"56",19527,60,1981,115,"syringa vulgaris"
"57",19526,65,1981,119,"syringa vulgaris"
"58",19527,65,1981,121,"syringa vulgaris"
"59",19528,11,1982,81,"syringa vulgaris"
"60",19528,60,1982,96,"syringa vulgaris"
"61",19528,65,1982,100,"syringa vulgaris"
"62",19529,11,1982,107,"syringa vulgaris"
"63",19527,11,1982,108,"syringa vulgaris"
"64",19525,11,1982,111,"syringa vulgaris"
"65",19526,11,1982,121,"syringa vulgaris"
"66",19529,60,1982,128,"syringa vulgaris"
"67",19527,60,1982,130,"syringa vulgaris"
"68",19526,60,1982,131,"syringa vulgaris"
"69",19529,65,1982,132,"syringa vulgaris"
"70",19526,65,1982,133,"syringa vulgaris"
"71",19525,60,1982,135,"syringa vulgaris"
"72",19525,65,1982,140,"syringa vulgaris"
"73",19527,65,1982,140,"syringa vulgaris"
"74",19528,11,1983,85,"syringa vulgaris"
"75",19525,11,1983,95,"syringa vulgaris"
"76",19528,60,1983,95,"syringa vulgaris"
"77",19529,11,1983,98,"syringa vulgaris"
"78",19527,11,1983,99,"syringa vulgaris"
"79",19528,65,1983,100,"syringa vulgaris"
"80",19525,60,1983,106,"syringa vulgaris"
"81",19526,11,1983,108,"syringa vulgaris"
"82",19527,60,1983,109,"syringa vulgaris"
"83",19525,65,1983,110,"syringa vulgaris"
"84",19529,60,1983,111,"syringa vulgaris"
"85",19527,65,1983,115,"syringa vulgaris"
"86",19529,65,1983,115,"syringa vulgaris"
"87",19526,60,1983,117,"syringa vulgaris"
"88",19526,65,1983,120,"syringa vulgaris"
"89",19528,11,1984,27,"syringa vulgaris"
"90",19528,65,1984,88,"syringa vulgaris"
"91",19527,65,1984,99,"syringa vulgaris"
"92",19526,11,1984,106,"syringa vulgaris"
"93",19529,65,1984,107,"syringa vulgaris"
"94",19525,65,1984,108,"syringa vulgaris"
"95",19526,65,1984,116,"syringa vulgaris"
"96",19529,60,1984,119,"syringa vulgaris"
"97",19525,60,1984,131,"syringa vulgaris"
"98",19528,11,1985,77,"syringa vulgaris"
"99",19528,60,1985,93,"syringa vulgaris"
"100",19525,11,1985,94,"syringa vulgaris"
"101",19528,65,1985,98,"syringa vulgaris"
"102",19529,11,1985,100,"syringa vulgaris"
"103",19527,11,1985,100,"syringa vulgaris"
"104",19526,11,1985,108,"syringa vulgaris"
"105",19529,60,1985,115,"syringa vulgaris"
"106",19525,60,1985,115,"syringa vulgaris"
"107",19529,65,1985,118,"syringa vulgaris"
"108",19525,65,1985,118,"syringa vulgaris"
"109",19527,60,1985,135,"syringa vulgaris"
"110",19526,60,1985,137,"syringa vulgaris"
"111",19526,65,1985,140,"syringa vulgaris"
"112",19527,65,1985,140,"syringa vulgaris"
"113",19528,11,1987,88,"syringa vulgaris"
"114",19528,60,1987,98,"syringa vulgaris"
"115",19529,11,1987,104,"syringa vulgaris"
"116",19528,65,1987,104,"syringa vulgaris"
"117",19527,11,1987,105,"syringa vulgaris"
"118",19526,11,1987,118,"syringa vulgaris"
"119",19529,60,1987,119,"syringa vulgaris"
"120",19529,65,1987,124,"syringa vulgaris"
"121",19527,60,1987,125,"syringa vulgaris"
"122",19526,60,1987,131,"syringa vulgaris"
"123",19526,65,1987,133,"syringa vulgaris"
"124",19527,65,1987,135,"syringa vulgaris"
"125",19529,11,1988,82,"syringa vulgaris"
"126",19528,11,1988,85,"syringa vulgaris"
"127",19525,11,1988,85,"syringa vulgaris"
