"","PEP_ID","BBCH","YEAR","DAY","species"
"1",6807,13,1996,99,"betula pendula"
"2",6768,13,1996,100,"betula pendula"
"3",6746,13,1996,101,"betula pendula"
"4",6739,60,1996,101,"betula pendula"
"5",6790,60,1996,101,"betula pendula"
"6",6846,60,1996,101,"betula pendula"
"7",6788,13,1996,104,"betula pendula"
"8",6719,13,1996,106,"betula pendula"
"9",6804,13,1996,106,"betula pendula"
"10",6856,13,1996,106,"betula pendula"
"11",6789,60,1996,106,"betula pendula"
"12",6813,13,1996,107,"betula pendula"
"13",6750,60,1996,107,"betula pendula"
"14",6721,13,1996,108,"betula pendula"
"15",6767,60,1996,108,"betula pendula"
"16",6750,13,1996,109,"betula pendula"
"17",6768,60,1996,109,"betula pendula"
"18",6807,60,1996,109,"betula pendula"
"19",6766,60,1996,110,"betula pendula"
"20",6773,60,1996,110,"betula pendula"
"21",6799,60,1996,110,"betula pendula"
"22",6817,60,1996,110,"betula pendula"
"23",6733,13,1996,111,"betula pendula"
"24",6739,13,1996,111,"betula pendula"
"25",6791,13,1996,111,"betula pendula"
"26",6776,60,1996,111,"betula pendula"
"27",6779,60,1996,111,"betula pendula"
"28",6756,13,1996,112,"betula pendula"
"29",6780,13,1996,112,"betula pendula"
"30",6783,13,1996,112,"betula pendula"
"31",6789,13,1996,112,"betula pendula"
"32",6808,13,1996,112,"betula pendula"
"33",6819,13,1996,112,"betula pendula"
"34",6837,13,1996,112,"betula pendula"
"35",6819,60,1996,112,"betula pendula"
"36",6837,60,1996,112,"betula pendula"
"37",6729,13,1996,113,"betula pendula"
"38",6752,13,1996,113,"betula pendula"
"39",6755,13,1996,113,"betula pendula"
"40",6772,13,1996,113,"betula pendula"
"41",6782,13,1996,113,"betula pendula"
"42",6787,13,1996,113,"betula pendula"
"43",6799,13,1996,113,"betula pendula"
"44",6810,13,1996,113,"betula pendula"
"45",6823,60,1996,113,"betula pendula"
"46",6720,13,1996,114,"betula pendula"
"47",6735,13,1996,114,"betula pendula"
"48",6759,13,1996,114,"betula pendula"
"49",7023,13,1996,114,"betula pendula"
"50",6757,13,1996,115,"betula pendula"
"51",6779,13,1996,115,"betula pendula"
"52",6783,60,1996,115,"betula pendula"
"53",6725,13,1996,116,"betula pendula"
"54",6744,13,1996,116,"betula pendula"
"55",6753,13,1996,116,"betula pendula"
"56",6766,13,1996,116,"betula pendula"
"57",6773,13,1996,116,"betula pendula"
"58",6785,13,1996,116,"betula pendula"
"59",6816,13,1996,116,"betula pendula"
"60",6821,13,1996,116,"betula pendula"
"61",6834,13,1996,116,"betula pendula"
"62",6839,13,1996,116,"betula pendula"
"63",6738,13,1996,117,"betula pendula"
"64",6776,13,1996,117,"betula pendula"
"65",6790,13,1996,117,"betula pendula"
"66",6794,13,1996,117,"betula pendula"
"67",6817,13,1996,117,"betula pendula"
"68",6759,60,1996,117,"betula pendula"
"69",6717,13,1996,118,"betula pendula"
"70",6818,13,1996,118,"betula pendula"
"71",6831,13,1996,118,"betula pendula"
"72",6744,60,1996,118,"betula pendula"
"73",6791,60,1996,118,"betula pendula"
"74",6730,13,1996,119,"betula pendula"
"75",6749,13,1996,119,"betula pendula"
"76",6815,13,1996,119,"betula pendula"
"77",6823,13,1996,119,"betula pendula"
