"","PEP_ID","BBCH","YEAR","DAY","species"
"1",6724,13,1951,108,"fagus sylvatica"
"2",6784,13,1951,113,"fagus sylvatica"
"3",6766,13,1951,115,"fagus sylvatica"
"4",6852,13,1951,115,"fagus sylvatica"
"5",6814,13,1951,120,"fagus sylvatica"
"6",6839,13,1951,120,"fagus sylvatica"
"7",6802,13,1951,121,"fagus sylvatica"
"8",6833,13,1951,125,"fagus sylvatica"
"9",6730,13,1951,126,"fagus sylvatica"
"10",6810,13,1951,126,"fagus sylvatica"
"11",6786,13,1951,130,"fagus sylvatica"
"12",6811,13,1951,130,"fagus sylvatica"
"13",6743,13,1951,135,"fagus sylvatica"
"14",6844,13,1951,146,"fagus sylvatica"
"15",6833,94,1951,258,"fagus sylvatica"
"16",6852,94,1951,274,"fagus sylvatica"
"17",6798,94,1951,275,"fagus sylvatica"
"18",6724,94,1951,276,"fagus sylvatica"
"19",6730,94,1951,277,"fagus sylvatica"
"20",6802,94,1951,278,"fagus sylvatica"
"21",6839,94,1951,278,"fagus sylvatica"
"22",6811,94,1951,281,"fagus sylvatica"
"23",6831,94,1951,283,"fagus sylvatica"
"24",6844,94,1951,283,"fagus sylvatica"
"25",6784,94,1951,286,"fagus sylvatica"
"26",6766,94,1951,293,"fagus sylvatica"
"27",6776,94,1951,305,"fagus sylvatica"
"28",6820,13,1952,105,"fagus sylvatica"
"29",6776,13,1952,106,"fagus sylvatica"
"30",6724,13,1952,107,"fagus sylvatica"
"31",6797,13,1952,108,"fagus sylvatica"
"32",6802,13,1952,108,"fagus sylvatica"
"33",6804,13,1952,108,"fagus sylvatica"
"34",6812,13,1952,109,"fagus sylvatica"
"35",6766,13,1952,110,"fagus sylvatica"
"36",6798,13,1952,110,"fagus sylvatica"
"37",6833,13,1952,110,"fagus sylvatica"
"38",6784,13,1952,111,"fagus sylvatica"
"39",6852,13,1952,111,"fagus sylvatica"
"40",6730,13,1952,113,"fagus sylvatica"
"41",6788,13,1952,114,"fagus sylvatica"
"42",6810,13,1952,119,"fagus sylvatica"
"43",6749,13,1952,120,"fagus sylvatica"
"44",6814,13,1952,121,"fagus sylvatica"
"45",6839,13,1952,123,"fagus sylvatica"
"46",6811,13,1952,128,"fagus sylvatica"
"47",6844,13,1952,136,"fagus sylvatica"
"48",6812,94,1952,245,"fagus sylvatica"
"49",6820,94,1952,259,"fagus sylvatica"
"50",6810,94,1952,264,"fagus sylvatica"
"51",6839,94,1952,274,"fagus sylvatica"
"52",6776,94,1952,275,"fagus sylvatica"
"53",6724,94,1952,277,"fagus sylvatica"
"54",6749,94,1952,277,"fagus sylvatica"
"55",6811,94,1952,278,"fagus sylvatica"
"56",6798,94,1952,279,"fagus sylvatica"
"57",6844,94,1952,280,"fagus sylvatica"
"58",6804,94,1952,282,"fagus sylvatica"
"59",6788,94,1952,284,"fagus sylvatica"
"60",6766,94,1952,289,"fagus sylvatica"
"61",6852,94,1952,289,"fagus sylvatica"
"62",6814,94,1952,291,"fagus sylvatica"
"63",6833,94,1952,292,"fagus sylvatica"
"64",6784,94,1952,310,"fagus sylvatica"
"65",6812,13,1953,93,"fagus sylvatica"
"66",6766,13,1953,98,"fagus sylvatica"
"67",6724,13,1953,100,"fagus sylvatica"
"68",6776,13,1953,102,"fagus sylvatica"
"69",6784,13,1953,104,"fagus sylvatica"
"70",6804,13,1953,104,"fagus sylvatica"
"71",6783,13,1953,105,"fagus sylvatica"
"72",6820,13,1953,105,"fagus sylvatica"
"73",6797,13,1953,110,"fagus sylvatica"
"74",6798,13,1953,110,"fagus sylvatica"
"75",6831,13,1953,110,"fagus sylvatica"
"76",6833,13,1953,110,"fagus sylvatica"
"77",6749,13,1953,111,"fagus sylvatica"
"78",6788,13,1953,113,"fagus sylvatica"
"79",6810,13,1953,113,"fagus sylvatica"
"80",6839,13,1953,114,"fagus sylvatica"
"81",6743,13,1953,116,"fagus sylvatica"
"82",6716,13,1953,124,"fagus sylvatica"
"83",6811,13,1953,124,"fagus sylvatica"
"84",6844,13,1953,132,"fagus sylvatica"
"85",6797,94,1953,227,"fagus sylvatica"
"86",6812,94,1953,242,"fagus sylvatica"
"87",6810,94,1953,263,"fagus sylvatica"
"88",6719,94,1953,268,"fagus sylvatica"
"89",6798,94,1953,268,"fagus sylvatica"
"90",6724,94,1953,276,"fagus sylvatica"
"91",6749,94,1953,281,"fagus sylvatica"
"92",6743,94,1953,283,"fagus sylvatica"
"93",6783,94,1953,283,"fagus sylvatica"
"94",6784,94,1953,283,"fagus sylvatica"
"95",6820,94,1953,283,"fagus sylvatica"
"96",6844,94,1953,283,"fagus sylvatica"
"97",6811,94,1953,285,"fagus sylvatica"
"98",6839,94,1953,285,"fagus sylvatica"
"99",6766,94,1953,291,"fagus sylvatica"
"100",6788,94,1953,293,"fagus sylvatica"
"101",6776,94,1953,298,"fagus sylvatica"
"102",6776,13,1954,116,"fagus sylvatica"
"103",6724,13,1954,120,"fagus sylvatica"
"104",6729,13,1954,121,"fagus sylvatica"
"105",6812,13,1954,121,"fagus sylvatica"
"106",6798,13,1954,122,"fagus sylvatica"
"107",6797,13,1954,124,"fagus sylvatica"
"108",6784,13,1954,125,"fagus sylvatica"
"109",6766,13,1954,126,"fagus sylvatica"
"110",7023,13,1954,126,"fagus sylvatica"
"111",6820,13,1954,128,"fagus sylvatica"
"112",6810,13,1954,129,"fagus sylvatica"
"113",6737,13,1954,130,"fagus sylvatica"
"114",6743,13,1954,130,"fagus sylvatica"
"115",6749,13,1954,130,"fagus sylvatica"
"116",6839,13,1954,130,"fagus sylvatica"
"117",6831,13,1954,131,"fagus sylvatica"
"118",6833,13,1954,131,"fagus sylvatica"
"119",6852,13,1954,131,"fagus sylvatica"
"120",6783,13,1954,132,"fagus sylvatica"
"121",6788,13,1954,139,"fagus sylvatica"
"122",6811,13,1954,139,"fagus sylvatica"
"123",6844,13,1954,140,"fagus sylvatica"
"124",6797,94,1954,236,"fagus sylvatica"
"125",6833,94,1954,244,"fagus sylvatica"
"126",6812,94,1954,262,"fagus sylvatica"
"127",6810,94,1954,267,"fagus sylvatica"
"128",6835,94,1954,273,"fagus sylvatica"
"129",6844,94,1954,274,"fagus sylvatica"
"130",6724,94,1954,275,"fagus sylvatica"
"131",6804,94,1954,277,"fagus sylvatica"
"132",7023,94,1954,280,"fagus sylvatica"
"133",6737,94,1954,281,"fagus sylvatica"
"134",6743,94,1954,283,"fagus sylvatica"
"135",6839,94,1954,283,"fagus sylvatica"
"136",6749,94,1954,285,"fagus sylvatica"
"137",6852,94,1954,285,"fagus sylvatica"
"138",6730,94,1954,288,"fagus sylvatica"
"139",6811,94,1954,288,"fagus sylvatica"
"140",6820,94,1954,288,"fagus sylvatica"
"141",6831,94,1954,288,"fagus sylvatica"
