"","PEP_ID","BBCH","YEAR","DAY","species"
"1",19488,10,2001,100,"betula pendula"
"2",19485,10,2001,102,"betula pendula"
"3",19486,10,2001,102,"betula pendula"
"4",19486,60,2001,113,"betula pendula"
"5",19485,60,2001,113,"betula pendula"
"6",19488,11,2001,117,"betula pendula"
"7",19488,60,2001,119,"betula pendula"
"8",19487,10,2001,123,"betula pendula"
"9",19485,11,2001,126,"betula pendula"
"10",19486,11,2001,131,"betula pendula"
"11",19487,11,2001,132,"betula pendula"
"12",19487,60,2001,136,"betula pendula"
"13",19485,10,2002,95,"betula pendula"
"14",19488,10,2002,102,"betula pendula"
"15",19485,60,2002,105,"betula pendula"
"16",19486,10,2002,106,"betula pendula"
"17",19488,60,2002,106,"betula pendula"
"18",19486,60,2002,111,"betula pendula"
"19",19488,11,2002,118,"betula pendula"
"20",19487,10,2002,121,"betula pendula"
"21",19485,11,2002,123,"betula pendula"
"22",19487,11,2002,130,"betula pendula"
"23",19486,11,2002,133,"betula pendula"
"24",19487,60,2002,135,"betula pendula"
"25",19485,10,2003,97,"betula pendula"
"26",19488,10,2003,108,"betula pendula"
"27",19485,60,2003,108,"betula pendula"
"28",19486,10,2003,110,"betula pendula"
"29",19488,60,2003,111,"betula pendula"
"30",19486,60,2003,112,"betula pendula"
"31",19487,10,2003,119,"betula pendula"
"32",19485,11,2003,124,"betula pendula"
"33",19488,11,2003,125,"betula pendula"
"34",19487,11,2003,132,"betula pendula"
"35",19487,60,2003,132,"betula pendula"
"36",19486,11,2003,139,"betula pendula"
"37",19485,10,2004,98,"betula pendula"
"38",19488,10,2004,100,"betula pendula"
"39",19488,60,2004,101,"betula pendula"
"40",19486,10,2004,105,"betula pendula"
"41",19485,60,2004,107,"betula pendula"
"42",19486,60,2004,109,"betula pendula"
"43",19487,10,2004,120,"betula pendula"
"44",19485,11,2004,122,"betula pendula"
"45",19488,11,2004,123,"betula pendula"
"46",19487,11,2004,135,"betula pendula"
"47",19486,11,2004,135,"betula pendula"
"48",19487,60,2004,136,"betula pendula"
"49",19486,10,2005,102,"betula pendula"
"50",19485,10,2005,103,"betula pendula"
"51",19485,60,2005,106,"betula pendula"
"52",19488,60,2005,107,"betula pendula"
"53",19488,10,2005,108,"betula pendula"
"54",19486,60,2005,113,"betula pendula"
"55",19487,10,2005,122,"betula pendula"
"56",19488,11,2005,126,"betula pendula"
"57",19485,11,2005,127,"betula pendula"
"58",19487,60,2005,140,"betula pendula"
"59",19487,11,2005,143,"betula pendula"
"60",19486,11,2005,143,"betula pendula"
"61",19485,10,2006,106,"betula pendula"
"62",19488,60,2006,113,"betula pendula"
"63",19485,60,2006,114,"betula pendula"
"64",19486,10,2006,115,"betula pendula"
"65",19488,10,2006,115,"betula pendula"
"66",19486,60,2006,116,"betula pendula"
"67",19487,10,2006,124,"betula pendula"
"68",19485,11,2006,132,"betula pendula"
"69",19488,11,2006,133,"betula pendula"
"70",19487,60,2006,143,"betula pendula"
"71",19487,11,2006,145,"betula pendula"
"72",19486,11,2006,147,"betula pendula"
"73",19485,10,2007,98,"betula pendula"
"74",19485,60,2007,98,"betula pendula"
"75",19488,60,2007,99,"betula pendula"
"76",19488,10,2007,101,"betula pendula"
"77",19486,60,2007,103,"betula pendula"
"78",19486,10,2007,104,"betula pendula"
"79",19487,10,2007,107,"betula pendula"
"80",19487,60,2007,114,"betula pendula"
"81",19485,11,2007,115,"betula pendula"
"82",19488,11,2007,115,"betula pendula"
"83",19487,11,2007,124,"betula pendula"
"84",19486,11,2007,130,"betula pendula"
"85",19485,10,2008,92,"betula pendula"
"86",19485,60,2008,100,"betula pendula"
"87",19488,10,2008,102,"betula pendula"
"88",19488,60,2008,104,"betula pendula"
"89",19486,10,2008,108,"betula pendula"
"90",19486,60,2008,111,"betula pendula"
"91",19487,10,2008,116,"betula pendula"
"92",19487,60,2008,119,"betula pendula"
"93",19488,11,2008,122,"betula pendula"
"94",19485,11,2008,129,"betula pendula"
"95",19487,11,2008,131,"betula pendula"
"96",19486,11,2008,135,"betula pendula"
"97",19485,10,2009,95,"betula pendula"
"98",19488,60,2009,97,"betula pendula"
"99",19486,10,2009,99,"betula pendula"
"100",19488,10,2009,100,"betula pendula"
"101",19485,60,2009,101,"betula pendula"
"102",19486,60,2009,101,"betula pendula"
"103",19487,10,2009,105,"betula pendula"
"104",19487,60,2009,106,"betula pendula"
"105",19488,11,2009,111,"betula pendula"
"106",19485,11,2009,113,"betula pendula"
"107",19487,11,2009,122,"betula pendula"
"108",19486,11,2009,128,"betula pendula"
"109",19485,10,2010,101,"betula pendula"
"110",19486,10,2010,104,"betula pendula"
"111",19485,60,2010,104,"betula pendula"
"112",19486,60,2010,106,"betula pendula"
"113",19488,10,2010,108,"betula pendula"
"114",19488,60,2010,113,"betula pendula"
"115",19487,10,2010,116,"betula pendula"
"116",19488,11,2010,120,"betula pendula"
"117",19485,11,2010,132,"betula pendula"
"118",19487,11,2010,136,"betula pendula"
"119",19487,60,2010,138,"betula pendula"
"120",19486,11,2010,144,"betula pendula"
"121",19485,10,2011,96,"betula pendula"
"122",19486,10,2011,97,"betula pendula"
"123",19487,10,2011,101,"betula pendula"
"124",19486,60,2011,101,"betula pendula"
"125",19487,60,2011,101,"betula pendula"
"126",19485,60,2011,101,"betula pendula"
"127",19488,10,2011,103,"betula pendula"
"128",19488,60,2011,112,"betula pendula"
"129",19488,11,2011,115,"betula pendula"
"130",19485,11,2011,117,"betula pendula"
"131",19487,11,2011,119,"betula pendula"
"132",19486,11,2011,130,"betula pendula"
"133",7282,10,2012,83,"betula pendula"
"134",19488,10,2012,88,"betula pendula"
"135",7352,10,2012,93,"betula pendula"
"136",7352,60,2012,93,"betula pendula"
"137",20382,10,2012,96,"betula pendula"
"138",19486,10,2012,99,"betula pendula"
"139",7352,11,2012,99,"betula pendula"
"140",7282,60,2012,99,"betula pendula"
"141",20384,10,2012,100,"betula pendula"
"142",19485,10,2012,100,"betula pendula"
"143",7282,11,2012,102,"betula pendula"
"144",19488,11,2012,102,"betula pendula"
"145",19485,60,2012,102,"betula pendula"
"146",20312,10,2012,103,"betula pendula"
"147",19485,11,2012,105,"betula pendula"
"148",20311,10,2012,106,"betula pendula"
"149",20385,10,2012,106,"betula pendula"
"150",19486,11,2012,107,"betula pendula"
"151",19488,60,2012,107,"betula pendula"
"152",20385,60,2012,107,"betula pendula"
"153",20382,11,2012,108,"betula pendula"
"154",20311,11,2012,108,"betula pendula"
"155",20385,11,2012,109,"betula pendula"
"156",19486,60,2012,109,"betula pendula"
"157",20311,60,2012,110,"betula pendula"
"158",20383,10,2012,112,"betula pendula"
"159",20382,60,2012,112,"betula pendula"
"160",20313,10,2012,114,"betula pendula"
"161",20313,60,2012,114,"betula pendula"
"162",20313,11,2012,116,"betula pendula"
"163",20312,60,2012,116,"betula pendula"
"164",20312,11,2012,117,"betula pendula"
"165",20384,11,2012,119,"betula pendula"
"166",20383,11,2012,120,"betula pendula"
"167",20384,60,2012,120,"betula pendula"
"168",20383,60,2012,137,"betula pendula"
"169",7352,10,2013,102,"betula pendula"
"170",7282,10,2013,106,"betula pendula"
"171",19485,10,2013,106,"betula pendula"
"172",19486,10,2013,106,"betula pendula"
"173",20384,10,2013,107,"betula pendula"
"174",7352,11,2013,108,"betula pendula"
"175",7352,60,2013,108,"betula pendula"
"176",20311,10,2013,110,"betula pendula"
"177",19488,10,2013,110,"betula pendula"
"178",20385,10,2013,110,"betula pendula"
"179",20382,10,2013,111,"betula pendula"
"180",19485,11,2013,111,"betula pendula"
"181",19486,11,2013,111,"betula pendula"
"182",7282,60,2013,111,"betula pendula"
"183",19488,11,2013,112,"betula pendula"
"184",19485,60,2013,112,"betula pendula"
"185",20385,11,2013,114,"betula pendula"
"186",20311,11,2013,114,"betula pendula"
"187",20311,60,2013,114,"betula pendula"
"188",20385,60,2013,114,"betula pendula"
"189",7282,11,2013,115,"betula pendula"
"190",20382,11,2013,115,"betula pendula"
"191",20382,60,2013,115,"betula pendula"
"192",19488,60,2013,115,"betula pendula"
"193",20312,10,2013,117,"betula pendula"
"194",20313,10,2013,118,"betula pendula"
"195",20384,11,2013,119,"betula pendula"
"196",19486,60,2013,119,"betula pendula"
"197",20383,10,2013,120,"betula pendula"
"198",20312,60,2013,121,"betula pendula"
"199",20312,11,2013,124,"betula pendula"
"200",20383,11,2013,126,"betula pendula"
"201",20384,60,2013,126,"betula pendula"
"202",20313,11,2013,128,"betula pendula"
"203",20313,60,2013,129,"betula pendula"
"204",20383,60,2013,140,"betula pendula"
"205",7352,10,2015,89,"betula pendula"
"206",19485,10,2015,94,"betula pendula"
"207",7352,60,2015,95,"betula pendula"
"208",7282,10,2015,99,"betula pendula"
"209",19485,11,2015,100,"betula pendula"
"210",7352,11,2015,100,"betula pendula"
"211",19486,10,2015,101,"betula pendula"
"212",20385,10,2015,102,"betula pendula"
"213",19485,60,2015,102,"betula pendula"
"214",7282,60,2015,105,"betula pendula"
"215",20312,10,2015,107,"betula pendula"
"216",20385,60,2015,107,"betula pendula"
"217",20382,10,2015,109,"betula pendula"
"218",20385,11,2015,109,"betula pendula"
"219",19488,10,2015,111,"betula pendula"
"220",19488,11,2015,112,"betula pendula"
"221",19488,60,2015,112,"betula pendula"
"222",19486,11,2015,113,"betula pendula"
"223",20384,10,2015,114,"betula pendula"
"224",20383,10,2015,115,"betula pendula"
"225",20382,11,2015,115,"betula pendula"
"226",7282,11,2015,115,"betula pendula"
"227",20382,60,2015,115,"betula pendula"
"228",20312,11,2015,116,"betula pendula"
"229",19486,60,2015,117,"betula pendula"
"230",20312,60,2015,117,"betula pendula"
"231",20384,11,2015,118,"betula pendula"
"232",20313,10,2015,119,"betula pendula"
"233",20313,11,2015,121,"betula pendula"
"234",20383,11,2015,126,"betula pendula"
"235",20384,60,2015,129,"betula pendula"
"236",20383,60,2015,144,"betula pendula"
