"","PEP_ID","BBCH","YEAR","DAY","species"
"1",19488,60,2001,133,"dactylis glomerata"
"2",19487,60,2001,137,"dactylis glomerata"
"3",19486,60,2001,138,"dactylis glomerata"
"4",19488,60,2002,129,"dactylis glomerata"
"5",19486,60,2002,134,"dactylis glomerata"
"6",19487,60,2002,136,"dactylis glomerata"
"7",19487,60,2003,133,"dactylis glomerata"
"8",19486,60,2003,133,"dactylis glomerata"
"9",19488,60,2003,144,"dactylis glomerata"
"10",19487,60,2004,134,"dactylis glomerata"
"11",19486,60,2004,141,"dactylis glomerata"
"12",19488,60,2004,147,"dactylis glomerata"
"13",19487,60,2005,140,"dactylis glomerata"
"14",19488,60,2005,141,"dactylis glomerata"
"15",19486,60,2005,144,"dactylis glomerata"
"16",19488,60,2006,144,"dactylis glomerata"
"17",19487,60,2006,145,"dactylis glomerata"
"18",19486,60,2006,149,"dactylis glomerata"
"19",19488,60,2007,128,"dactylis glomerata"
"20",19487,60,2007,129,"dactylis glomerata"
"21",19486,60,2007,138,"dactylis glomerata"
"22",19488,60,2008,134,"dactylis glomerata"
"23",19487,60,2008,136,"dactylis glomerata"
"24",19486,60,2008,140,"dactylis glomerata"
"25",19487,60,2009,130,"dactylis glomerata"
"26",19488,60,2009,133,"dactylis glomerata"
"27",19486,60,2009,137,"dactylis glomerata"
"28",19487,60,2010,141,"dactylis glomerata"
"29",19488,60,2010,153,"dactylis glomerata"
"30",19486,60,2010,156,"dactylis glomerata"
"31",19487,60,2011,131,"dactylis glomerata"
"32",19488,60,2011,136,"dactylis glomerata"
"33",19486,60,2011,150,"dactylis glomerata"
"34",20311,60,2012,126,"dactylis glomerata"
"35",19485,60,2012,134,"dactylis glomerata"
"36",19488,60,2012,138,"dactylis glomerata"
"37",19486,60,2012,141,"dactylis glomerata"
"38",7282,60,2012,141,"dactylis glomerata"
"39",20385,60,2012,150,"dactylis glomerata"
"40",20384,60,2012,151,"dactylis glomerata"
"41",20382,60,2012,154,"dactylis glomerata"
"42",20312,60,2012,159,"dactylis glomerata"
"43",20313,60,2012,163,"dactylis glomerata"
"44",7352,60,2013,123,"dactylis glomerata"
"45",20311,60,2013,134,"dactylis glomerata"
"46",19485,60,2013,138,"dactylis glomerata"
"47",7282,60,2013,143,"dactylis glomerata"
"48",20385,60,2013,151,"dactylis glomerata"
"49",19488,60,2013,152,"dactylis glomerata"
"50",20384,60,2013,152,"dactylis glomerata"
"51",20382,60,2013,163,"dactylis glomerata"
"52",19486,60,2013,163,"dactylis glomerata"
"53",20312,60,2013,169,"dactylis glomerata"
"54",20313,60,2013,169,"dactylis glomerata"
"55",7352,60,2015,125,"dactylis glomerata"
"56",20311,60,2015,134,"dactylis glomerata"
"57",19485,60,2015,135,"dactylis glomerata"
"58",19488,60,2015,141,"dactylis glomerata"
"59",19486,60,2015,150,"dactylis glomerata"
"60",7282,60,2015,150,"dactylis glomerata"
"61",20383,60,2015,152,"dactylis glomerata"
"62",20385,60,2015,155,"dactylis glomerata"
"63",20382,60,2015,156,"dactylis glomerata"
"64",20384,60,2015,160,"dactylis glomerata"
"65",20312,60,2015,177,"dactylis glomerata"
"66",20313,60,2015,180,"dactylis glomerata"
