"","PEP_ID","BBCH","YEAR","DAY","species"
"1",19486,10,2001,120,"fagus sylvatica"
"2",19485,10,2001,120,"fagus sylvatica"
"3",19487,10,2001,125,"fagus sylvatica"
"4",19487,11,2001,134,"fagus sylvatica"
"5",19486,11,2001,141,"fagus sylvatica"
"6",19485,11,2001,142,"fagus sylvatica"
"7",19487,86,2001,261,"fagus sylvatica"
"8",19485,86,2001,271,"fagus sylvatica"
"9",19486,86,2001,272,"fagus sylvatica"
"10",19486,10,2002,115,"fagus sylvatica"
"11",19485,10,2002,118,"fagus sylvatica"
"12",19487,10,2002,124,"fagus sylvatica"
"13",19487,11,2002,134,"fagus sylvatica"
"14",19485,11,2002,135,"fagus sylvatica"
"15",19486,11,2002,143,"fagus sylvatica"
"16",19487,86,2002,263,"fagus sylvatica"
"17",19486,86,2002,265,"fagus sylvatica"
"18",19485,86,2002,276,"fagus sylvatica"
"19",19485,10,2003,120,"fagus sylvatica"
"20",19486,10,2003,121,"fagus sylvatica"
"21",19487,10,2003,123,"fagus sylvatica"
"22",19487,11,2003,132,"fagus sylvatica"
"23",19485,11,2003,137,"fagus sylvatica"
"24",19486,11,2003,147,"fagus sylvatica"
"25",19486,86,2003,257,"fagus sylvatica"
"26",19487,86,2003,259,"fagus sylvatica"
"27",19485,86,2003,264,"fagus sylvatica"
"28",19486,10,2004,113,"fagus sylvatica"
"29",19485,10,2004,116,"fagus sylvatica"
"30",19487,10,2004,125,"fagus sylvatica"
"31",19487,11,2004,134,"fagus sylvatica"
"32",19485,11,2004,136,"fagus sylvatica"
"33",19486,11,2004,144,"fagus sylvatica"
"34",19487,86,2004,269,"fagus sylvatica"
"35",19486,86,2004,271,"fagus sylvatica"
"36",19485,86,2004,277,"fagus sylvatica"
"37",19485,10,2005,114,"fagus sylvatica"
"38",19486,10,2005,117,"fagus sylvatica"
"39",19487,10,2005,133,"fagus sylvatica"
"40",19485,11,2005,143,"fagus sylvatica"
"41",19486,11,2005,144,"fagus sylvatica"
"42",19487,11,2005,146,"fagus sylvatica"
"43",19486,86,2005,270,"fagus sylvatica"
"44",19487,86,2005,274,"fagus sylvatica"
"45",19485,86,2005,274,"fagus sylvatica"
"46",19486,10,2006,115,"fagus sylvatica"
"47",19485,10,2006,120,"fagus sylvatica"
"48",19487,10,2006,123,"fagus sylvatica"
"49",19487,11,2006,132,"fagus sylvatica"
"50",19485,11,2006,144,"fagus sylvatica"
"51",19486,11,2006,146,"fagus sylvatica"
"52",19486,86,2006,261,"fagus sylvatica"
"53",19485,86,2006,267,"fagus sylvatica"
"54",19487,86,2006,289,"fagus sylvatica"
"55",19485,10,2007,108,"fagus sylvatica"
"56",19487,10,2007,112,"fagus sylvatica"
"57",19486,10,2007,114,"fagus sylvatica"
"58",19487,11,2007,131,"fagus sylvatica"
"59",19486,11,2007,134,"fagus sylvatica"
"60",19485,11,2007,138,"fagus sylvatica"
"61",19487,86,2007,252,"fagus sylvatica"
"62",19485,86,2007,260,"fagus sylvatica"
"63",19486,86,2007,267,"fagus sylvatica"
"64",19485,10,2008,112,"fagus sylvatica"
"65",19486,10,2008,113,"fagus sylvatica"
"66",19487,10,2008,123,"fagus sylvatica"
"67",19487,11,2008,134,"fagus sylvatica"
"68",19486,11,2008,135,"fagus sylvatica"
"69",19485,11,2008,143,"fagus sylvatica"
"70",19487,86,2008,259,"fagus sylvatica"
"71",19486,86,2008,267,"fagus sylvatica"
"72",19485,86,2008,268,"fagus sylvatica"
"73",19485,10,2009,100,"fagus sylvatica"
"74",19486,10,2009,100,"fagus sylvatica"
"75",19487,10,2009,109,"fagus sylvatica"
"76",19485,11,2009,118,"fagus sylvatica"
"77",19487,11,2009,123,"fagus sylvatica"
"78",19486,11,2009,128,"fagus sylvatica"
"79",19486,86,2009,256,"fagus sylvatica"
"80",19487,86,2009,263,"fagus sylvatica"
"81",19485,86,2009,267,"fagus sylvatica"
"82",19485,11,2010,122,"fagus sylvatica"
"83",19486,10,2010,124,"fagus sylvatica"
"84",19487,10,2010,128,"fagus sylvatica"
"85",19487,11,2010,140,"fagus sylvatica"
"86",19485,10,2010,150,"fagus sylvatica"
"87",19486,11,2010,155,"fagus sylvatica"
"88",19486,86,2010,259,"fagus sylvatica"
"89",19487,86,2010,262,"fagus sylvatica"
"90",19485,86,2010,264,"fagus sylvatica"
"91",19485,10,2011,104,"fagus sylvatica"
"92",19487,10,2011,110,"fagus sylvatica"
"93",19486,10,2011,110,"fagus sylvatica"
"94",19485,11,2011,130,"fagus sylvatica"
"95",19487,11,2011,138,"fagus sylvatica"
"96",19486,11,2011,143,"fagus sylvatica"
"97",19487,86,2011,260,"fagus sylvatica"
"98",19486,86,2011,260,"fagus sylvatica"
"99",19485,86,2011,268,"fagus sylvatica"
"100",19485,10,2012,106,"fagus sylvatica"
"101",7352,10,2012,106,"fagus sylvatica"
"102",19486,10,2012,107,"fagus sylvatica"
"103",20311,10,2012,110,"fagus sylvatica"
"104",7352,11,2012,110,"fagus sylvatica"
"105",19486,11,2012,112,"fagus sylvatica"
"106",20311,11,2012,112,"fagus sylvatica"
"107",20385,10,2012,113,"fagus sylvatica"
"108",20383,10,2012,113,"fagus sylvatica"
"109",7282,10,2012,116,"fagus sylvatica"
"110",19485,11,2012,116,"fagus sylvatica"
"111",20312,10,2012,118,"fagus sylvatica"
"112",20385,11,2012,118,"fagus sylvatica"
"113",7282,11,2012,119,"fagus sylvatica"
"114",20312,11,2012,119,"fagus sylvatica"
"115",20384,10,2012,120,"fagus sylvatica"
"116",20384,11,2012,120,"fagus sylvatica"
"117",20382,10,2012,122,"fagus sylvatica"
"118",20313,10,2012,122,"fagus sylvatica"
"119",20382,11,2012,124,"fagus sylvatica"
"120",20383,11,2012,125,"fagus sylvatica"
"121",20313,11,2012,126,"fagus sylvatica"
"122",7352,86,2012,248,"fagus sylvatica"
"123",20311,86,2012,263,"fagus sylvatica"
"124",20385,86,2012,263,"fagus sylvatica"
"125",19485,86,2012,269,"fagus sylvatica"
"126",7352,10,2013,102,"fagus sylvatica"
"127",19486,10,2013,107,"fagus sylvatica"
"128",7352,11,2013,107,"fagus sylvatica"
"129",7282,10,2013,111,"fagus sylvatica"
"130",20311,10,2013,112,"fagus sylvatica"
"131",19485,10,2013,112,"fagus sylvatica"
"132",20385,10,2013,114,"fagus sylvatica"
"133",20382,10,2013,115,"fagus sylvatica"
"134",19486,11,2013,115,"fagus sylvatica"
"135",20311,11,2013,115,"fagus sylvatica"
"136",7282,11,2013,116,"fagus sylvatica"
"137",20385,11,2013,116,"fagus sylvatica"
"138",20382,11,2013,117,"fagus sylvatica"
"139",20384,10,2013,118,"fagus sylvatica"
"140",20383,10,2013,121,"fagus sylvatica"
"141",20384,11,2013,122,"fagus sylvatica"
"142",19485,11,2013,122,"fagus sylvatica"
"143",20312,10,2013,123,"fagus sylvatica"
"144",20312,11,2013,124,"fagus sylvatica"
"145",20383,11,2013,127,"fagus sylvatica"
"146",20313,10,2013,142,"fagus sylvatica"
"147",20313,11,2013,145,"fagus sylvatica"
"148",7352,86,2013,255,"fagus sylvatica"
"149",20385,86,2013,260,"fagus sylvatica"
"150",20312,86,2013,262,"fagus sylvatica"
"151",20383,86,2013,263,"fagus sylvatica"
"152",7282,86,2013,263,"fagus sylvatica"
"153",20311,86,2013,263,"fagus sylvatica"
"154",20382,86,2013,264,"fagus sylvatica"
"155",20384,86,2013,273,"fagus sylvatica"
"156",19485,86,2013,273,"fagus sylvatica"
"157",19486,86,2013,282,"fagus sylvatica"
"158",7352,10,2015,89,"fagus sylvatica"
"159",7282,10,2015,94,"fagus sylvatica"
"160",7352,11,2015,95,"fagus sylvatica"
"161",20385,10,2015,104,"fagus sylvatica"
"162",19485,10,2015,105,"fagus sylvatica"
"163",19486,10,2015,109,"fagus sylvatica"
"164",20385,11,2015,110,"fagus sylvatica"
"165",20311,10,2015,112,"fagus sylvatica"
"166",7282,11,2015,113,"fagus sylvatica"
"167",20311,11,2015,114,"fagus sylvatica"
"168",20382,10,2015,115,"fagus sylvatica"
"169",20384,10,2015,115,"fagus sylvatica"
"170",20312,10,2015,115,"fagus sylvatica"
"171",19486,11,2015,116,"fagus sylvatica"
"172",20312,11,2015,116,"fagus sylvatica"
"173",20382,11,2015,117,"fagus sylvatica"
"174",20384,11,2015,118,"fagus sylvatica"
"175",19485,11,2015,121,"fagus sylvatica"
"176",20313,10,2015,122,"fagus sylvatica"
"177",20313,11,2015,124,"fagus sylvatica"
"178",7352,86,2015,248,"fagus sylvatica"
"179",7282,86,2015,250,"fagus sylvatica"
"180",20385,86,2015,258,"fagus sylvatica"
"181",20312,86,2015,259,"fagus sylvatica"
"182",19485,86,2015,263,"fagus sylvatica"
"183",20311,86,2015,263,"fagus sylvatica"
"184",20313,86,2015,264,"fagus sylvatica"
"185",19486,86,2015,266,"fagus sylvatica"
"186",20384,86,2015,275,"fagus sylvatica"
