"","PEP_ID","BBCH","YEAR","DAY","species"
"1",19485,10,2001,83,"fragaria vesca"
"2",19486,10,2001,83,"fragaria vesca"
"3",19488,10,2001,91,"fragaria vesca"
"4",19486,51,2001,111,"fragaria vesca"
"5",19485,51,2001,116,"fragaria vesca"
"6",19488,51,2001,117,"fragaria vesca"
"7",19486,60,2001,117,"fragaria vesca"
"8",19485,60,2001,120,"fragaria vesca"
"9",19488,60,2001,121,"fragaria vesca"
"10",19487,10,2001,122,"fragaria vesca"
"11",19487,51,2001,124,"fragaria vesca"
"12",19487,60,2001,130,"fragaria vesca"
"13",19486,89,2001,148,"fragaria vesca"
"14",19485,89,2001,168,"fragaria vesca"
"15",19487,89,2001,178,"fragaria vesca"
"16",19486,10,2002,72,"fragaria vesca"
"17",19485,10,2002,80,"fragaria vesca"
"18",19488,10,2002,84,"fragaria vesca"
"19",19486,51,2002,106,"fragaria vesca"
"20",19486,60,2002,108,"fragaria vesca"
"21",19485,51,2002,116,"fragaria vesca"
"22",19488,51,2002,118,"fragaria vesca"
"23",19488,60,2002,121,"fragaria vesca"
"24",19485,60,2002,123,"fragaria vesca"
"25",19487,10,2002,124,"fragaria vesca"
"26",19487,51,2002,129,"fragaria vesca"
"27",19487,60,2002,131,"fragaria vesca"
"28",19486,89,2002,151,"fragaria vesca"
"29",19485,89,2002,157,"fragaria vesca"
"30",19487,89,2002,177,"fragaria vesca"
"31",19485,10,2003,83,"fragaria vesca"
"32",19486,10,2003,85,"fragaria vesca"
"33",19488,10,2003,87,"fragaria vesca"
"34",19486,51,2003,109,"fragaria vesca"
"35",19485,51,2003,112,"fragaria vesca"
"36",19486,60,2003,113,"fragaria vesca"
"37",19485,60,2003,120,"fragaria vesca"
"38",19488,51,2003,122,"fragaria vesca"
"39",19488,60,2003,126,"fragaria vesca"
"40",19487,10,2003,127,"fragaria vesca"
"41",19487,51,2003,132,"fragaria vesca"
"42",19487,60,2003,135,"fragaria vesca"
"43",19486,89,2003,148,"fragaria vesca"
"44",19485,89,2003,160,"fragaria vesca"
"45",19487,89,2003,171,"fragaria vesca"
"46",19488,10,2004,79,"fragaria vesca"
"47",19485,10,2004,80,"fragaria vesca"
"48",19486,10,2004,93,"fragaria vesca"
"49",19486,51,2004,112,"fragaria vesca"
"50",19485,51,2004,115,"fragaria vesca"
"51",19486,60,2004,118,"fragaria vesca"
"52",19485,60,2004,120,"fragaria vesca"
"53",19488,51,2004,122,"fragaria vesca"
"54",19488,60,2004,129,"fragaria vesca"
