"","PEP_ID","BBCH","YEAR","DAY","species"
"1",2676,0,1991,59,"helianths annuus"
"2",3611,0,1991,63,"helianths annuus"
"3",4357,0,1991,74,"helianths annuus"
"4",1290,0,1991,78,"helianths annuus"
"5",2676,10,1991,79,"helianths annuus"
"6",2454,0,1991,80,"helianths annuus"
"7",3171,0,1991,80,"helianths annuus"
"8",1234,0,1991,81,"helianths annuus"
"9",2710,0,1991,82,"helianths annuus"
"10",3482,0,1991,85,"helianths annuus"
"11",2364,0,1991,87,"helianths annuus"
"12",2674,0,1991,87,"helianths annuus"
"13",2698,0,1991,87,"helianths annuus"
"14",2950,0,1991,87,"helianths annuus"
"15",4275,0,1991,87,"helianths annuus"
"16",4453,0,1991,87,"helianths annuus"
"17",4357,10,1991,88,"helianths annuus"
"18",2707,0,1991,89,"helianths annuus"
"19",2932,0,1991,89,"helianths annuus"
"20",2971,0,1991,89,"helianths annuus"
"21",3038,0,1991,89,"helianths annuus"
"22",1234,10,1991,89,"helianths annuus"
"23",2454,10,1991,89,"helianths annuus"
"24",596,0,1991,90,"helianths annuus"
"25",2712,0,1991,91,"helianths annuus"
"26",3469,0,1991,91,"helianths annuus"
"27",4190,0,1991,91,"helianths annuus"
"28",1919,0,1991,92,"helianths annuus"
"29",2016,0,1991,92,"helianths annuus"
"30",2933,0,1991,92,"helianths annuus"
"31",3000,0,1991,92,"helianths annuus"
"32",3106,0,1991,92,"helianths annuus"
"33",3141,0,1991,92,"helianths annuus"
"34",3174,0,1991,92,"helianths annuus"
"35",3467,0,1991,92,"helianths annuus"
"36",4343,0,1991,92,"helianths annuus"
"37",4448,0,1991,92,"helianths annuus"
"38",2747,0,1991,93,"helianths annuus"
"39",2752,0,1991,93,"helianths annuus"
"40",2795,0,1991,93,"helianths annuus"
"41",2833,0,1991,93,"helianths annuus"
"42",2958,0,1991,93,"helianths annuus"
"43",3023,0,1991,93,"helianths annuus"
"44",3260,0,1991,93,"helianths annuus"
"45",3283,0,1991,93,"helianths annuus"
"46",3334,0,1991,93,"helianths annuus"
"47",3622,0,1991,93,"helianths annuus"
"48",4386,0,1991,93,"helianths annuus"
"49",4441,0,1991,93,"helianths annuus"
"50",4445,0,1991,93,"helianths annuus"
"51",2702,0,1991,94,"helianths annuus"
"52",2703,0,1991,94,"helianths annuus"
"53",2744,0,1991,94,"helianths annuus"
"54",2964,0,1991,94,"helianths annuus"
"55",3181,0,1991,94,"helianths annuus"
"56",3200,0,1991,94,"helianths annuus"
"57",3986,0,1991,94,"helianths annuus"
"58",4498,0,1991,94,"helianths annuus"
"59",310,0,1991,95,"helianths annuus"
"60",2282,0,1991,95,"helianths annuus"
"61",2540,0,1991,95,"helianths annuus"
"62",2708,0,1991,95,"helianths annuus"
"63",2786,0,1991,95,"helianths annuus"
"64",2828,0,1991,95,"helianths annuus"
"65",4382,0,1991,95,"helianths annuus"
"66",4447,0,1991,95,"helianths annuus"
"67",3482,10,1991,95,"helianths annuus"
"68",3611,10,1991,95,"helianths annuus"
"69",1333,0,1991,96,"helianths annuus"
"70",1334,0,1991,96,"helianths annuus"
"71",2994,0,1991,96,"helianths annuus"
"72",3053,0,1991,96,"helianths annuus"
"73",3088,0,1991,96,"helianths annuus"
"74",3139,0,1991,96,"helianths annuus"
"75",3224,0,1991,96,"helianths annuus"
"76",3258,0,1991,96,"helianths annuus"
"77",596,10,1991,96,"helianths annuus"
"78",1543,0,1991,97,"helianths annuus"
"79",2710,10,1991,97,"helianths annuus"
"80",261,0,1991,98,"helianths annuus"
"81",2723,0,1991,98,"helianths annuus"
"82",2742,0,1991,98,"helianths annuus"
"83",3064,0,1991,98,"helianths annuus"
"84",2908,0,1991,99,"helianths annuus"
"85",3018,0,1991,99,"helianths annuus"
"86",3240,0,1991,99,"helianths annuus"
"87",3748,0,1991,99,"helianths annuus"
"88",4390,0,1991,99,"helianths annuus"
"89",4408,0,1991,99,"helianths annuus"
"90",4435,0,1991,99,"helianths annuus"
"91",173,0,1991,100,"helianths annuus"
"92",662,0,1991,100,"helianths annuus"
"93",2572,0,1991,100,"helianths annuus"
"94",2647,0,1991,100,"helianths annuus"
"95",2848,0,1991,100,"helianths annuus"
"96",3059,0,1991,100,"helianths annuus"
"97",3133,0,1991,100,"helianths annuus"
"98",3136,0,1991,100,"helianths annuus"
"99",3148,0,1991,100,"helianths annuus"
"100",3332,0,1991,100,"helianths annuus"
"101",3853,0,1991,100,"helianths annuus"
"102",2971,10,1991,100,"helianths annuus"
"103",3181,10,1991,100,"helianths annuus"
"104",3283,10,1991,100,"helianths annuus"
"105",1459,0,1991,101,"helianths annuus"
"106",1949,0,1991,101,"helianths annuus"
"107",2613,0,1991,101,"helianths annuus"
"108",2696,0,1991,101,"helianths annuus"
"109",2705,0,1991,101,"helianths annuus"
"110",2740,0,1991,101,"helianths annuus"
"111",2943,0,1991,101,"helianths annuus"
"112",3158,0,1991,101,"helianths annuus"
"113",3229,0,1991,101,"helianths annuus"
"114",4444,0,1991,101,"helianths annuus"
"115",3174,10,1991,101,"helianths annuus"
"116",4453,10,1991,101,"helianths annuus"
"117",167,0,1991,102,"helianths annuus"
"118",2842,0,1991,102,"helianths annuus"
"119",2902,0,1991,102,"helianths annuus"
"120",3112,0,1991,102,"helianths annuus"
"121",3218,0,1991,102,"helianths annuus"
"122",3317,0,1991,102,"helianths annuus"
"123",3808,0,1991,102,"helianths annuus"
"124",4240,0,1991,102,"helianths annuus"
"125",4427,0,1991,102,"helianths annuus"
"126",4652,0,1991,102,"helianths annuus"
"127",1919,10,1991,102,"helianths annuus"
"128",1178,0,1991,103,"helianths annuus"
"129",2930,0,1991,103,"helianths annuus"
"130",3336,0,1991,103,"helianths annuus"
"131",4335,0,1991,103,"helianths annuus"
"132",4469,0,1991,103,"helianths annuus"
"133",2698,10,1991,103,"helianths annuus"
"134",2744,10,1991,103,"helianths annuus"
"135",2795,10,1991,103,"helianths annuus"
"136",2828,10,1991,103,"helianths annuus"
"137",3469,10,1991,103,"helianths annuus"
"138",932,0,1991,104,"helianths annuus"
"139",4186,0,1991,104,"helianths annuus"
"140",2752,10,1991,104,"helianths annuus"
"141",1948,0,1991,105,"helianths annuus"
"142",2704,0,1991,105,"helianths annuus"
"143",2864,0,1991,105,"helianths annuus"
"144",3143,0,1991,105,"helianths annuus"
"145",2747,10,1991,105,"helianths annuus"
