"","PEP_ID","BBCH","YEAR","DAY","species"
"1",20407,15,2013,104,"foeniculum vulgare"
"2",20446,15,2013,118,"foeniculum vulgare"
"3",20420,15,2013,119,"foeniculum vulgare"
"4",20401,65,2013,152,"foeniculum vulgare"
"5",20401,95,2013,182,"foeniculum vulgare"
"6",20408,65,2013,187,"foeniculum vulgare"
"7",20446,65,2013,193,"foeniculum vulgare"
"8",20411,65,2013,195,"foeniculum vulgare"
"9",20407,65,2013,197,"foeniculum vulgare"
"10",20428,65,2013,201,"foeniculum vulgare"
"11",20402,65,2013,209,"foeniculum vulgare"
"12",20420,65,2013,211,"foeniculum vulgare"
"13",20408,95,2013,214,"foeniculum vulgare"
"14",20429,65,2013,219,"foeniculum vulgare"
"15",20411,95,2013,232,"foeniculum vulgare"
"16",20407,95,2013,240,"foeniculum vulgare"
"17",20429,95,2013,240,"foeniculum vulgare"
"18",20446,95,2013,247,"foeniculum vulgare"
"19",20402,95,2013,271,"foeniculum vulgare"
"20",20401,15,2014,29,"foeniculum vulgare"
"21",20402,15,2014,32,"foeniculum vulgare"
"22",20399,15,2014,59,"foeniculum vulgare"
"23",20432,15,2014,60,"foeniculum vulgare"
"24",20411,15,2014,64,"foeniculum vulgare"
"25",20407,15,2014,64,"foeniculum vulgare"
"26",20428,15,2014,82,"foeniculum vulgare"
"27",20429,15,2014,87,"foeniculum vulgare"
"28",20425,15,2014,110,"foeniculum vulgare"
"29",20446,15,2014,118,"foeniculum vulgare"
"30",20425,65,2014,174,"foeniculum vulgare"
"31",20401,65,2014,182,"foeniculum vulgare"
"32",20446,65,2014,184,"foeniculum vulgare"
"33",20428,65,2014,201,"foeniculum vulgare"
"34",20407,95,2014,204,"foeniculum vulgare"
