"","PEP_ID","BBCH","YEAR","DAY","species"
"1",19300,60,1961,85,"betula pendula"
"2",19291,60,1961,86,"betula pendula"
"3",19300,11,1961,88,"betula pendula"
"4",19291,11,1961,90,"betula pendula"
"5",19297,11,1961,90,"betula pendula"
"6",19295,60,1961,93,"betula pendula"
"7",19297,60,1961,93,"betula pendula"
"8",19293,11,1961,97,"betula pendula"
"9",19295,11,1961,97,"betula pendula"
"10",19293,60,1961,101,"betula pendula"
"11",19291,94,1961,279,"betula pendula"
"12",19295,94,1961,283,"betula pendula"
"13",19297,94,1961,283,"betula pendula"
"14",19300,94,1961,283,"betula pendula"
"15",19291,95,1961,293,"betula pendula"
"16",19297,95,1961,295,"betula pendula"
"17",19295,95,1961,296,"betula pendula"
"18",19300,95,1961,296,"betula pendula"
"19",19291,11,1962,102,"betula pendula"
"20",19291,60,1962,106,"betula pendula"
"21",19300,60,1962,106,"betula pendula"
"22",19300,11,1962,107,"betula pendula"
"23",19295,60,1962,107,"betula pendula"
"24",19297,60,1962,107,"betula pendula"
"25",19295,11,1962,110,"betula pendula"
"26",19297,11,1962,111,"betula pendula"
"27",19295,94,1962,283,"betula pendula"
"28",19297,94,1962,284,"betula pendula"
"29",19300,94,1962,289,"betula pendula"
"30",19291,94,1962,291,"betula pendula"
"31",19291,95,1962,301,"betula pendula"
"32",19297,95,1962,301,"betula pendula"
"33",19295,95,1962,302,"betula pendula"
"34",19300,95,1962,303,"betula pendula"
"35",19291,60,1963,101,"betula pendula"
"36",19300,60,1963,101,"betula pendula"
"37",19300,11,1963,103,"betula pendula"
"38",19295,60,1963,104,"betula pendula"
"39",19291,11,1963,105,"betula pendula"
"40",19293,11,1963,106,"betula pendula"
"41",19295,11,1963,106,"betula pendula"
"42",19297,11,1963,106,"betula pendula"
"43",19293,60,1963,112,"betula pendula"
"44",19297,94,1963,286,"betula pendula"
"45",19293,94,1963,292,"betula pendula"
"46",19295,94,1963,292,"betula pendula"
"47",19293,95,1963,295,"betula pendula"
"48",19291,94,1963,296,"betula pendula"
"49",19300,94,1963,296,"betula pendula"
"50",19295,95,1963,306,"betula pendula"
"51",19291,95,1963,307,"betula pendula"
"52",19300,95,1963,309,"betula pendula"
"53",19291,60,1964,98,"betula pendula"
"54",19300,60,1964,99,"betula pendula"
"55",19300,11,1964,100,"betula pendula"
"56",19295,60,1964,102,"betula pendula"
"57",19297,60,1964,102,"betula pendula"
"58",19291,11,1964,103,"betula pendula"
"59",19295,11,1964,106,"betula pendula"
"60",19297,11,1964,106,"betula pendula"
"61",19293,60,1964,110,"betula pendula"
"62",19293,11,1964,114,"betula pendula"
"63",19293,94,1964,278,"betula pendula"
"64",19297,94,1964,283,"betula pendula"
"65",19295,94,1964,287,"betula pendula"
"66",19300,94,1964,288,"betula pendula"
"67",19291,94,1964,290,"betula pendula"
"68",19293,95,1964,294,"betula pendula"
"69",19297,95,1964,294,"betula pendula"
"70",19300,95,1964,298,"betula pendula"
"71",19291,95,1964,301,"betula pendula"
"72",19295,95,1964,304,"betula pendula"
"73",19291,11,1965,94,"betula pendula"
"74",19295,60,1965,95,"betula pendula"
"75",19300,60,1965,95,"betula pendula"
"76",19300,11,1965,96,"betula pendula"
"77",19295,11,1965,97,"betula pendula"
"78",19297,60,1965,101,"betula pendula"
"79",19297,11,1965,102,"betula pendula"
"80",19293,60,1965,108,"betula pendula"
"81",19293,11,1965,111,"betula pendula"
"82",19297,94,1965,290,"betula pendula"
"83",19295,94,1965,293,"betula pendula"
"84",19291,94,1965,295,"betula pendula"
"85",19300,94,1965,296,"betula pendula"
"86",19295,95,1965,302,"betula pendula"
"87",19293,94,1965,303,"betula pendula"
"88",19291,95,1965,306,"betula pendula"
"89",19297,95,1965,306,"betula pendula"
"90",19293,95,1965,308,"betula pendula"
"91",19300,95,1965,308,"betula pendula"
"92",19291,60,1966,93,"betula pendula"
"93",19300,11,1966,94,"betula pendula"
"94",19300,60,1966,94,"betula pendula"
"95",19291,11,1966,95,"betula pendula"
"96",19295,60,1966,95,"betula pendula"
"97",19295,11,1966,97,"betula pendula"
"98",19297,11,1966,101,"betula pendula"
"99",19297,60,1966,105,"betula pendula"
"100",19293,60,1966,107,"betula pendula"
"101",19293,11,1966,110,"betula pendula"
"102",19295,94,1966,288,"betula pendula"
"103",19297,94,1966,291,"betula pendula"
"104",19291,94,1966,292,"betula pendula"
"105",19300,94,1966,293,"betula pendula"
"106",19293,94,1966,300,"betula pendula"
"107",19297,95,1966,302,"betula pendula"
"108",19295,95,1966,303,"betula pendula"
"109",19300,95,1966,303,"betula pendula"
"110",19291,95,1966,304,"betula pendula"
"111",19293,95,1966,305,"betula pendula"
"112",19300,60,1967,90,"betula pendula"
"113",19291,60,1967,93,"betula pendula"
"114",19300,11,1967,94,"betula pendula"
"115",19295,60,1967,94,"betula pendula"
"116",19291,11,1967,97,"betula pendula"
"117",19295,11,1967,97,"betula pendula"
"118",19297,11,1967,103,"betula pendula"
"119",19297,60,1967,103,"betula pendula"
"120",19293,11,1967,109,"betula pendula"
"121",19293,60,1967,111,"betula pendula"
