"","PEP_ID","BBCH","YEAR","DAY","species"
"1",19297,11,1961,96,"fagus sylvatica"
"2",19291,11,1961,98,"fagus sylvatica"
"3",19300,11,1961,100,"fagus sylvatica"
"4",19296,11,1961,102,"fagus sylvatica"
"5",19291,60,1961,116,"fagus sylvatica"
"6",19297,60,1961,116,"fagus sylvatica"
"7",19296,86,1961,248,"fagus sylvatica"
"8",19291,86,1961,263,"fagus sylvatica"
"9",19297,86,1961,263,"fagus sylvatica"
"10",19297,94,1961,267,"fagus sylvatica"
"11",19297,95,1961,296,"fagus sylvatica"
"12",19300,94,1961,298,"fagus sylvatica"
"13",19291,94,1961,299,"fagus sylvatica"
"14",19296,94,1961,309,"fagus sylvatica"
"15",19291,95,1961,314,"fagus sylvatica"
"16",19300,95,1961,314,"fagus sylvatica"
"17",19296,95,1961,328,"fagus sylvatica"
"18",19296,11,1962,110,"fagus sylvatica"
"19",19297,11,1962,113,"fagus sylvatica"
"20",19300,11,1962,116,"fagus sylvatica"
"21",19291,11,1962,118,"fagus sylvatica"
"22",19297,60,1962,130,"fagus sylvatica"
"23",19291,60,1962,137,"fagus sylvatica"
"24",19296,60,1962,138,"fagus sylvatica"
"25",19291,86,1962,263,"fagus sylvatica"
"26",19297,86,1962,269,"fagus sylvatica"
"27",19296,94,1962,293,"fagus sylvatica"
"28",19297,94,1962,300,"fagus sylvatica"
"29",19300,94,1962,303,"fagus sylvatica"
"30",19291,94,1962,310,"fagus sylvatica"
"31",19297,95,1962,311,"fagus sylvatica"
"32",19300,95,1962,314,"fagus sylvatica"
"33",19296,95,1962,318,"fagus sylvatica"
"34",19291,95,1962,322,"fagus sylvatica"
"35",19295,11,1963,108,"fagus sylvatica"
"36",19296,11,1963,112,"fagus sylvatica"
"37",19291,11,1963,113,"fagus sylvatica"
"38",19300,11,1963,115,"fagus sylvatica"
"39",19297,11,1963,116,"fagus sylvatica"
"40",19297,60,1963,127,"fagus sylvatica"
"41",19291,86,1963,251,"fagus sylvatica"
"42",19297,86,1963,267,"fagus sylvatica"
"43",19297,94,1963,291,"fagus sylvatica"
"44",19295,94,1963,292,"fagus sylvatica"
"45",19297,95,1963,297,"fagus sylvatica"
"46",19300,94,1963,298,"fagus sylvatica"
"47",19291,94,1963,300,"fagus sylvatica"
"48",19296,94,1963,300,"fagus sylvatica"
"49",19295,95,1963,306,"fagus sylvatica"
"50",19300,95,1963,307,"fagus sylvatica"
"51",19296,95,1963,316,"fagus sylvatica"
"52",19295,11,1964,104,"fagus sylvatica"
"53",19291,11,1964,106,"fagus sylvatica"
"54",19296,11,1964,107,"fagus sylvatica"
"55",19297,11,1964,109,"fagus sylvatica"
"56",19295,60,1964,110,"fagus sylvatica"
"57",19300,11,1964,115,"fagus sylvatica"
"58",19291,60,1964,117,"fagus sylvatica"
"59",19296,60,1964,122,"fagus sylvatica"
"60",19297,60,1964,123,"fagus sylvatica"
"61",19296,86,1964,240,"fagus sylvatica"
"62",19291,86,1964,250,"fagus sylvatica"
"63",19295,86,1964,269,"fagus sylvatica"
"64",19297,86,1964,271,"fagus sylvatica"
"65",19295,94,1964,284,"fagus sylvatica"
"66",19297,94,1964,284,"fagus sylvatica"
"67",19300,94,1964,292,"fagus sylvatica"
"68",19296,94,1964,294,"fagus sylvatica"
"69",19297,95,1964,296,"fagus sylvatica"
"70",19295,95,1964,299,"fagus sylvatica"
"71",19291,94,1964,302,"fagus sylvatica"
"72",19300,95,1964,302,"fagus sylvatica"
"73",19296,95,1964,329,"fagus sylvatica"
"74",19295,11,1965,94,"fagus sylvatica"
