"","PEP_ID","BBCH","YEAR","DAY","species"
"1",19296,60,1961,95,"syringa vulgaris"
"2",19300,60,1961,95,"syringa vulgaris"
"3",19295,60,1961,98,"syringa vulgaris"
"4",19294,60,1961,99,"syringa vulgaris"
"5",19299,60,1961,99,"syringa vulgaris"
"6",19298,60,1961,100,"syringa vulgaris"
"7",19297,60,1961,101,"syringa vulgaris"
"8",19300,65,1961,101,"syringa vulgaris"
"9",19291,60,1961,102,"syringa vulgaris"
"10",19296,65,1961,103,"syringa vulgaris"
"11",19295,65,1961,105,"syringa vulgaris"
"12",19298,65,1961,105,"syringa vulgaris"
"13",19297,65,1961,106,"syringa vulgaris"
"14",19294,65,1961,107,"syringa vulgaris"
"15",19293,60,1961,109,"syringa vulgaris"
"16",19299,65,1961,109,"syringa vulgaris"
"17",19291,65,1961,117,"syringa vulgaris"
"18",19293,65,1961,120,"syringa vulgaris"
"19",19294,60,1962,113,"syringa vulgaris"
"20",19299,60,1962,113,"syringa vulgaris"
"21",19298,60,1962,114,"syringa vulgaris"
"22",19300,60,1962,117,"syringa vulgaris"
"23",19296,60,1962,119,"syringa vulgaris"
"24",19295,60,1962,120,"syringa vulgaris"
"25",19299,65,1962,120,"syringa vulgaris"
"26",19300,65,1962,120,"syringa vulgaris"
"27",19294,65,1962,122,"syringa vulgaris"
"28",19298,65,1962,124,"syringa vulgaris"
"29",19295,65,1962,126,"syringa vulgaris"
"30",19297,60,1962,127,"syringa vulgaris"
"31",19291,60,1962,128,"syringa vulgaris"
"32",19297,65,1962,130,"syringa vulgaris"
"33",19293,60,1962,132,"syringa vulgaris"
"34",19291,65,1962,134,"syringa vulgaris"
"35",19296,65,1962,135,"syringa vulgaris"
"36",19293,65,1962,145,"syringa vulgaris"
"37",19294,60,1963,105,"syringa vulgaris"
"38",19298,60,1963,105,"syringa vulgaris"
"39",19299,60,1963,106,"syringa vulgaris"
"40",19294,65,1963,110,"syringa vulgaris"
"41",19298,65,1963,110,"syringa vulgaris"
"42",19299,65,1963,111,"syringa vulgaris"
"43",19300,60,1963,113,"syringa vulgaris"
"44",19295,60,1963,117,"syringa vulgaris"
"45",19300,65,1963,117,"syringa vulgaris"
"46",19291,60,1963,118,"syringa vulgaris"
"47",19296,60,1963,120,"syringa vulgaris"
"48",19297,60,1963,122,"syringa vulgaris"
"49",19295,65,1963,124,"syringa vulgaris"
"50",19296,65,1963,124,"syringa vulgaris"
"51",19291,65,1963,126,"syringa vulgaris"
"52",19297,65,1963,128,"syringa vulgaris"
"53",19293,60,1963,131,"syringa vulgaris"
"54",19293,65,1963,136,"syringa vulgaris"
"55",19294,60,1964,107,"syringa vulgaris"
"56",19299,60,1964,107,"syringa vulgaris"
"57",19298,60,1964,108,"syringa vulgaris"
"58",19299,65,1964,112,"syringa vulgaris"
"59",19300,60,1964,115,"syringa vulgaris"
"60",19291,60,1964,119,"syringa vulgaris"
"61",19295,60,1964,120,"syringa vulgaris"
"62",19300,65,1964,120,"syringa vulgaris"
"63",19294,65,1964,122,"syringa vulgaris"
"64",19296,60,1964,123,"syringa vulgaris"
"65",19297,60,1964,124,"syringa vulgaris"
"66",19298,65,1964,124,"syringa vulgaris"
"67",19295,65,1964,127,"syringa vulgaris"
"68",19293,60,1964,130,"syringa vulgaris"
"69",19291,65,1964,131,"syringa vulgaris"
"70",19296,65,1964,131,"syringa vulgaris"
"71",19297,65,1964,131,"syringa vulgaris"
"72",19293,65,1964,134,"syringa vulgaris"
"73",19299,60,1965,102,"syringa vulgaris"
"74",19294,60,1965,103,"syringa vulgaris"
"75",19298,65,1965,106,"syringa vulgaris"
"76",19294,65,1965,115,"syringa vulgaris"
"77",19299,65,1965,115,"syringa vulgaris"
"78",19298,60,1965,116,"syringa vulgaris"
"79",19300,60,1965,119,"syringa vulgaris"
"80",19291,60,1965,120,"syringa vulgaris"
"81",19292,65,1965,121,"syringa vulgaris"
"82",19295,60,1965,123,"syringa vulgaris"
"83",19291,65,1965,126,"syringa vulgaris"
"84",19300,65,1965,126,"syringa vulgaris"
"85",19297,60,1965,127,"syringa vulgaris"
"86",19296,60,1965,129,"syringa vulgaris"
"87",19295,65,1965,130,"syringa vulgaris"
"88",19297,65,1965,133,"syringa vulgaris"
"89",19296,65,1965,135,"syringa vulgaris"
"90",19293,60,1965,140,"syringa vulgaris"
"91",19293,65,1965,143,"syringa vulgaris"
"92",19299,60,1966,92,"syringa vulgaris"
"93",19294,60,1966,96,"syringa vulgaris"
"94",19299,65,1966,100,"syringa vulgaris"
"95",19294,65,1966,103,"syringa vulgaris"
"96",19291,60,1966,104,"syringa vulgaris"
