"","PEP_ID","BBCH","YEAR","DAY","species"
"1",8274,11,1974,93,"betula pendula"
"2",8274,11,1975,82,"betula pendula"
"3",8274,94,1975,282,"betula pendula"
"4",8274,97,1975,287,"betula pendula"
"5",8274,11,1976,85,"betula pendula"
"6",8274,60,1976,113,"betula pendula"
"7",8274,94,1976,298,"betula pendula"
"8",8274,97,1976,316,"betula pendula"
"9",8274,11,1977,105,"betula pendula"
"10",8274,94,1977,287,"betula pendula"
"11",8274,97,1977,294,"betula pendula"
"12",8274,11,1978,125,"betula pendula"
"13",8274,94,1978,285,"betula pendula"
"14",8274,97,1978,304,"betula pendula"
"15",8274,11,1979,113,"betula pendula"
"16",8274,94,1979,298,"betula pendula"
"17",8274,97,1979,327,"betula pendula"
"18",8274,11,1980,112,"betula pendula"
"19",8274,94,1980,267,"betula pendula"
"20",8274,97,1980,302,"betula pendula"
"21",8274,11,1981,98,"betula pendula"
"22",8274,94,1981,269,"betula pendula"
"23",8274,97,1981,303,"betula pendula"
"24",8274,11,1982,97,"betula pendula"
"25",8274,94,1982,271,"betula pendula"
"26",8274,97,1982,288,"betula pendula"
"27",8274,11,1983,109,"betula pendula"
"28",8274,94,1983,285,"betula pendula"
"29",8274,97,1983,292,"betula pendula"
"30",8274,11,1984,107,"betula pendula"
"31",8274,60,1984,124,"betula pendula"
"32",8274,94,1984,270,"betula pendula"
"33",8274,97,1984,288,"betula pendula"
"34",8274,11,1985,102,"betula pendula"
"35",8274,94,1985,268,"betula pendula"
"36",8274,97,1985,288,"betula pendula"
"37",8274,11,1986,127,"betula pendula"
"38",8274,94,1986,268,"betula pendula"
"39",8274,97,1986,289,"betula pendula"
"40",8274,11,1987,100,"betula pendula"
"41",8274,94,1987,268,"betula pendula"
"42",8274,97,1987,274,"betula pendula"
"43",8274,11,1988,87,"betula pendula"
"44",8274,60,1988,91,"betula pendula"
"45",8274,97,1988,273,"betula pendula"
"46",8274,11,1990,82,"betula pendula"
"47",8274,94,1990,275,"betula pendula"
"48",8274,97,1990,281,"betula pendula"
"49",8274,11,1991,92,"betula pendula"
"50",8274,11,1992,77,"betula pendula"
"51",8275,11,1996,95,"betula pendula"
"52",8275,94,1996,264,"betula pendula"
"53",8275,97,1996,300,"betula pendula"
"54",8274,11,1997,105,"betula pendula"
"55",8274,94,1997,281,"betula pendula"
"56",8274,97,1997,290,"betula pendula"
