"","PEP_ID","BBCH","YEAR","DAY","species"
"1",8276,11,1968,86,"betula pubescens"
"2",8276,97,1968,313,"betula pubescens"
"3",8273,97,1968,316,"betula pubescens"
"4",8273,11,1969,106,"betula pubescens"
"5",8276,11,1969,118,"betula pubescens"
"6",8276,97,1969,318,"betula pubescens"
"7",8273,97,1969,324,"betula pubescens"
"8",8273,11,1970,102,"betula pubescens"
"9",8274,11,1970,115,"betula pubescens"
"10",8276,11,1970,120,"betula pubescens"
"11",8273,97,1970,300,"betula pubescens"
"12",8275,97,1970,302,"betula pubescens"
"13",8276,97,1970,322,"betula pubescens"
"14",8274,11,1971,87,"betula pubescens"
"15",8275,11,1971,88,"betula pubescens"
"16",8273,11,1971,101,"betula pubescens"
"17",8276,11,1971,119,"betula pubescens"
"18",8275,94,1971,275,"betula pubescens"
"19",8273,94,1971,276,"betula pubescens"
"20",8273,97,1971,295,"betula pubescens"
"21",8275,97,1971,305,"betula pubescens"
"22",8276,94,1971,312,"betula pubescens"
"23",8276,97,1971,326,"betula pubescens"
"24",8275,11,1972,93,"betula pubescens"
"25",8274,11,1972,100,"betula pubescens"
"26",8273,11,1972,101,"betula pubescens"
"27",8276,11,1972,119,"betula pubescens"
"28",8273,94,1972,279,"betula pubescens"
"29",8275,94,1972,291,"betula pubescens"
"30",8274,94,1972,303,"betula pubescens"
"31",8273,97,1972,303,"betula pubescens"
"32",8275,97,1972,304,"betula pubescens"
"33",8274,97,1972,313,"betula pubescens"
"34",8276,94,1972,315,"betula pubescens"
"35",8276,97,1972,329,"betula pubescens"
"36",8273,11,1973,89,"betula pubescens"
"37",8274,11,1973,95,"betula pubescens"
"38",8275,11,1973,96,"betula pubescens"
"39",8273,60,1973,110,"betula pubescens"
"40",8276,11,1973,118,"betula pubescens"
"41",8275,94,1973,263,"betula pubescens"
"42",8275,97,1973,276,"betula pubescens"
"43",8273,94,1973,280,"betula pubescens"
"44",8273,97,1973,285,"betula pubescens"
"45",8274,94,1973,292,"betula pubescens"
"46",8276,94,1973,316,"betula pubescens"
"47",8276,97,1973,327,"betula pubescens"
"48",8273,11,1974,91,"betula pubescens"
"49",8275,11,1974,92,"betula pubescens"
"50",8274,11,1974,93,"betula pubescens"
"51",8274,60,1974,105,"betula pubescens"
"52",8276,11,1974,122,"betula pubescens"
"53",8275,94,1974,253,"betula pubescens"
"54",8273,94,1974,276,"betula pubescens"
"55",8273,97,1974,281,"betula pubescens"
"56",8274,94,1974,287,"betula pubescens"
"57",8275,97,1974,287,"betula pubescens"
"58",8274,97,1974,308,"betula pubescens"
"59",8276,94,1974,310,"betula pubescens"
"60",8276,97,1974,329,"betula pubescens"
"61",8273,11,1975,72,"betula pubescens"
"62",8274,11,1975,93,"betula pubescens"
