"","PEP_ID","BBCH","YEAR","DAY","species"
"1",8274,11,1970,97,"fagus sylvatica"
"2",8275,11,1970,121,"fagus sylvatica"
"3",8273,11,1970,124,"fagus sylvatica"
"4",8275,11,1971,119,"fagus sylvatica"
"5",8274,11,1971,120,"fagus sylvatica"
"6",8273,11,1971,121,"fagus sylvatica"
"7",8274,97,1971,269,"fagus sylvatica"
"8",8275,97,1971,301,"fagus sylvatica"
"9",8273,97,1971,326,"fagus sylvatica"
"10",8275,11,1972,115,"fagus sylvatica"
"11",8274,11,1972,121,"fagus sylvatica"
"12",8273,11,1972,128,"fagus sylvatica"
"13",8274,97,1972,301,"fagus sylvatica"
"14",8275,97,1972,305,"fagus sylvatica"
"15",8273,97,1972,314,"fagus sylvatica"
"16",8275,11,1973,124,"fagus sylvatica"
"17",8273,11,1973,125,"fagus sylvatica"
"18",8274,11,1973,128,"fagus sylvatica"
"19",8275,97,1973,282,"fagus sylvatica"
"20",8274,97,1973,287,"fagus sylvatica"
"21",8273,97,1973,291,"fagus sylvatica"
"22",8275,11,1974,113,"fagus sylvatica"
"23",8274,11,1974,124,"fagus sylvatica"
"24",8273,11,1974,126,"fagus sylvatica"
"25",8273,97,1974,267,"fagus sylvatica"
"26",8275,97,1974,284,"fagus sylvatica"
"27",8274,97,1974,285,"fagus sylvatica"
"28",8273,11,1975,108,"fagus sylvatica"
"29",8275,11,1975,117,"fagus sylvatica"
"30",8274,11,1975,118,"fagus sylvatica"
"31",8274,97,1975,280,"fagus sylvatica"
"32",8273,11,1976,107,"fagus sylvatica"
"33",8275,11,1976,116,"fagus sylvatica"
"34",8274,11,1976,119,"fagus sylvatica"
"35",8275,94,1976,264,"fagus sylvatica"
"36",8274,97,1976,317,"fagus sylvatica"
"37",8273,11,1977,109,"fagus sylvatica"
"38",8274,11,1977,119,"fagus sylvatica"
"39",8275,11,1977,123,"fagus sylvatica"
"40",8275,94,1977,276,"fagus sylvatica"
"41",8274,94,1977,290,"fagus sylvatica"
"42",8274,97,1977,293,"fagus sylvatica"
"43",8275,97,1977,294,"fagus sylvatica"
"44",8273,11,1978,113,"fagus sylvatica"
"45",8274,11,1978,127,"fagus sylvatica"
"46",8275,11,1978,133,"fagus sylvatica"
"47",8275,94,1978,305,"fagus sylvatica"
"48",8274,97,1978,316,"fagus sylvatica"
"49",8275,97,1978,324,"fagus sylvatica"
"50",8275,11,1979,124,"fagus sylvatica"
"51",8273,11,1979,124,"fagus sylvatica"
"52",8274,11,1979,139,"fagus sylvatica"
"53",8273,97,1979,278,"fagus sylvatica"
"54",8275,94,1979,297,"fagus sylvatica"
"55",8274,94,1979,301,"fagus sylvatica"
"56",8275,97,1979,303,"fagus sylvatica"
"57",8274,97,1979,309,"fagus sylvatica"
"58",8275,11,1980,118,"fagus sylvatica"
"59",8273,11,1980,119,"fagus sylvatica"
"60",8274,11,1980,127,"fagus sylvatica"
"61",8273,97,1980,266,"fagus sylvatica"
"62",8274,97,1980,307,"fagus sylvatica"
"63",8273,11,1981,99,"fagus sylvatica"
"64",8275,11,1981,117,"fagus sylvatica"
"65",8274,11,1981,128,"fagus sylvatica"
"66",8274,97,1981,308,"fagus sylvatica"
"67",8273,11,1982,108,"fagus sylvatica"
"68",8275,11,1982,117,"fagus sylvatica"
"69",8274,11,1982,127,"fagus sylvatica"
"70",8275,97,1982,301,"fagus sylvatica"
"71",8275,94,1982,303,"fagus sylvatica"
"72",8274,97,1982,307,"fagus sylvatica"
"73",8273,11,1983,110,"fagus sylvatica"
"74",8275,11,1983,115,"fagus sylvatica"
"75",8274,11,1983,125,"fagus sylvatica"
"76",8273,97,1983,262,"fagus sylvatica"
"77",8274,94,1983,294,"fagus sylvatica"
"78",8275,94,1983,301,"fagus sylvatica"
"79",8274,97,1983,307,"fagus sylvatica"
"80",8275,97,1983,314,"fagus sylvatica"
"81",8273,11,1984,114,"fagus sylvatica"
"82",8275,11,1984,114,"fagus sylvatica"
"83",8274,11,1984,116,"fagus sylvatica"
