"","PEP_ID","BBCH","YEAR","DAY","species"
"1",8277,97,2007,303,"syringa vulgaris"
"2",8283,97,2007,329,"syringa vulgaris"
"3",8277,11,2008,57,"syringa vulgaris"
"4",8277,97,2008,275,"syringa vulgaris"
"5",8283,97,2008,332,"syringa vulgaris"
"6",8283,11,2009,85,"syringa vulgaris"
"7",8277,11,2009,90,"syringa vulgaris"
"8",8283,60,2009,96,"syringa vulgaris"
"9",8277,97,2009,286,"syringa vulgaris"
"10",8283,97,2009,324,"syringa vulgaris"
"11",8273,11,2010,86,"syringa vulgaris"
"12",8273,11,2011,77,"syringa vulgaris"
"13",8273,60,2011,96,"syringa vulgaris"
"14",8273,95,2011,289,"syringa vulgaris"
"15",8273,11,2012,85,"syringa vulgaris"
"16",8273,95,2012,323,"syringa vulgaris"
"17",8273,11,2013,91,"syringa vulgaris"
"18",8273,95,2013,335,"syringa vulgaris"
