"","PEP_ID","BBCH","YEAR","DAY","species"
"1",7097,11,1971,79,"betula pubescens"
"2",7060,11,1971,104,"betula pubescens"
"3",7095,11,1971,104,"betula pubescens"
"4",7103,11,1971,104,"betula pubescens"
"5",7114,11,1971,104,"betula pubescens"
"6",7049,11,1971,105,"betula pubescens"
"7",7062,11,1971,105,"betula pubescens"
"8",7139,11,1971,105,"betula pubescens"
"9",7114,60,1971,105,"betula pubescens"
"10",7064,11,1971,106,"betula pubescens"
"11",7060,60,1971,106,"betula pubescens"
"12",7103,60,1971,106,"betula pubescens"
"13",7102,11,1971,107,"betula pubescens"
"14",7109,11,1971,107,"betula pubescens"
"15",7063,11,1971,109,"betula pubescens"
"16",7113,11,1971,109,"betula pubescens"
"17",7063,60,1971,109,"betula pubescens"
"18",7055,11,1971,110,"betula pubescens"
"19",7099,11,1971,110,"betula pubescens"
"20",7113,60,1971,110,"betula pubescens"
"21",7053,11,1971,111,"betula pubescens"
"22",7102,60,1971,111,"betula pubescens"
"23",7072,11,1971,112,"betula pubescens"
"24",7077,11,1971,112,"betula pubescens"
"25",7101,11,1971,112,"betula pubescens"
"26",7057,11,1971,113,"betula pubescens"
"27",7058,11,1971,113,"betula pubescens"
"28",7059,11,1971,115,"betula pubescens"
"29",7041,11,1971,120,"betula pubescens"
"30",7116,60,1971,120,"betula pubescens"
"31",7116,11,1971,122,"betula pubescens"
"32",7037,11,1971,126,"betula pubescens"
"33",7110,11,1971,126,"betula pubescens"
"34",7045,11,1971,127,"betula pubescens"
"35",7138,11,1971,127,"betula pubescens"
"36",7039,11,1971,128,"betula pubescens"
"37",7068,11,1971,128,"betula pubescens"
"38",7096,11,1971,128,"betula pubescens"
"39",7041,60,1971,128,"betula pubescens"
"40",7036,11,1971,130,"betula pubescens"
"41",7044,11,1971,136,"betula pubescens"
"42",7043,11,1971,153,"betula pubescens"
"43",7043,94,1971,256,"betula pubescens"
"44",7103,94,1971,268,"betula pubescens"
"45",7102,94,1971,269,"betula pubescens"
"46",7072,94,1971,273,"betula pubescens"
"47",7101,94,1971,274,"betula pubescens"
"48",7057,94,1971,276,"betula pubescens"
"49",7060,94,1971,278,"betula pubescens"
"50",7062,94,1971,278,"betula pubescens"
"51",7096,94,1971,278,"betula pubescens"
"52",7113,94,1971,280,"betula pubescens"
"53",7114,94,1971,282,"betula pubescens"
"54",7044,94,1971,283,"betula pubescens"
"55",7057,97,1971,283,"betula pubescens"
"56",7060,97,1971,285,"betula pubescens"
"57",7063,94,1971,286,"betula pubescens"
"58",7110,94,1971,287,"betula pubescens"
"59",7062,97,1971,287,"betula pubescens"
"60",7099,94,1971,288,"betula pubescens"
"61",7072,97,1971,288,"betula pubescens"
"62",7102,97,1971,288,"betula pubescens"
"63",7103,97,1971,288,"betula pubescens"
"64",7058,94,1971,289,"betula pubescens"
"65",7059,94,1971,290,"betula pubescens"
"66",7139,94,1971,291,"betula pubescens"
"67",7110,97,1971,291,"betula pubescens"
"68",7113,97,1971,292,"betula pubescens"
"69",7077,94,1971,293,"betula pubescens"
"70",7116,94,1971,293,"betula pubescens"
"71",7036,97,1971,293,"betula pubescens"
"72",7096,97,1971,295,"betula pubescens"
"73",7138,94,1971,296,"betula pubescens"
"74",7049,94,1971,298,"betula pubescens"
"75",7058,97,1971,298,"betula pubescens"
"76",7099,97,1971,298,"betula pubescens"
"77",7053,94,1971,300,"betula pubescens"
"78",7109,94,1971,300,"betula pubescens"
"79",7114,97,1971,300,"betula pubescens"
"80",7101,97,1971,301,"betula pubescens"
"81",7116,97,1971,301,"betula pubescens"
"82",7138,97,1971,301,"betula pubescens"
"83",7064,94,1971,303,"betula pubescens"
"84",7139,97,1971,305,"betula pubescens"
"85",7059,97,1971,306,"betula pubescens"
"86",7053,97,1971,312,"betula pubescens"
"87",7063,97,1971,312,"betula pubescens"
"88",7049,97,1971,315,"betula pubescens"
"89",7077,97,1971,316,"betula pubescens"
"90",7044,97,1971,319,"betula pubescens"
"91",7064,97,1971,319,"betula pubescens"
"92",7109,97,1971,319,"betula pubescens"
"93",7110,11,1972,86,"betula pubescens"
"94",7060,11,1972,93,"betula pubescens"
"95",7062,11,1972,94,"betula pubescens"
"96",7102,11,1972,94,"betula pubescens"
"97",7060,60,1972,94,"betula pubescens"
"98",7097,11,1972,95,"betula pubescens"
"99",7103,11,1972,95,"betula pubescens"
"100",7102,60,1972,96,"betula pubescens"
"101",7049,11,1972,97,"betula pubescens"
"102",7053,11,1972,97,"betula pubescens"
"103",7103,60,1972,97,"betula pubescens"
"104",7077,11,1972,98,"betula pubescens"
"105",7095,11,1972,98,"betula pubescens"
"106",7114,60,1972,98,"betula pubescens"
"107",7055,11,1972,99,"betula pubescens"
"108",7114,11,1972,99,"betula pubescens"
"109",7116,60,1972,99,"betula pubescens"
"110",7064,11,1972,100,"betula pubescens"
"111",7063,11,1972,101,"betula pubescens"
"112",7099,11,1972,101,"betula pubescens"
"113",7113,11,1972,101,"betula pubescens"
"114",7113,60,1972,101,"betula pubescens"
"115",7116,11,1972,104,"betula pubescens"
"116",7041,11,1972,105,"betula pubescens"
"117",7109,11,1972,105,"betula pubescens"
"118",7058,11,1972,106,"betula pubescens"
"119",7072,11,1972,114,"betula pubescens"
"120",7059,11,1972,117,"betula pubescens"
"121",7063,60,1972,120,"betula pubescens"
"122",7101,11,1972,121,"betula pubescens"
"123",7045,11,1972,123,"betula pubescens"
"124",7054,11,1972,123,"betula pubescens"
"125",7096,11,1972,123,"betula pubescens"
"126",7072,60,1972,123,"betula pubescens"
"127",7037,11,1972,124,"betula pubescens"
"128",7138,11,1972,124,"betula pubescens"
"129",7039,11,1972,126,"betula pubescens"
"130",7036,11,1972,127,"betula pubescens"
"131",7071,11,1972,129,"betula pubescens"
"132",7138,60,1972,136,"betula pubescens"
"133",7044,11,1972,137,"betula pubescens"
"134",7068,11,1972,144,"betula pubescens"
"135",7043,11,1972,153,"betula pubescens"
"136",7060,94,1972,269,"betula pubescens"
"137",7110,94,1972,272,"betula pubescens"
"138",7113,94,1972,272,"betula pubescens"
"139",7099,94,1972,275,"betula pubescens"
"140",7060,97,1972,277,"betula pubescens"
"141",7114,94,1972,278,"betula pubescens"
"142",7053,94,1972,279,"betula pubescens"
"143",7059,94,1972,281,"betula pubescens"
"144",7096,94,1972,281,"betula pubescens"
"145",7103,94,1972,281,"betula pubescens"
"146",7116,94,1972,281,"betula pubescens"
"147",7062,94,1972,282,"betula pubescens"
"148",7036,94,1972,283,"betula pubescens"
"149",7072,94,1972,283,"betula pubescens"
"150",7102,94,1972,283,"betula pubescens"
"151",7044,94,1972,284,"betula pubescens"
"152",7058,94,1972,284,"betula pubescens"
"153",7039,94,1972,285,"betula pubescens"
"154",7099,97,1972,285,"betula pubescens"
"155",7102,97,1972,285,"betula pubescens"
"156",7063,94,1972,286,"betula pubescens"
"157",7064,94,1972,286,"betula pubescens"
"158",7110,97,1972,287,"betula pubescens"
"159",7113,97,1972,288,"betula pubescens"
"160",7116,97,1972,288,"betula pubescens"
"161",7062,97,1972,289,"betula pubescens"
"162",7114,97,1972,289,"betula pubescens"
"163",7072,97,1972,291,"betula pubescens"
"164",7043,94,1972,292,"betula pubescens"
"165",7049,94,1972,293,"betula pubescens"
"166",7109,94,1972,293,"betula pubescens"
"167",7096,97,1972,293,"betula pubescens"
"168",7103,97,1972,295,"betula pubescens"
"169",7043,97,1972,296,"betula pubescens"
"170",7101,97,1972,296,"betula pubescens"
"171",7036,97,1972,297,"betula pubescens"
"172",7053,97,1972,297,"betula pubescens"
"173",7059,97,1972,298,"betula pubescens"
"174",7058,97,1972,300,"betula pubescens"
"175",7039,97,1972,301,"betula pubescens"
"176",7138,94,1972,302,"betula pubescens"
"177",7064,97,1972,303,"betula pubescens"
"178",7063,97,1972,304,"betula pubescens"
"179",7049,97,1972,307,"betula pubescens"
"180",7109,97,1972,307,"betula pubescens"
"181",7044,97,1972,319,"betula pubescens"
"182",7138,97,1972,319,"betula pubescens"
"183",7097,11,1973,84,"betula pubescens"
"184",7117,11,1973,94,"betula pubescens"
"185",7095,11,1973,100,"betula pubescens"
"186",7102,11,1973,101,"betula pubescens"
"187",7114,60,1973,101,"betula pubescens"
"188",7102,60,1973,102,"betula pubescens"
"189",7060,60,1973,104,"betula pubescens"
