"","PEP_ID","BBCH","YEAR","DAY","species"
"1",7195,60,1960,118,"betula pendula"
"2",7195,10,1960,121,"betula pendula"
"3",7201,10,1960,126,"betula pendula"
"4",8015,60,1960,126,"betula pendula"
"5",7201,60,1960,127,"betula pendula"
"6",8015,10,1960,130,"betula pendula"
"7",8015,94,1960,251,"betula pendula"
"8",8015,97,1960,296,"betula pendula"
"9",8016,60,1961,106,"betula pendula"
"10",7201,10,1961,108,"betula pendula"
"11",7212,10,1961,110,"betula pendula"
"12",7195,10,1961,112,"betula pendula"
"13",8016,10,1961,114,"betula pendula"
"14",7211,10,1961,115,"betula pendula"
"15",7211,60,1961,115,"betula pendula"
"16",7212,60,1961,116,"betula pendula"
"17",8015,60,1961,117,"betula pendula"
"18",8015,10,1961,119,"betula pendula"
"19",7201,60,1961,127,"betula pendula"
"20",7195,60,1961,144,"betula pendula"
"21",7212,94,1961,232,"betula pendula"
"22",8015,94,1961,240,"betula pendula"
"23",8016,94,1961,253,"betula pendula"
"24",7195,94,1961,256,"betula pendula"
"25",7211,94,1961,271,"betula pendula"
"26",7201,94,1961,275,"betula pendula"
"27",8015,97,1961,284,"betula pendula"
"28",7212,97,1961,295,"betula pendula"
"29",7201,97,1961,303,"betula pendula"
"30",7211,97,1961,307,"betula pendula"
"31",8016,97,1961,307,"betula pendula"
"32",7192,10,1962,101,"betula pendula"
"33",7202,10,1962,111,"betula pendula"
"34",7202,60,1962,111,"betula pendula"
"35",7195,10,1962,112,"betula pendula"
"36",7212,10,1962,113,"betula pendula"
"37",8016,10,1962,113,"betula pendula"
"38",7195,60,1962,113,"betula pendula"
"39",8015,10,1962,114,"betula pendula"
"40",8015,60,1962,114,"betula pendula"
"41",7215,60,1962,115,"betula pendula"
"42",7215,10,1962,118,"betula pendula"
"43",7192,60,1962,118,"betula pendula"
"44",8016,60,1962,118,"betula pendula"
"45",7212,60,1962,119,"betula pendula"
"46",7201,10,1962,123,"betula pendula"
"47",7211,60,1962,125,"betula pendula"
"48",7211,10,1962,130,"betula pendula"
"49",7201,60,1962,140,"betula pendula"
"50",7212,94,1962,244,"betula pendula"
"51",8015,94,1962,262,"betula pendula"
"52",7215,94,1962,263,"betula pendula"
"53",8016,94,1962,266,"betula pendula"
