"","PEP_ID","BBCH","YEAR","DAY","species"
"1",8015,60,1960,142,"syringa vulgaris"
"2",7201,60,1960,144,"syringa vulgaris"
"3",8016,60,1960,145,"syringa vulgaris"
"4",7195,60,1960,146,"syringa vulgaris"
"5",7201,60,1961,135,"syringa vulgaris"
"6",8015,60,1961,140,"syringa vulgaris"
"7",7195,60,1961,141,"syringa vulgaris"
"8",7211,60,1961,142,"syringa vulgaris"
"9",7212,60,1961,142,"syringa vulgaris"
"10",8016,60,1961,143,"syringa vulgaris"
"11",7202,60,1962,118,"syringa vulgaris"
"12",7192,60,1962,140,"syringa vulgaris"
"13",8015,60,1962,141,"syringa vulgaris"
"14",8016,60,1962,142,"syringa vulgaris"
"15",7195,60,1962,143,"syringa vulgaris"
"16",7212,60,1962,146,"syringa vulgaris"
"17",7215,60,1962,149,"syringa vulgaris"
"18",7211,60,1962,151,"syringa vulgaris"
"19",7201,60,1962,166,"syringa vulgaris"
"20",8015,60,1963,134,"syringa vulgaris"
"21",7195,60,1963,134,"syringa vulgaris"
"22",7204,60,1963,135,"syringa vulgaris"
"23",8016,60,1963,135,"syringa vulgaris"
"24",7212,60,1963,136,"syringa vulgaris"
"25",7211,60,1963,140,"syringa vulgaris"
"26",7215,60,1963,140,"syringa vulgaris"
"27",7202,60,1963,140,"syringa vulgaris"
"28",7201,60,1963,148,"syringa vulgaris"
"29",7201,60,1964,144,"syringa vulgaris"
"30",7204,60,1964,145,"syringa vulgaris"
"31",7212,60,1964,146,"syringa vulgaris"
"32",7195,60,1964,147,"syringa vulgaris"
"33",8016,60,1964,147,"syringa vulgaris"
"34",7208,60,1964,147,"syringa vulgaris"
"35",7202,60,1964,147,"syringa vulgaris"
"36",8015,60,1964,147,"syringa vulgaris"
"37",7211,60,1964,150,"syringa vulgaris"
"38",7212,60,1965,150,"syringa vulgaris"
"39",8016,60,1965,155,"syringa vulgaris"
"40",7201,60,1965,155,"syringa vulgaris"
"41",7202,60,1965,155,"syringa vulgaris"
"42",8015,60,1965,155,"syringa vulgaris"
"43",7204,60,1965,155,"syringa vulgaris"
"44",7195,60,1965,156,"syringa vulgaris"
"45",7208,60,1965,159,"syringa vulgaris"
"46",7211,60,1965,159,"syringa vulgaris"
"47",8015,60,1966,134,"syringa vulgaris"
"48",7195,60,1966,135,"syringa vulgaris"
"49",7201,60,1966,135,"syringa vulgaris"
"50",7212,60,1966,139,"syringa vulgaris"
"51",8016,60,1966,140,"syringa vulgaris"
"52",7208,60,1966,140,"syringa vulgaris"
"53",7202,60,1966,140,"syringa vulgaris"
"54",7204,60,1966,140,"syringa vulgaris"
"55",7211,60,1966,143,"syringa vulgaris"
"56",7212,60,1967,132,"syringa vulgaris"
"57",8016,60,1967,134,"syringa vulgaris"
"58",8015,60,1967,134,"syringa vulgaris"
"59",7191,60,1967,136,"syringa vulgaris"
"60",7201,60,1967,138,"syringa vulgaris"
"61",7208,60,1967,138,"syringa vulgaris"
"62",7211,60,1967,139,"syringa vulgaris"
"63",7202,60,1967,140,"syringa vulgaris"
"64",7193,60,1967,142,"syringa vulgaris"
"65",7205,60,1967,142,"syringa vulgaris"
"66",7195,60,1967,147,"syringa vulgaris"
"67",7192,60,1968,126,"syringa vulgaris"
"68",8016,60,1968,129,"syringa vulgaris"
"69",7193,60,1968,132,"syringa vulgaris"
"70",7195,60,1968,132,"syringa vulgaris"
"71",7212,60,1968,132,"syringa vulgaris"
"72",7204,60,1968,132,"syringa vulgaris"
"73",8015,60,1968,133,"syringa vulgaris"
"74",7201,60,1968,134,"syringa vulgaris"
"75",7208,60,1968,135,"syringa vulgaris"
