"","PEP_ID","BBCH","YEAR","DAY","species"
"1",20452,11,1954,105,"betula pendula"
"2",20452,60,1954,112,"betula pendula"
"3",20452,65,1954,117,"betula pendula"
"4",20450,11,1957,119,"betula pendula"
"5",20449,11,1958,94,"betula pendula"
"6",20451,11,1958,123,"betula pendula"
"7",20449,11,1959,66,"betula pendula"
"8",20449,11,1960,95,"betula pendula"
"9",20449,11,1962,109,"betula pendula"
"10",20449,60,1962,125,"betula pendula"
"11",20451,94,1962,262,"betula pendula"
"12",20449,60,1963,94,"betula pendula"
"13",20449,11,1963,110,"betula pendula"
"14",20451,60,1963,111,"betula pendula"
"15",20451,11,1963,123,"betula pendula"
"16",20449,94,1963,290,"betula pendula"
"17",20449,95,1963,307,"betula pendula"
"18",20449,11,1964,109,"betula pendula"
"19",20449,60,1964,121,"betula pendula"
"20",20451,11,1964,128,"betula pendula"
"21",20451,94,1964,254,"betula pendula"
"22",20449,94,1964,284,"betula pendula"
"23",20449,95,1964,311,"betula pendula"
"24",20451,95,1964,311,"betula pendula"
"25",20449,60,1965,107,"betula pendula"
"26",20449,11,1965,112,"betula pendula"
"27",20449,60,1966,103,"betula pendula"
"28",20449,11,1966,108,"betula pendula"
"29",20451,60,1966,118,"betula pendula"
"30",20451,11,1966,121,"betula pendula"
"31",20451,94,1966,277,"betula pendula"
"32",20449,94,1966,297,"betula pendula"
"33",20451,95,1966,302,"betula pendula"
"34",20449,95,1966,313,"betula pendula"
"35",20449,60,1967,99,"betula pendula"
"36",20449,11,1967,103,"betula pendula"
"37",20449,60,1968,100,"betula pendula"
"38",20449,11,1968,105,"betula pendula"
"39",20451,60,1968,112,"betula pendula"
"40",20451,11,1968,122,"betula pendula"
"41",20449,94,1968,286,"betula pendula"
"42",20451,94,1968,288,"betula pendula"
"43",20449,95,1968,298,"betula pendula"
"44",20451,95,1968,311,"betula pendula"
"45",20449,60,1969,104,"betula pendula"
"46",20449,11,1969,115,"betula pendula"
"47",20451,11,1969,118,"betula pendula"
"48",20451,60,1969,120,"betula pendula"
"49",20449,94,1969,286,"betula pendula"
"50",20449,60,1970,107,"betula pendula"
"51",20449,11,1970,114,"betula pendula"
"52",20451,11,1970,125,"betula pendula"
"53",20451,60,1970,127,"betula pendula"
"54",20449,60,1971,107,"betula pendula"
"55",20449,11,1971,113,"betula pendula"
"56",20452,94,1971,284,"betula pendula"
"57",20452,95,1971,295,"betula pendula"
"58",20449,94,1971,318,"betula pendula"
"59",20449,95,1971,327,"betula pendula"
"60",20449,60,1972,87,"betula pendula"
"61",20449,11,1972,97,"betula pendula"
"62",20449,94,1972,269,"betula pendula"
"63",20449,95,1972,283,"betula pendula"
"64",20449,60,1973,109,"betula pendula"
"65",20449,11,1973,120,"betula pendula"
"66",20449,94,1973,289,"betula pendula"
"67",20449,95,1973,305,"betula pendula"
"68",20449,11,1974,93,"betula pendula"
"69",20449,86,1974,264,"betula pendula"
"70",20449,60,1975,90,"betula pendula"
"71",20449,11,1975,107,"betula pendula"
"72",20451,11,1975,109,"betula pendula"
"73",20452,11,1975,114,"betula pendula"
"74",20451,60,1975,129,"betula pendula"
"75",20451,60,1976,125,"betula pendula"
"76",20451,11,1976,126,"betula pendula"
"77",20451,94,1976,279,"betula pendula"
"78",20452,94,1976,294,"betula pendula"
"79",20451,95,1976,309,"betula pendula"
"80",20452,95,1976,310,"betula pendula"
"81",20450,60,1977,69,"betula pendula"
"82",20450,11,1977,73,"betula pendula"
"83",20451,60,1977,93,"betula pendula"
"84",20451,11,1977,98,"betula pendula"
"85",20452,60,1977,99,"betula pendula"
"86",20452,11,1977,108,"betula pendula"
"87",20452,94,1977,263,"betula pendula"
"88",20452,95,1977,276,"betula pendula"
"89",20451,94,1977,287,"betula pendula"
"90",20451,95,1977,308,"betula pendula"
"91",20449,60,1978,97,"betula pendula"
"92",20452,60,1978,102,"betula pendula"
"93",20449,11,1978,106,"betula pendula"
"94",20452,11,1978,109,"betula pendula"
"95",20451,60,1978,114,"betula pendula"
"96",20451,11,1978,120,"betula pendula"
"97",20451,94,1978,285,"betula pendula"
"98",20449,94,1978,296,"betula pendula"
