"","PEP_ID","BBCH","YEAR","DAY","species"
"1",20451,86,1951,287,"fagus sylvatica"
"2",20451,95,1951,308,"fagus sylvatica"
"3",20452,11,1954,111,"fagus sylvatica"
"4",20452,60,1954,138,"fagus sylvatica"
"5",20452,65,1954,146,"fagus sylvatica"
"6",20452,11,1955,103,"fagus sylvatica"
"7",20452,65,1955,117,"fagus sylvatica"
"8",20451,11,1955,118,"fagus sylvatica"
"9",20451,86,1955,252,"fagus sylvatica"
"10",20452,86,1955,279,"fagus sylvatica"
"11",20452,95,1955,298,"fagus sylvatica"
"12",20451,95,1955,306,"fagus sylvatica"
"13",20449,11,1956,111,"fagus sylvatica"
"14",20451,11,1956,130,"fagus sylvatica"
"15",20451,11,1958,126,"fagus sylvatica"
"16",20449,11,1959,134,"fagus sylvatica"
"17",20451,94,1962,272,"fagus sylvatica"
"18",20451,95,1962,318,"fagus sylvatica"
"19",20451,11,1963,109,"fagus sylvatica"
"20",20449,11,1963,120,"fagus sylvatica"
"21",20449,60,1963,129,"fagus sylvatica"
"22",20452,94,1963,283,"fagus sylvatica"
"23",20449,94,1963,290,"fagus sylvatica"
"24",20452,95,1963,306,"fagus sylvatica"
"25",20449,95,1963,309,"fagus sylvatica"
"26",20452,11,1964,110,"fagus sylvatica"
"27",20451,11,1964,113,"fagus sylvatica"
"28",20451,94,1964,254,"fagus sylvatica"
"29",20452,94,1964,283,"fagus sylvatica"
"30",20452,95,1964,297,"fagus sylvatica"
"31",20451,95,1964,299,"fagus sylvatica"
"32",20451,11,1965,124,"fagus sylvatica"
"33",20452,11,1965,127,"fagus sylvatica"
"34",20452,60,1965,133,"fagus sylvatica"
"35",20451,94,1965,267,"fagus sylvatica"
"36",20452,94,1965,281,"fagus sylvatica"
"37",20452,95,1965,304,"fagus sylvatica"
"38",20451,95,1965,304,"fagus sylvatica"
"39",20452,11,1966,101,"fagus sylvatica"
"40",20452,60,1966,107,"fagus sylvatica"
"41",20451,11,1966,113,"fagus sylvatica"
"42",20451,94,1966,274,"fagus sylvatica"
"43",20452,94,1966,279,"fagus sylvatica"
"44",20451,95,1966,311,"fagus sylvatica"
"45",20452,95,1966,313,"fagus sylvatica"
"46",20452,11,1967,98,"fagus sylvatica"
"47",20452,60,1967,109,"fagus sylvatica"
"48",20452,11,1968,104,"fagus sylvatica"
"49",20452,60,1968,111,"fagus sylvatica"
"50",20451,11,1968,115,"fagus sylvatica"
"51",20451,94,1968,272,"fagus sylvatica"
"52",20452,94,1968,276,"fagus sylvatica"
"53",20452,95,1968,304,"fagus sylvatica"
"54",20451,95,1968,310,"fagus sylvatica"
"55",20452,11,1969,115,"fagus sylvatica"
"56",20451,11,1969,117,"fagus sylvatica"
"57",20452,94,1969,278,"fagus sylvatica"
"58",20452,95,1969,301,"fagus sylvatica"
"59",20452,11,1970,113,"fagus sylvatica"
"60",20452,60,1970,123,"fagus sylvatica"
"61",20451,11,1970,124,"fagus sylvatica"
"62",20452,94,1970,280,"fagus sylvatica"
"63",20452,95,1970,298,"fagus sylvatica"
"64",20452,11,1971,114,"fagus sylvatica"
"65",20452,60,1971,125,"fagus sylvatica"
"66",20452,94,1971,283,"fagus sylvatica"
"67",20452,95,1971,297,"fagus sylvatica"
"68",20452,11,1972,107,"fagus sylvatica"
"69",20452,94,1972,287,"fagus sylvatica"
"70",20452,95,1972,304,"fagus sylvatica"
"71",20452,11,1973,106,"fagus sylvatica"
"72",20451,11,1973,120,"fagus sylvatica"
"73",20451,94,1973,257,"fagus sylvatica"
"74",20452,94,1973,282,"fagus sylvatica"
"75",20451,95,1973,292,"fagus sylvatica"
"76",20452,95,1973,300,"fagus sylvatica"
"77",20452,11,1974,72,"fagus sylvatica"
"78",20452,94,1974,284,"fagus sylvatica"
"79",20452,95,1974,301,"fagus sylvatica"
"80",20452,11,1975,113,"fagus sylvatica"
"81",20451,11,1975,114,"fagus sylvatica"
"82",20452,60,1975,120,"fagus sylvatica"
"83",20452,94,1975,259,"fagus sylvatica"
"84",20452,95,1975,282,"fagus sylvatica"
"85",20451,11,1976,125,"fagus sylvatica"
"86",20451,94,1976,277,"fagus sylvatica"
"87",20452,94,1976,289,"fagus sylvatica"
"88",20452,95,1976,304,"fagus sylvatica"
"89",20451,95,1976,305,"fagus sylvatica"
"90",20452,11,1977,109,"fagus sylvatica"
"91",20451,11,1977,112,"fagus sylvatica"
"92",20451,94,1977,262,"fagus sylvatica"
"93",20452,94,1977,279,"fagus sylvatica"
"94",20451,95,1977,292,"fagus sylvatica"
"95",20452,95,1977,298,"fagus sylvatica"
"96",20452,11,1978,114,"fagus sylvatica"
"97",20451,11,1978,116,"fagus sylvatica"
"98",20452,94,1978,280,"fagus sylvatica"
"99",20451,94,1978,283,"fagus sylvatica"
"100",20452,95,1978,303,"fagus sylvatica"
"101",20451,11,1979,121,"fagus sylvatica"
"102",20451,94,1979,262,"fagus sylvatica"
"103",20451,95,1979,285,"fagus sylvatica"
"104",20451,11,1983,115,"fagus sylvatica"
"105",20451,60,1983,195,"fagus sylvatica"
"106",20451,94,1983,262,"fagus sylvatica"
"107",20451,95,1983,282,"fagus sylvatica"
"108",20451,11,1985,114,"fagus sylvatica"
"109",20451,60,1985,128,"fagus sylvatica"
"110",20451,86,1985,259,"fagus sylvatica"
"111",20451,94,1985,270,"fagus sylvatica"
"112",20451,95,1985,297,"fagus sylvatica"
"113",20449,11,1986,104,"fagus sylvatica"
"114",20451,11,1986,105,"fagus sylvatica"
"115",20451,60,1986,140,"fagus sylvatica"
"116",20451,95,1986,268,"fagus sylvatica"
"117",20451,11,1987,123,"fagus sylvatica"
"118",20451,94,1987,252,"fagus sylvatica"
"119",20451,95,1987,304,"fagus sylvatica"
"120",20450,11,1988,97,"fagus sylvatica"
"121",20452,11,1988,127,"fagus sylvatica"
"122",20452,94,1988,299,"fagus sylvatica"
"123",20450,94,1988,303,"fagus sylvatica"
"124",20452,95,1988,319,"fagus sylvatica"
"125",20451,11,1989,112,"fagus sylvatica"
"126",20452,11,1989,113,"fagus sylvatica"
"127",20452,94,1989,267,"fagus sylvatica"
"128",20451,94,1989,277,"fagus sylvatica"
"129",20451,95,1989,306,"fagus sylvatica"
"130",20452,95,1989,307,"fagus sylvatica"
"131",20452,11,1990,114,"fagus sylvatica"
"132",20451,11,1990,118,"fagus sylvatica"
"133",20452,94,1990,257,"fagus sylvatica"
"134",20451,94,1990,268,"fagus sylvatica"
"135",20451,95,1990,318,"fagus sylvatica"
"136",20452,95,1990,323,"fagus sylvatica"
"137",20451,11,1993,127,"fagus sylvatica"
"138",20451,60,1993,144,"fagus sylvatica"
"139",20451,86,2001,262,"fagus sylvatica"
"140",20451,94,2001,282,"fagus sylvatica"
"141",20451,11,2002,120,"fagus sylvatica"
"142",20451,94,2002,282,"fagus sylvatica"
"143",20451,95,2002,292,"fagus sylvatica"
"144",20451,11,2004,116,"fagus sylvatica"
"145",20451,60,2004,121,"fagus sylvatica"
"146",20451,94,2004,284,"fagus sylvatica"
"147",20451,95,2004,294,"fagus sylvatica"
"148",20451,11,2005,114,"fagus sylvatica"
"149",20451,60,2005,119,"fagus sylvatica"
"150",20451,94,2005,282,"fagus sylvatica"
"151",20451,95,2005,291,"fagus sylvatica"
"152",20452,11,2006,109,"fagus sylvatica"
"153",20451,11,2006,114,"fagus sylvatica"
"154",20451,60,2006,119,"fagus sylvatica"
"155",20449,11,2006,124,"fagus sylvatica"
"156",20449,94,2006,277,"fagus sylvatica"
"157",20451,94,2006,282,"fagus sylvatica"
"158",20449,95,2006,287,"fagus sylvatica"
"159",20452,94,2006,292,"fagus sylvatica"
"160",20451,95,2006,292,"fagus sylvatica"
"161",20452,95,2006,297,"fagus sylvatica"
"162",20451,11,2007,104,"fagus sylvatica"
"163",20451,60,2007,109,"fagus sylvatica"
"164",20450,11,2008,97,"fagus sylvatica"
"165",20452,11,2008,101,"fagus sylvatica"
"166",20451,11,2008,106,"fagus sylvatica"
"167",20451,60,2008,116,"fagus sylvatica"
"168",20449,11,2008,121,"fagus sylvatica"
"169",20449,60,2008,130,"fagus sylvatica"
"170",20451,94,2008,280,"fagus sylvatica"
"171",20452,94,2008,289,"fagus sylvatica"
"172",20449,94,2008,290,"fagus sylvatica"
"173",20450,94,2008,300,"fagus sylvatica"
"174",20449,95,2008,310,"fagus sylvatica"
"175",20452,95,2008,315,"fagus sylvatica"
"176",20452,11,2009,104,"fagus sylvatica"
"177",20451,11,2009,114,"fagus sylvatica"
"178",20451,60,2009,119,"fagus sylvatica"
"179",20451,94,2009,282,"fagus sylvatica"
"180",20451,95,2009,291,"fagus sylvatica"
"181",20452,94,2009,292,"fagus sylvatica"
"182",20452,95,2009,308,"fagus sylvatica"
"183",20452,11,2010,114,"fagus sylvatica"
"184",20451,11,2010,121,"fagus sylvatica"
"185",20449,94,2010,282,"fagus sylvatica"
"186",20452,94,2010,292,"fagus sylvatica"
"187",20451,94,2010,292,"fagus sylvatica"
"188",20452,95,2010,297,"fagus sylvatica"
"189",20449,95,2010,297,"fagus sylvatica"
"190",20451,95,2010,323,"fagus sylvatica"
"191",20452,11,2011,108,"fagus sylvatica"
