"","PEP_ID","BBCH","YEAR","DAY","species"
"1",20451,86,1951,190,"Syringa vulgaris"
"2",20449,11,1953,72,"Syringa vulgaris"
"3",20449,60,1953,77,"Syringa vulgaris"
"4",20449,65,1953,89,"Syringa vulgaris"
"5",20452,11,1954,101,"Syringa vulgaris"
"6",20452,60,1954,128,"Syringa vulgaris"
"7",20451,11,1954,129,"Syringa vulgaris"
"8",20452,65,1954,137,"Syringa vulgaris"
"9",20451,60,1954,148,"Syringa vulgaris"
"10",20451,65,1954,153,"Syringa vulgaris"
"11",20449,11,1955,77,"Syringa vulgaris"
"12",20452,11,1955,91,"Syringa vulgaris"
"13",20452,60,1955,117,"Syringa vulgaris"
"14",20452,65,1955,125,"Syringa vulgaris"
"15",20449,11,1956,99,"Syringa vulgaris"
"16",20450,11,1956,105,"Syringa vulgaris"
"17",20449,60,1956,109,"Syringa vulgaris"
"18",20450,60,1956,113,"Syringa vulgaris"
"19",20449,65,1956,116,"Syringa vulgaris"
"20",20450,65,1956,121,"Syringa vulgaris"
"21",20451,11,1956,130,"Syringa vulgaris"
"22",20450,11,1957,76,"Syringa vulgaris"
"23",20449,11,1957,76,"Syringa vulgaris"
"24",20450,60,1957,111,"Syringa vulgaris"
"25",20449,60,1957,111,"Syringa vulgaris"
"26",20450,65,1957,117,"Syringa vulgaris"
"27",20449,65,1957,117,"Syringa vulgaris"
"28",20450,60,1958,103,"Syringa vulgaris"
"29",20449,11,1958,112,"Syringa vulgaris"
"30",20450,65,1958,120,"Syringa vulgaris"
"31",20449,60,1958,121,"Syringa vulgaris"
"32",20451,11,1958,122,"Syringa vulgaris"
"33",20449,65,1958,126,"Syringa vulgaris"
"34",20451,60,1958,135,"Syringa vulgaris"
"35",20451,65,1958,142,"Syringa vulgaris"
"36",20449,11,1959,83,"Syringa vulgaris"
"37",20450,60,1959,91,"Syringa vulgaris"
"38",20450,65,1959,95,"Syringa vulgaris"
"39",20449,60,1959,104,"Syringa vulgaris"
"40",20449,65,1959,111,"Syringa vulgaris"
"41",20450,11,1959,119,"Syringa vulgaris"
"42",20449,11,1960,77,"Syringa vulgaris"
"43",20450,11,1960,81,"Syringa vulgaris"
"44",20449,60,1960,116,"Syringa vulgaris"
"45",20449,65,1960,120,"Syringa vulgaris"
"46",20451,65,1960,153,"Syringa vulgaris"
"47",20450,60,1961,79,"Syringa vulgaris"
"48",20450,65,1961,86,"Syringa vulgaris"
"49",20449,60,1961,95,"Syringa vulgaris"
"50",20449,60,1962,123,"Syringa vulgaris"
"51",20449,65,1962,131,"Syringa vulgaris"
"52",20450,60,1963,99,"Syringa vulgaris"
"53",20450,65,1963,104,"Syringa vulgaris"
"54",20449,60,1963,120,"Syringa vulgaris"
"55",20449,65,1963,126,"Syringa vulgaris"
"56",20451,60,1963,132,"Syringa vulgaris"
"57",20451,65,1963,137,"Syringa vulgaris"
"58",20452,60,1964,113,"Syringa vulgaris"
"59",20452,65,1964,117,"Syringa vulgaris"
"60",20449,60,1964,125,"Syringa vulgaris"
"61",20449,65,1964,129,"Syringa vulgaris"
"62",20451,60,1964,139,"Syringa vulgaris"
"63",20451,65,1964,141,"Syringa vulgaris"
"64",20450,60,1965,99,"Syringa vulgaris"
"65",20452,60,1965,121,"Syringa vulgaris"
"66",20452,65,1965,130,"Syringa vulgaris"
"67",20449,60,1965,133,"Syringa vulgaris"
"68",20449,65,1965,140,"Syringa vulgaris"
"69",20451,60,1965,145,"Syringa vulgaris"
"70",20451,65,1965,147,"Syringa vulgaris"
"71",20452,60,1966,105,"Syringa vulgaris"
"72",20452,65,1966,110,"Syringa vulgaris"
"73",20449,60,1966,121,"Syringa vulgaris"
"74",20449,65,1966,127,"Syringa vulgaris"
"75",20451,60,1966,137,"Syringa vulgaris"
"76",20451,65,1966,141,"Syringa vulgaris"
"77",20449,60,1967,125,"Syringa vulgaris"
"78",20449,65,1967,129,"Syringa vulgaris"
"79",20449,60,1968,114,"Syringa vulgaris"
"80",20451,60,1968,120,"Syringa vulgaris"
"81",20449,65,1968,121,"Syringa vulgaris"
"82",20451,65,1968,126,"Syringa vulgaris"
"83",20452,60,1969,116,"Syringa vulgaris"
"84",20452,65,1969,120,"Syringa vulgaris"
"85",20449,60,1969,122,"Syringa vulgaris"
"86",20451,60,1969,129,"Syringa vulgaris"
"87",20449,65,1969,129,"Syringa vulgaris"
"88",20451,65,1969,139,"Syringa vulgaris"
"89",20450,60,1970,109,"Syringa vulgaris"
"90",20450,65,1970,114,"Syringa vulgaris"
"91",20452,60,1970,118,"Syringa vulgaris"
"92",20452,65,1970,122,"Syringa vulgaris"
"93",20449,60,1970,129,"Syringa vulgaris"
"94",20449,65,1970,134,"Syringa vulgaris"
"95",20451,60,1970,143,"Syringa vulgaris"
"96",20450,60,1971,83,"Syringa vulgaris"
"97",20450,65,1971,89,"Syringa vulgaris"
"98",20452,60,1971,116,"Syringa vulgaris"
"99",20452,65,1971,123,"Syringa vulgaris"
"100",20449,60,1971,127,"Syringa vulgaris"
"101",20449,65,1971,131,"Syringa vulgaris"
"102",20450,60,1972,88,"Syringa vulgaris"
"103",20449,60,1972,113,"Syringa vulgaris"
"104",20452,60,1972,115,"Syringa vulgaris"
"105",20449,65,1972,119,"Syringa vulgaris"
"106",20452,65,1972,119,"Syringa vulgaris"
"107",20452,60,1973,109,"Syringa vulgaris"
"108",20452,65,1973,114,"Syringa vulgaris"
"109",20449,60,1973,128,"Syringa vulgaris"
"110",20451,60,1973,134,"Syringa vulgaris"
"111",20449,65,1973,134,"Syringa vulgaris"
"112",20451,65,1973,139,"Syringa vulgaris"
"113",20449,60,1974,127,"Syringa vulgaris"
"114",20449,65,1974,133,"Syringa vulgaris"
"115",20452,60,1975,120,"Syringa vulgaris"
"116",20449,60,1975,124,"Syringa vulgaris"
"117",20449,65,1975,128,"Syringa vulgaris"
"118",20451,60,1975,131,"Syringa vulgaris"
"119",20451,65,1975,135,"Syringa vulgaris"
"120",20452,65,1975,135,"Syringa vulgaris"
"121",20450,60,1976,99,"Syringa vulgaris"
"122",20450,65,1976,103,"Syringa vulgaris"
"123",20451,60,1976,140,"Syringa vulgaris"
"124",20451,65,1976,146,"Syringa vulgaris"
"125",20449,60,1977,107,"Syringa vulgaris"
"126",20449,65,1977,115,"Syringa vulgaris"
"127",20451,60,1977,128,"Syringa vulgaris"
"128",20451,65,1977,134,"Syringa vulgaris"
"129",20450,60,1978,94,"Syringa vulgaris"
"130",20450,65,1978,99,"Syringa vulgaris"
"131",20452,60,1978,112,"Syringa vulgaris"
"132",20449,60,1978,124,"Syringa vulgaris"
"133",20452,65,1978,129,"Syringa vulgaris"
"134",20451,60,1978,134,"Syringa vulgaris"
"135",20449,65,1978,138,"Syringa vulgaris"
"136",20451,65,1978,140,"Syringa vulgaris"
"137",20452,60,1979,117,"Syringa vulgaris"
"138",20452,65,1979,131,"Syringa vulgaris"
"139",20449,60,1979,134,"Syringa vulgaris"
"140",20449,65,1979,138,"Syringa vulgaris"
"141",20451,60,1979,139,"Syringa vulgaris"
"142",20451,65,1979,143,"Syringa vulgaris"
"143",20450,60,1981,91,"Syringa vulgaris"
"144",20449,11,1981,96,"Syringa vulgaris"
"145",20450,65,1981,103,"Syringa vulgaris"
"146",20449,60,1981,112,"Syringa vulgaris"
"147",20452,60,1981,113,"Syringa vulgaris"
"148",20449,65,1981,116,"Syringa vulgaris"
"149",20452,65,1981,124,"Syringa vulgaris"
"150",20449,60,1982,124,"Syringa vulgaris"
"151",20449,65,1982,132,"Syringa vulgaris"
"152",20451,11,1983,117,"Syringa vulgaris"
"153",20451,60,1983,136,"Syringa vulgaris"
"154",20451,65,1983,146,"Syringa vulgaris"
"155",20450,11,1984,89,"Syringa vulgaris"
"156",20450,60,1984,110,"Syringa vulgaris"
"157",20449,11,1984,111,"Syringa vulgaris"
"158",20451,11,1984,122,"Syringa vulgaris"
"159",20450,65,1984,123,"Syringa vulgaris"
"160",20449,60,1984,133,"Syringa vulgaris"
"161",20449,65,1984,139,"Syringa vulgaris"
"162",20451,60,1984,143,"Syringa vulgaris"
"163",20451,65,1984,148,"Syringa vulgaris"
"164",20449,11,1985,116,"Syringa vulgaris"
"165",20451,11,1985,116,"Syringa vulgaris"
"166",20449,60,1985,124,"Syringa vulgaris"
"167",20451,60,1985,135,"Syringa vulgaris"
"168",20449,65,1985,135,"Syringa vulgaris"
"169",20449,11,1987,105,"Syringa vulgaris"
"170",20449,60,1987,124,"Syringa vulgaris"
"171",20451,11,1987,127,"Syringa vulgaris"
"172",20449,65,1987,135,"Syringa vulgaris"
"173",20451,60,1987,147,"Syringa vulgaris"
"174",20451,65,1987,155,"Syringa vulgaris"
"175",20449,11,1988,100,"Syringa vulgaris"
"176",20449,60,1988,119,"Syringa vulgaris"
"177",20449,65,1988,127,"Syringa vulgaris"
"178",20450,11,1989,78,"Syringa vulgaris"
"179",20452,11,1989,91,"Syringa vulgaris"
"180",20450,60,1989,94,"Syringa vulgaris"
"181",20452,60,1989,99,"Syringa vulgaris"
"182",20450,65,1989,108,"Syringa vulgaris"
"183",20451,11,1989,109,"Syringa vulgaris"
"184",20452,65,1989,116,"Syringa vulgaris"
