"","PEP_ID","BBCH","YEAR","DAY","species"
"1",20586,65,1961,100,"syringa vulgaris"
"2",20585,60,1961,102,"syringa vulgaris"
"3",20583,60,1961,105,"syringa vulgaris"
"4",20582,60,1961,109,"syringa vulgaris"
"5",20583,65,1961,110,"syringa vulgaris"
"6",20585,65,1961,112,"syringa vulgaris"
"7",20582,65,1961,119,"syringa vulgaris"
"8",20586,60,1962,105,"syringa vulgaris"
"9",20586,65,1962,115,"syringa vulgaris"
"10",20585,60,1962,117,"syringa vulgaris"
"11",20583,60,1962,118,"syringa vulgaris"
"12",20585,65,1962,122,"syringa vulgaris"
"13",20583,65,1962,123,"syringa vulgaris"
"14",20582,60,1962,125,"syringa vulgaris"
"15",20582,65,1962,128,"syringa vulgaris"
"16",20583,60,1963,115,"syringa vulgaris"
"17",20582,60,1963,123,"syringa vulgaris"
"18",20583,65,1963,125,"syringa vulgaris"
"19",20582,65,1963,128,"syringa vulgaris"
"20",20586,60,1964,111,"syringa vulgaris"
"21",20583,60,1964,112,"syringa vulgaris"
"22",20585,60,1964,113,"syringa vulgaris"
"23",20586,65,1964,116,"syringa vulgaris"
"24",20582,60,1964,118,"syringa vulgaris"
"25",20585,65,1964,120,"syringa vulgaris"
"26",20582,65,1964,123,"syringa vulgaris"
"27",20583,65,1964,125,"syringa vulgaris"
"28",20583,60,1965,118,"syringa vulgaris"
"29",20582,60,1965,128,"syringa vulgaris"
"30",20583,65,1965,132,"syringa vulgaris"
"31",20582,65,1965,132,"syringa vulgaris"
"32",20585,60,1966,110,"syringa vulgaris"
"33",20583,60,1966,110,"syringa vulgaris"
"34",20583,65,1966,115,"syringa vulgaris"
"35",20585,65,1966,117,"syringa vulgaris"
"36",20582,60,1966,118,"syringa vulgaris"
"37",20582,65,1966,123,"syringa vulgaris"
"38",20585,65,1967,108,"syringa vulgaris"
"39",20583,60,1967,118,"syringa vulgaris"
"40",20582,60,1967,121,"syringa vulgaris"
"41",20583,65,1967,123,"syringa vulgaris"
"42",20582,65,1967,125,"syringa vulgaris"
"43",20584,60,1968,93,"syringa vulgaris"
"44",20586,60,1968,97,"syringa vulgaris"
"45",20584,65,1968,101,"syringa vulgaris"
"46",20586,65,1968,105,"syringa vulgaris"
"47",20585,60,1968,106,"syringa vulgaris"
"48",20583,60,1968,108,"syringa vulgaris"
"49",20585,65,1968,112,"syringa vulgaris"
"50",20582,60,1968,116,"syringa vulgaris"
"51",20583,65,1968,117,"syringa vulgaris"
"52",20582,65,1968,120,"syringa vulgaris"
"53",20584,60,1969,95,"syringa vulgaris"
"54",20584,65,1969,109,"syringa vulgaris"
"55",20583,60,1969,116,"syringa vulgaris"
"56",20585,60,1969,120,"syringa vulgaris"
"57",20585,65,1969,124,"syringa vulgaris"
"58",20583,65,1969,125,"syringa vulgaris"
"59",20582,60,1969,126,"syringa vulgaris"
"60",20582,65,1969,128,"syringa vulgaris"
"61",20583,60,1970,112,"syringa vulgaris"
"62",20585,60,1970,112,"syringa vulgaris"
"63",20585,65,1970,116,"syringa vulgaris"
"64",20582,60,1970,117,"syringa vulgaris"
"65",20583,65,1970,120,"syringa vulgaris"
"66",20582,65,1970,121,"syringa vulgaris"
"67",20586,60,1971,115,"syringa vulgaris"
"68",20583,60,1971,117,"syringa vulgaris"
"69",20586,65,1971,118,"syringa vulgaris"
"70",20585,60,1971,119,"syringa vulgaris"
"71",20582,60,1971,122,"syringa vulgaris"
"72",20583,65,1971,125,"syringa vulgaris"
"73",20582,65,1971,126,"syringa vulgaris"
"74",20584,60,1972,95,"syringa vulgaris"
"75",20585,60,1972,98,"syringa vulgaris"
"76",20585,65,1972,103,"syringa vulgaris"
