"","PEP_ID","BBCH","YEAR","DAY","species"
"1",7954,11,1894,87,"betula pendula"
"2",7954,60,1894,87,"betula pendula"
"3",7492,60,1894,92,"betula pendula"
"4",7548,11,1894,93,"betula pendula"
"5",7641,11,1894,94,"betula pendula"
"6",7814,60,1894,95,"betula pendula"
"7",7492,11,1894,96,"betula pendula"
"8",7499,60,1894,96,"betula pendula"
"9",7814,11,1894,97,"betula pendula"
"10",8007,11,1894,97,"betula pendula"
"11",7641,60,1894,97,"betula pendula"
"12",7482,11,1894,98,"betula pendula"
"13",7635,11,1894,98,"betula pendula"
"14",7899,11,1894,98,"betula pendula"
"15",7515,11,1894,98,"betula pendula"
"16",7742,11,1894,98,"betula pendula"
"17",7857,11,1894,98,"betula pendula"
"18",7515,60,1894,98,"betula pendula"
"19",7548,60,1894,98,"betula pendula"
"20",8000,11,1894,99,"betula pendula"
"21",7499,11,1894,99,"betula pendula"
"22",7577,11,1894,100,"betula pendula"
"23",7635,60,1894,101,"betula pendula"
"24",7867,11,1894,102,"betula pendula"
"25",7720,11,1894,103,"betula pendula"
"26",7573,11,1894,104,"betula pendula"
"27",7922,11,1894,104,"betula pendula"
"28",7956,11,1894,105,"betula pendula"
"29",7857,60,1894,105,"betula pendula"
"30",7899,60,1894,106,"betula pendula"
"31",7867,60,1894,110,"betula pendula"
"32",8000,94,1894,253,"betula pendula"
"33",7867,94,1894,268,"betula pendula"
"34",8007,94,1894,269,"betula pendula"
"35",7742,94,1894,270,"betula pendula"
"36",7720,94,1894,272,"betula pendula"
"37",7641,94,1894,274,"betula pendula"
"38",7577,94,1894,274,"betula pendula"
"39",7492,94,1894,278,"betula pendula"
"40",7857,94,1894,287,"betula pendula"
"41",7814,94,1894,290,"betula pendula"
"42",7515,94,1894,291,"betula pendula"
"43",7499,94,1894,292,"betula pendula"
"44",7704,60,1895,69,"betula pendula"
"45",8000,11,1895,102,"betula pendula"
"46",8000,60,1895,106,"betula pendula"
"47",7742,11,1895,107,"betula pendula"
"48",7515,11,1895,107,"betula pendula"
"49",7515,60,1895,107,"betula pendula"
"50",7901,60,1895,108,"betula pendula"
"51",7492,60,1895,108,"betula pendula"
"52",7499,11,1895,109,"betula pendula"
"53",8007,11,1895,109,"betula pendula"
"54",7742,60,1895,109,"betula pendula"
"55",7938,11,1895,110,"betula pendula"
"56",7954,11,1895,110,"betula pendula"
"57",7704,11,1895,110,"betula pendula"
"58",7482,11,1895,110,"betula pendula"
"59",7954,60,1895,110,"betula pendula"
"60",7492,11,1895,111,"betula pendula"
"61",7635,11,1895,112,"betula pendula"
"62",7814,11,1895,112,"betula pendula"
"63",7814,60,1895,112,"betula pendula"
"64",7645,11,1895,113,"betula pendula"
"65",7899,11,1895,113,"betula pendula"
"66",7559,11,1895,113,"betula pendula"
"67",7645,60,1895,113,"betula pendula"
"68",7839,11,1895,114,"betula pendula"
"69",7763,60,1895,114,"betula pendula"
"70",7857,11,1895,115,"betula pendula"
"71",7996,11,1895,117,"betula pendula"
"72",7763,11,1895,118,"betula pendula"
"73",7635,60,1895,118,"betula pendula"
"74",7577,11,1895,120,"betula pendula"
"75",7857,60,1895,120,"betula pendula"
"76",7559,60,1895,121,"betula pendula"
"77",7956,11,1895,124,"betula pendula"
"78",7956,60,1895,130,"betula pendula"
"79",7635,94,1895,254,"betula pendula"
"80",8000,94,1895,263,"betula pendula"
"81",7577,94,1895,276,"betula pendula"
"82",7996,94,1895,283,"betula pendula"
"83",7645,94,1895,284,"betula pendula"
"84",7857,94,1895,289,"betula pendula"
"85",7492,94,1895,291,"betula pendula"
"86",7814,94,1895,293,"betula pendula"
"87",7839,94,1895,303,"betula pendula"
"88",7954,94,1895,305,"betula pendula"
"89",7956,94,1895,305,"betula pendula"
"90",7742,94,1895,318,"betula pendula"
"91",7814,60,1896,101,"betula pendula"
"92",7647,11,1896,103,"betula pendula"
"93",8000,11,1896,104,"betula pendula"
"94",7515,11,1896,106,"betula pendula"
"95",7956,60,1896,106,"betula pendula"
"96",7499,60,1896,106,"betula pendula"
"97",8000,60,1896,106,"betula pendula"
"98",7763,60,1896,106,"betula pendula"
"99",7814,11,1896,108,"betula pendula"
"100",7645,60,1896,108,"betula pendula"
"101",7488,60,1896,108,"betula pendula"
"102",7763,11,1896,109,"betula pendula"
"103",7488,11,1896,110,"betula pendula"
"104",7645,11,1896,110,"betula pendula"
"105",7515,60,1896,110,"betula pendula"
"106",7956,11,1896,111,"betula pendula"
"107",7566,11,1896,111,"betula pendula"
"108",7499,11,1896,111,"betula pendula"
"109",7857,11,1896,111,"betula pendula"
"110",7566,60,1896,111,"betula pendula"
"111",7647,60,1896,111,"betula pendula"
"112",7492,11,1896,114,"betula pendula"
"113",7954,11,1896,115,"betula pendula"
"114",7742,60,1896,115,"betula pendula"
"115",7492,60,1896,116,"betula pendula"
"116",7559,11,1896,118,"betula pendula"
"117",7954,60,1896,118,"betula pendula"
"118",7577,11,1896,120,"betula pendula"
"119",7742,11,1896,121,"betula pendula"
"120",7559,60,1896,124,"betula pendula"
"121",7996,11,1896,126,"betula pendula"
"122",7996,60,1896,126,"betula pendula"
"123",7857,60,1896,127,"betula pendula"
"124",7996,94,1896,272,"betula pendula"
"125",7956,94,1896,274,"betula pendula"
"126",8000,94,1896,276,"betula pendula"
"127",7492,94,1896,278,"betula pendula"
"128",7742,94,1896,279,"betula pendula"
"129",7488,94,1896,281,"betula pendula"
"130",7645,94,1896,281,"betula pendula"
"131",7867,94,1896,282,"betula pendula"
"132",7923,94,1896,286,"betula pendula"
"133",7814,94,1896,294,"betula pendula"
"134",7566,94,1896,299,"betula pendula"
"135",7938,94,1896,299,"betula pendula"
"136",7742,60,1897,89,"betula pendula"
"137",7742,11,1897,94,"betula pendula"
"138",7499,60,1897,94,"betula pendula"
"139",7814,60,1897,100,"betula pendula"
"140",7814,11,1897,102,"betula pendula"
"141",8000,11,1897,104,"betula pendula"
"142",7645,11,1897,104,"betula pendula"
"143",7857,11,1897,104,"betula pendula"
"144",7645,60,1897,105,"betula pendula"
"145",8000,60,1897,107,"betula pendula"
"146",7635,11,1897,108,"betula pendula"
"147",7488,11,1897,108,"betula pendula"
"148",7488,60,1897,108,"betula pendula"
"149",7499,11,1897,109,"betula pendula"
"150",7923,11,1897,110,"betula pendula"
"151",7956,11,1897,110,"betula pendula"
"152",7492,60,1897,110,"betula pendula"
"153",7956,60,1897,110,"betula pendula"
"154",7577,11,1897,111,"betula pendula"
"155",7515,60,1897,111,"betula pendula"
"156",7909,11,1897,115,"betula pendula"
"157",7635,60,1897,115,"betula pendula"
"158",8005,11,1897,116,"betula pendula"
"159",7566,11,1897,116,"betula pendula"
"160",7566,60,1897,116,"betula pendula"
"161",8005,60,1897,116,"betula pendula"
"162",7920,11,1897,117,"betula pendula"
"163",7920,60,1897,117,"betula pendula"
"164",7492,11,1897,119,"betula pendula"
"165",7857,60,1897,119,"betula pendula"
"166",7909,60,1897,120,"betula pendula"
"167",7996,11,1897,121,"betula pendula"
"168",7996,60,1897,121,"betula pendula"
"169",7488,94,1897,257,"betula pendula"
"170",7640,94,1897,271,"betula pendula"
"171",7814,94,1897,271,"betula pendula"
"172",8000,94,1897,273,"betula pendula"
"173",7857,94,1897,276,"betula pendula"
"174",7645,94,1897,277,"betula pendula"
"175",7742,94,1897,277,"betula pendula"
"176",7923,94,1897,280,"betula pendula"
"177",8005,94,1897,282,"betula pendula"
"178",7566,94,1897,283,"betula pendula"
"179",7996,94,1897,283,"betula pendula"
"180",7956,94,1897,288,"betula pendula"
"181",7492,94,1897,292,"betula pendula"
"182",7635,60,1898,100,"betula pendula"
"183",7640,11,1898,104,"betula pendula"
"184",7742,60,1898,104,"betula pendula"
"185",7635,11,1898,105,"betula pendula"
"186",8000,60,1898,109,"betula pendula"
"187",7645,60,1898,109,"betula pendula"
"188",7814,60,1898,110,"betula pendula"
"189",8005,11,1898,111,"betula pendula"
"190",7742,11,1898,111,"betula pendula"
"191",8000,11,1898,111,"betula pendula"
"192",7499,60,1898,111,"betula pendula"
"193",7814,11,1898,112,"betula pendula"
"194",7645,11,1898,113,"betula pendula"
"195",7920,11,1898,114,"betula pendula"
"196",7515,11,1898,115,"betula pendula"
"197",7566,11,1898,115,"betula pendula"
"198",7954,11,1898,116,"betula pendula"
"199",7954,60,1898,116,"betula pendula"
"200",7857,11,1898,117,"betula pendula"
"201",7909,11,1898,117,"betula pendula"
"202",7515,60,1898,117,"betula pendula"
"203",7492,60,1898,117,"betula pendula"
"204",7553,11,1898,119,"betula pendula"
"205",7492,11,1898,119,"betula pendula"
"206",7996,11,1898,121,"betula pendula"
"207",7920,60,1898,121,"betula pendula"
"208",7996,60,1898,121,"betula pendula"
"209",7577,11,1898,122,"betula pendula"
"210",7499,11,1898,123,"betula pendula"
"211",7857,60,1898,123,"betula pendula"
"212",7909,60,1898,123,"betula pendula"
"213",8000,94,1898,276,"betula pendula"
"214",8005,94,1898,284,"betula pendula"
"215",7645,94,1898,285,"betula pendula"
"216",7996,94,1898,285,"betula pendula"
"217",7742,94,1898,285,"betula pendula"
"218",7857,94,1898,291,"betula pendula"
"219",7492,94,1898,291,"betula pendula"
"220",7814,94,1898,292,"betula pendula"
"221",7566,94,1898,292,"betula pendula"
"222",7577,94,1898,293,"betula pendula"
"223",7493,94,1898,294,"betula pendula"
"224",7954,94,1898,298,"betula pendula"
"225",7635,60,1899,99,"betula pendula"
"226",7635,11,1899,102,"betula pendula"
"227",8005,11,1899,104,"betula pendula"
"228",7742,60,1899,106,"betula pendula"
"229",7488,11,1899,109,"betula pendula"
"230",7742,11,1899,110,"betula pendula"
"231",8000,60,1899,111,"betula pendula"
"232",7492,60,1899,113,"betula pendula"
"233",7857,11,1899,116,"betula pendula"
"234",7492,11,1899,116,"betula pendula"
"235",7566,11,1899,116,"betula pendula"
"236",7645,11,1899,116,"betula pendula"
"237",7920,11,1899,117,"betula pendula"
"238",7954,11,1899,118,"betula pendula"
"239",7954,60,1899,118,"betula pendula"
"240",7909,11,1899,119,"betula pendula"
"241",7645,60,1899,119,"betula pendula"
"242",7566,60,1899,120,"betula pendula"
"243",7920,60,1899,125,"betula pendula"
"244",7577,11,1899,128,"betula pendula"
"245",7909,60,1899,131,"betula pendula"
"246",7996,60,1899,132,"betula pendula"
"247",7996,11,1899,134,"betula pendula"
"248",8000,94,1899,280,"betula pendula"
"249",7566,94,1899,281,"betula pendula"
"250",8005,94,1899,287,"betula pendula"
"251",7857,94,1899,287,"betula pendula"
"252",7645,94,1899,289,"betula pendula"
"253",7954,94,1899,293,"betula pendula"
"254",7492,94,1899,294,"betula pendula"
"255",7996,94,1899,294,"betula pendula"
"256",7742,94,1899,300,"betula pendula"
"257",7488,11,1900,112,"betula pendula"
"258",7645,11,1900,112,"betula pendula"
"259",7645,60,1900,113,"betula pendula"
"260",7566,60,1900,113,"betula pendula"
"261",7488,60,1900,113,"betula pendula"
"262",7954,11,1900,114,"betula pendula"
"263",7923,11,1900,114,"betula pendula"
"264",7857,11,1900,114,"betula pendula"
"265",7954,60,1900,114,"betula pendula"
"266",7635,60,1900,114,"betula pendula"
"267",7923,60,1900,114,"betula pendula"
"268",7566,11,1900,115,"betula pendula"
"269",7814,60,1900,119,"betula pendula"
"270",7635,11,1900,120,"betula pendula"
"271",7920,11,1900,121,"betula pendula"
"272",7814,11,1900,122,"betula pendula"
"273",7857,60,1900,122,"betula pendula"
"274",7640,11,1900,123,"betula pendula"
