"","PEP_ID","BBCH","YEAR","DAY","species"
"1",7929,60,1868,204,"calluna vulgaris"
"2",7929,60,1869,214,"calluna vulgaris"
"3",7929,60,1870,220,"calluna vulgaris"
"4",7929,60,1871,218,"calluna vulgaris"
"5",7923,60,1873,163,"calluna vulgaris"
"6",7706,60,1873,211,"calluna vulgaris"
"7",7929,60,1873,216,"calluna vulgaris"
"8",7929,60,1874,214,"calluna vulgaris"
"9",7475,60,1875,212,"calluna vulgaris"
"10",7929,60,1876,219,"calluna vulgaris"
"11",7929,60,1877,218,"calluna vulgaris"
"12",7801,60,1880,70,"calluna vulgaris"
"13",7923,60,1882,119,"calluna vulgaris"
