"","PEP_ID","BBCH","YEAR","DAY","species"
"1",7607,60,1944,125,"dactylis glomerata"
"2",7471,60,1944,133,"dactylis glomerata"
"3",7560,60,1944,139,"dactylis glomerata"
"4",7640,60,1944,141,"dactylis glomerata"
"5",7839,60,1944,141,"dactylis glomerata"
"6",7531,60,1944,149,"dactylis glomerata"
"7",7742,60,1944,150,"dactylis glomerata"
"8",7575,60,1944,150,"dactylis glomerata"
"9",7951,60,1944,152,"dactylis glomerata"
"10",7779,60,1944,153,"dactylis glomerata"
"11",7626,60,1944,154,"dactylis glomerata"
"12",7720,60,1944,155,"dactylis glomerata"
"13",7972,60,1944,158,"dactylis glomerata"
"14",7481,60,1944,170,"dactylis glomerata"
"15",7540,60,1944,181,"dactylis glomerata"
"16",7754,60,1946,111,"dactylis glomerata"
"17",7942,60,1946,112,"dactylis glomerata"
"18",7952,60,1946,121,"dactylis glomerata"
"19",7854,60,1946,125,"dactylis glomerata"
"20",7843,60,1946,128,"dactylis glomerata"
"21",7640,60,1946,128,"dactylis glomerata"
"22",7518,60,1946,128,"dactylis glomerata"
"23",7674,60,1946,128,"dactylis glomerata"
"24",7989,60,1946,128,"dactylis glomerata"
"25",7611,60,1946,131,"dactylis glomerata"
"26",7646,60,1946,132,"dactylis glomerata"
"27",7540,60,1946,132,"dactylis glomerata"
"28",7529,60,1946,135,"dactylis glomerata"
"29",7536,60,1946,135,"dactylis glomerata"
"30",7720,60,1946,138,"dactylis glomerata"
"31",7820,60,1946,139,"dactylis glomerata"
"32",7905,60,1946,140,"dactylis glomerata"
"33",8009,60,1946,140,"dactylis glomerata"
"34",7904,60,1946,143,"dactylis glomerata"
"35",7866,60,1946,144,"dactylis glomerata"
"36",7972,60,1946,145,"dactylis glomerata"
"37",7560,60,1946,145,"dactylis glomerata"
"38",7858,60,1946,145,"dactylis glomerata"
"39",7794,60,1946,146,"dactylis glomerata"
"40",7766,60,1946,146,"dactylis glomerata"
"41",7488,60,1946,147,"dactylis glomerata"
"42",7813,60,1946,149,"dactylis glomerata"
"43",7635,60,1946,149,"dactylis glomerata"
"44",7951,60,1946,149,"dactylis glomerata"
"45",7482,60,1946,150,"dactylis glomerata"
"46",7668,60,1946,150,"dactylis glomerata"
"47",7740,60,1946,150,"dactylis glomerata"
"48",7932,60,1946,150,"dactylis glomerata"
"49",7531,60,1946,152,"dactylis glomerata"
"50",7597,60,1946,152,"dactylis glomerata"
"51",7910,60,1946,153,"dactylis glomerata"
"52",7685,60,1946,154,"dactylis glomerata"
"53",7643,60,1946,157,"dactylis glomerata"
"54",7923,60,1946,166,"dactylis glomerata"
