"","PEP_ID","BBCH","YEAR","DAY","species"
"1",7811,60,1868,112,"fragaria vesca"
"2",7639,60,1868,113,"fragaria vesca"
"3",7801,60,1868,125,"fragaria vesca"
"4",7929,60,1868,129,"fragaria vesca"
"5",7686,60,1869,107,"fragaria vesca"
"6",7801,60,1869,110,"fragaria vesca"
"7",7582,60,1869,113,"fragaria vesca"
"8",7929,60,1869,127,"fragaria vesca"
"9",7639,60,1869,127,"fragaria vesca"
"10",7990,60,1869,141,"fragaria vesca"
"11",7582,60,1870,115,"fragaria vesca"
"12",7801,60,1870,127,"fragaria vesca"
"13",7639,60,1870,128,"fragaria vesca"
"14",7929,60,1870,136,"fragaria vesca"
"15",7637,60,1870,136,"fragaria vesca"
"16",7801,60,1871,125,"fragaria vesca"
"17",7929,60,1871,133,"fragaria vesca"
"18",7990,60,1871,149,"fragaria vesca"
"19",7706,60,1871,157,"fragaria vesca"
"20",7801,60,1872,106,"fragaria vesca"
"21",7923,60,1872,116,"fragaria vesca"
"22",7637,60,1872,120,"fragaria vesca"
"23",7974,60,1872,124,"fragaria vesca"
"24",7929,60,1872,126,"fragaria vesca"
"25",7797,60,1872,127,"fragaria vesca"
"26",7534,60,1873,108,"fragaria vesca"
"27",7923,60,1873,120,"fragaria vesca"
"28",7801,60,1873,120,"fragaria vesca"
"29",7706,60,1873,134,"fragaria vesca"
"30",7929,60,1873,152,"fragaria vesca"
"31",7475,60,1873,156,"fragaria vesca"
"32",7797,60,1874,108,"fragaria vesca"
"33",7801,60,1874,113,"fragaria vesca"
"34",7639,60,1874,115,"fragaria vesca"
"35",7637,60,1874,126,"fragaria vesca"
"36",7923,60,1874,130,"fragaria vesca"
"37",7911,60,1875,120,"fragaria vesca"
"38",7801,60,1875,123,"fragaria vesca"
"39",7637,60,1875,126,"fragaria vesca"
"40",7990,60,1875,128,"fragaria vesca"
"41",7475,60,1875,130,"fragaria vesca"
"42",7706,60,1875,132,"fragaria vesca"
"43",7923,60,1875,133,"fragaria vesca"
"44",7801,60,1876,123,"fragaria vesca"
"45",7797,60,1876,134,"fragaria vesca"
"46",7923,60,1876,137,"fragaria vesca"
"47",7990,60,1876,143,"fragaria vesca"
"48",7475,60,1877,122,"fragaria vesca"
"49",7801,60,1877,123,"fragaria vesca"
"50",7797,60,1877,129,"fragaria vesca"
"51",7929,60,1877,149,"fragaria vesca"
"52",7475,60,1878,104,"fragaria vesca"
"53",7802,60,1878,127,"fragaria vesca"
"54",7669,60,1884,105,"fragaria vesca"
"55",7881,60,1884,125,"fragaria vesca"
"56",7873,60,1884,131,"fragaria vesca"
"57",7923,60,1884,148,"fragaria vesca"
"58",7625,60,1885,103,"fragaria vesca"
"59",7669,60,1885,121,"fragaria vesca"
"60",7625,60,1886,101,"fragaria vesca"
"61",7881,60,1886,116,"fragaria vesca"
"62",7881,60,1887,118,"fragaria vesca"
"63",7669,60,1887,133,"fragaria vesca"
"64",7625,60,1888,134,"fragaria vesca"
"65",7669,60,1888,139,"fragaria vesca"
"66",7873,60,1888,144,"fragaria vesca"
"67",7990,60,1889,132,"fragaria vesca"
"68",7669,60,1889,134,"fragaria vesca"
"69",7743,60,1893,121,"fragaria vesca"
"70",7538,60,1894,94,"fragaria vesca"
"71",7873,60,1894,106,"fragaria vesca"
"72",7669,60,1894,117,"fragaria vesca"
"73",7962,60,1895,67,"fragaria vesca"
"74",7669,60,1895,130,"fragaria vesca"
"75",7873,60,1897,120,"fragaria vesca"
"76",7669,60,1898,131,"fragaria vesca"
