"","PEP_ID","BBCH","YEAR","DAY","species"
"1",7990,11,1868,113,"syringa vulgaris"
"2",7639,60,1868,113,"syringa vulgaris"
"3",7801,11,1868,116,"syringa vulgaris"
"4",7801,60,1868,117,"syringa vulgaris"
"5",7639,86,1868,229,"syringa vulgaris"
"6",7801,86,1868,246,"syringa vulgaris"
"7",7639,11,1869,102,"syringa vulgaris"
"8",7990,11,1869,106,"syringa vulgaris"
"9",7801,11,1869,113,"syringa vulgaris"
"10",7990,86,1869,263,"syringa vulgaris"
"11",7801,86,1869,263,"syringa vulgaris"
"12",7990,11,1870,112,"syringa vulgaris"
"13",7801,11,1870,120,"syringa vulgaris"
"14",7639,11,1870,121,"syringa vulgaris"
"15",7990,60,1870,126,"syringa vulgaris"
"16",7801,60,1870,130,"syringa vulgaris"
"17",7811,60,1870,130,"syringa vulgaris"
"18",8001,60,1870,139,"syringa vulgaris"
"19",7801,86,1870,263,"syringa vulgaris"
"20",7639,11,1871,104,"syringa vulgaris"
"21",7990,11,1871,105,"syringa vulgaris"
"22",7532,11,1871,111,"syringa vulgaris"
"23",7801,11,1871,117,"syringa vulgaris"
"24",7475,11,1871,125,"syringa vulgaris"
"25",7532,60,1871,143,"syringa vulgaris"
"26",7801,86,1871,266,"syringa vulgaris"
"27",7797,11,1872,93,"syringa vulgaris"
"28",7923,11,1872,95,"syringa vulgaris"
"29",7686,60,1872,95,"syringa vulgaris"
"30",7990,11,1872,99,"syringa vulgaris"
"31",7923,60,1872,101,"syringa vulgaris"
"32",7706,60,1872,101,"syringa vulgaris"
"33",7801,11,1872,106,"syringa vulgaris"
"34",7990,60,1872,106,"syringa vulgaris"
"35",7475,60,1872,111,"syringa vulgaris"
"36",7801,60,1872,112,"syringa vulgaris"
"37",7475,11,1872,118,"syringa vulgaris"
"38",7974,60,1872,123,"syringa vulgaris"
"39",7797,60,1872,127,"syringa vulgaris"
"40",7801,86,1872,251,"syringa vulgaris"
"41",7475,60,1873,80,"syringa vulgaris"
"42",7639,11,1873,101,"syringa vulgaris"
"43",7990,11,1873,104,"syringa vulgaris"
"44",7686,60,1873,104,"syringa vulgaris"
"45",7923,11,1873,106,"syringa vulgaris"
"46",7534,60,1873,107,"syringa vulgaris"
"47",7990,60,1873,109,"syringa vulgaris"
"48",7706,11,1873,110,"syringa vulgaris"
"49",7923,60,1873,110,"syringa vulgaris"
"50",7801,60,1873,118,"syringa vulgaris"
"51",7706,60,1873,118,"syringa vulgaris"
"52",7923,86,1873,258,"syringa vulgaris"
"53",7801,86,1873,261,"syringa vulgaris"
"54",7801,11,1873,283,"syringa vulgaris"
"55",7923,60,1874,100,"syringa vulgaris"
"56",7923,11,1874,104,"syringa vulgaris"
"57",7990,11,1874,106,"syringa vulgaris"
"58",7929,60,1874,111,"syringa vulgaris"
"59",7990,60,1874,111,"syringa vulgaris"
"60",7706,11,1874,112,"syringa vulgaris"
"61",7801,11,1874,115,"syringa vulgaris"
"62",7801,60,1874,116,"syringa vulgaris"
"63",7923,86,1874,258,"syringa vulgaris"
"64",7801,86,1874,258,"syringa vulgaris"
"65",7706,11,1875,116,"syringa vulgaris"
"66",7990,11,1875,117,"syringa vulgaris"
"67",7923,60,1875,117,"syringa vulgaris"
"68",7532,11,1875,120,"syringa vulgaris"
"69",7706,60,1875,120,"syringa vulgaris"
"70",7929,11,1875,122,"syringa vulgaris"
"71",7929,60,1875,125,"syringa vulgaris"
"72",7881,60,1875,125,"syringa vulgaris"
"73",7828,60,1875,126,"syringa vulgaris"
"74",7801,60,1875,131,"syringa vulgaris"
"75",7532,60,1875,133,"syringa vulgaris"
"76",7475,86,1875,248,"syringa vulgaris"
"77",7706,86,1875,249,"syringa vulgaris"
"78",7990,11,1876,111,"syringa vulgaris"
"79",7475,86,1876,257,"syringa vulgaris"
"80",7929,60,1877,20,"syringa vulgaris"
"81",7475,60,1877,44,"syringa vulgaris"
"82",7990,60,1877,46,"syringa vulgaris"
"83",7801,60,1877,51,"syringa vulgaris"
"84",7797,11,1877,52,"syringa vulgaris"
"85",7923,60,1877,54,"syringa vulgaris"
"86",7801,11,1877,63,"syringa vulgaris"
"87",7990,11,1877,67,"syringa vulgaris"
