"","PEP_ID","BBCH","YEAR","DAY","species"
"1",7003,11,1964,127,"betula pubescens"
"2",7003,11,1965,129,"betula pubescens"
"3",7003,11,1966,138,"betula pubescens"
"4",7003,11,1967,141,"betula pubescens"
"5",7003,11,1968,137,"betula pubescens"
"6",7003,11,1969,136,"betula pubescens"
"7",7003,11,1970,129,"betula pubescens"
"8",7028,11,1970,130,"betula pubescens"
"9",7028,11,1971,126,"betula pubescens"
"10",7003,11,1971,130,"betula pubescens"
"11",7028,11,1972,124,"betula pubescens"
"12",7003,11,1972,127,"betula pubescens"
"13",7028,11,1973,126,"betula pubescens"
"14",7003,11,1973,130,"betula pubescens"
"15",7028,11,1974,112,"betula pubescens"
"16",7003,11,1974,127,"betula pubescens"
"17",7028,11,1975,128,"betula pubescens"
"18",7003,11,1975,129,"betula pubescens"
"19",7028,11,1976,131,"betula pubescens"
"20",7003,11,1976,139,"betula pubescens"
"21",7028,11,1977,129,"betula pubescens"
"22",7003,11,1977,139,"betula pubescens"
"23",7028,11,1978,128,"betula pubescens"
"24",7003,11,1978,138,"betula pubescens"
"25",7003,11,1979,141,"betula pubescens"
"26",7028,11,1979,143,"betula pubescens"
"27",7028,11,1980,127,"betula pubescens"
"28",7003,11,1980,137,"betula pubescens"
"29",7028,11,1981,131,"betula pubescens"
"30",7003,11,1981,134,"betula pubescens"
"31",7003,11,1982,137,"betula pubescens"
"32",7028,11,1983,126,"betula pubescens"
"33",7003,11,1983,127,"betula pubescens"
"34",7003,11,1984,132,"betula pubescens"
"35",7003,11,1985,136,"betula pubescens"
"36",7003,11,1986,127,"betula pubescens"
"37",7028,11,1986,132,"betula pubescens"
"38",7028,11,1987,133,"betula pubescens"
"39",7003,11,1987,139,"betula pubescens"
"40",7028,11,1988,129,"betula pubescens"
"41",7003,11,1988,139,"betula pubescens"
"42",7028,11,1989,117,"betula pubescens"
"43",7003,11,1989,120,"betula pubescens"
"44",7028,11,1990,114,"betula pubescens"
"45",7003,11,1990,122,"betula pubescens"
"46",7028,11,1991,120,"betula pubescens"
"47",7003,11,1991,128,"betula pubescens"
"48",7028,11,1992,125,"betula pubescens"
"49",7003,11,1992,135,"betula pubescens"
"50",7028,11,1993,119,"betula pubescens"
"51",7003,11,1993,122,"betula pubescens"
"52",7003,11,1994,129,"betula pubescens"
"53",7028,11,1994,130,"betula pubescens"
"54",7028,11,1995,129,"betula pubescens"
"55",7003,11,1995,144,"betula pubescens"
"56",7028,11,1996,133,"betula pubescens"
"57",7003,11,1996,140,"betula pubescens"
"58",7028,11,1997,126,"betula pubescens"
"59",7028,11,1998,117,"betula pubescens"
"60",7028,11,1999,114,"betula pubescens"
"61",7003,11,1999,133,"betula pubescens"
"62",7028,11,2000,113,"betula pubescens"
"63",7003,11,2000,123,"betula pubescens"
"64",7028,11,2001,125,"betula pubescens"
"65",7003,11,2001,135,"betula pubescens"
"66",7028,11,2002,108,"betula pubescens"
"67",7003,11,2002,122,"betula pubescens"
"68",7028,11,2003,105,"betula pubescens"
"69",7003,11,2003,112,"betula pubescens"
"70",7028,11,2004,110,"betula pubescens"
"71",7003,11,2004,114,"betula pubescens"
"72",7028,11,2005,113,"betula pubescens"
"73",7003,11,2005,128,"betula pubescens"
