"","PEP_ID","BBCH","YEAR","DAY","species"
"1",7028,11,1970,132,"fagus sylvatica"
"2",7028,11,1971,130,"fagus sylvatica"
"3",7028,11,1972,127,"fagus sylvatica"
"4",7028,11,1973,140,"fagus sylvatica"
"5",7003,11,1973,146,"fagus sylvatica"
"6",7028,11,1974,127,"fagus sylvatica"
"7",7003,11,1974,136,"fagus sylvatica"
"8",7028,11,1975,130,"fagus sylvatica"
"9",7003,11,1975,136,"fagus sylvatica"
"10",7028,11,1976,139,"fagus sylvatica"
"11",7003,11,1976,139,"fagus sylvatica"
"12",7028,11,1977,139,"fagus sylvatica"
"13",7003,11,1977,145,"fagus sylvatica"
"14",7028,11,1978,138,"fagus sylvatica"
"15",7003,11,1978,143,"fagus sylvatica"
"16",7028,11,1979,143,"fagus sylvatica"
"17",7003,11,1979,145,"fagus sylvatica"
"18",7028,11,1980,135,"fagus sylvatica"
"19",7003,11,1980,141,"fagus sylvatica"
"20",7028,11,1981,131,"fagus sylvatica"
"21",7003,11,1981,136,"fagus sylvatica"
"22",7003,11,1982,143,"fagus sylvatica"
"23",7028,11,1983,128,"fagus sylvatica"
"24",7003,11,1983,132,"fagus sylvatica"
"25",7003,11,1984,136,"fagus sylvatica"
"26",7003,11,1985,139,"fagus sylvatica"
"27",7003,11,1986,130,"fagus sylvatica"
"28",7028,11,1986,132,"fagus sylvatica"
"29",7028,11,1987,124,"fagus sylvatica"
"30",7003,11,1987,145,"fagus sylvatica"
"31",7028,11,1988,137,"fagus sylvatica"
"32",7003,11,1988,139,"fagus sylvatica"
"33",7028,11,1989,131,"fagus sylvatica"
"34",7003,11,1989,137,"fagus sylvatica"
"35",7028,11,1990,122,"fagus sylvatica"
"36",7003,11,1990,130,"fagus sylvatica"
"37",7028,11,1991,123,"fagus sylvatica"
"38",7003,11,1991,150,"fagus sylvatica"
"39",7028,11,1992,139,"fagus sylvatica"
"40",7003,11,1992,142,"fagus sylvatica"
"41",7028,11,1993,119,"fagus sylvatica"
"42",7003,11,1993,127,"fagus sylvatica"
"43",7028,11,1994,126,"fagus sylvatica"
"44",7003,11,1994,133,"fagus sylvatica"
"45",7028,11,1995,135,"fagus sylvatica"
"46",7003,11,1995,146,"fagus sylvatica"
"47",7028,11,1996,134,"fagus sylvatica"
"48",7003,11,1996,143,"fagus sylvatica"
"49",7028,11,1997,134,"fagus sylvatica"
"50",7028,11,1998,122,"fagus sylvatica"
"51",7028,11,1999,122,"fagus sylvatica"
"52",7003,11,1999,140,"fagus sylvatica"
"53",7028,11,2000,122,"fagus sylvatica"
"54",7003,11,2000,132,"fagus sylvatica"
"55",7028,11,2001,129,"fagus sylvatica"
"56",7003,11,2001,143,"fagus sylvatica"
"57",7028,11,2002,122,"fagus sylvatica"
"58",7003,11,2002,130,"fagus sylvatica"
"59",7028,11,2003,117,"fagus sylvatica"
"60",7003,11,2003,122,"fagus sylvatica"
"61",7028,11,2004,118,"fagus sylvatica"
"62",7003,11,2004,124,"fagus sylvatica"
"63",7028,11,2005,124,"fagus sylvatica"
"64",7003,11,2005,140,"fagus sylvatica"
