"","PEP_ID","BBCH","YEAR","DAY","species"
"1",7149,11,1951,101,"betula pendula"
"2",7147,11,1951,115,"betula pendula"
"3",7148,11,1951,115,"betula pendula"
"4",7150,11,1951,115,"betula pendula"
"5",7145,11,1951,118,"betula pendula"
"6",7146,11,1951,119,"betula pendula"
"7",7151,11,1951,119,"betula pendula"
"8",7141,11,1951,122,"betula pendula"
"9",7142,11,1951,122,"betula pendula"
"10",7144,11,1951,124,"betula pendula"
"11",7152,11,1951,132,"betula pendula"
"12",7150,94,1951,254,"betula pendula"
"13",7142,94,1951,256,"betula pendula"
"14",7143,94,1951,262,"betula pendula"
"15",7146,94,1951,262,"betula pendula"
"16",7150,97,1951,264,"betula pendula"
"17",7141,94,1951,266,"betula pendula"
"18",7145,94,1951,273,"betula pendula"
"19",7147,94,1951,275,"betula pendula"
"20",7148,94,1951,275,"betula pendula"
"21",7143,97,1951,282,"betula pendula"
"22",7152,94,1951,284,"betula pendula"
"23",7141,97,1951,285,"betula pendula"
"24",7140,94,1951,286,"betula pendula"
"25",7144,94,1951,286,"betula pendula"
"26",7145,97,1951,287,"betula pendula"
"27",7149,94,1951,289,"betula pendula"
"28",7142,97,1951,292,"betula pendula"
"29",7144,97,1951,292,"betula pendula"
"30",7147,97,1951,294,"betula pendula"
"31",7148,97,1951,294,"betula pendula"
"32",7151,94,1951,296,"betula pendula"
"33",7152,97,1951,296,"betula pendula"
"34",7140,97,1951,297,"betula pendula"
"35",7151,97,1951,304,"betula pendula"
"36",7146,97,1951,313,"betula pendula"
"37",7149,97,1951,315,"betula pendula"
"38",7147,11,1952,109,"betula pendula"
"39",7148,11,1952,109,"betula pendula"
"40",7145,11,1952,115,"betula pendula"
"41",7146,11,1952,116,"betula pendula"
"42",7150,11,1952,116,"betula pendula"
"43",7144,11,1952,122,"betula pendula"
"44",7141,11,1952,124,"betula pendula"
"45",7151,11,1952,131,"betula pendula"
"46",7152,11,1952,132,"betula pendula"
"47",7143,94,1952,264,"betula pendula"
"48",7145,94,1952,264,"betula pendula"
"49",7141,94,1952,266,"betula pendula"
"50",7149,94,1952,268,"betula pendula"
"51",7151,94,1952,271,"betula pendula"
"52",7147,94,1952,275,"betula pendula"
"53",7148,94,1952,275,"betula pendula"
"54",7151,97,1952,276,"betula pendula"
"55",7149,97,1952,277,"betula pendula"
"56",7142,94,1952,280,"betula pendula"
"57",7144,94,1952,282,"betula pendula"
"58",7143,97,1952,282,"betula pendula"
"59",7141,97,1952,283,"betula pendula"
"60",7146,94,1952,284,"betula pendula"
"61",7150,94,1952,284,"betula pendula"
"62",7152,94,1952,285,"betula pendula"
"63",7144,97,1952,286,"betula pendula"
"64",7140,94,1952,287,"betula pendula"
"65",7142,97,1952,292,"betula pendula"
"66",7145,97,1952,294,"betula pendula"
"67",7146,97,1952,294,"betula pendula"
"68",7140,97,1952,297,"betula pendula"
"69",7152,97,1952,297,"betula pendula"
"70",7150,97,1952,302,"betula pendula"
"71",7147,97,1952,308,"betula pendula"
"72",7148,97,1952,308,"betula pendula"
"73",7142,11,1953,96,"betula pendula"
"74",7145,11,1953,101,"betula pendula"
"75",7147,11,1953,102,"betula pendula"
"76",7148,11,1953,102,"betula pendula"
"77",7146,11,1953,106,"betula pendula"
"78",7143,11,1953,107,"betula pendula"
"79",7150,11,1953,109,"betula pendula"
"80",7141,11,1953,118,"betula pendula"
"81",7144,11,1953,119,"betula pendula"
"82",7151,11,1953,119,"betula pendula"
"83",7152,11,1953,131,"betula pendula"
"84",7143,94,1953,251,"betula pendula"
"85",7142,94,1953,253,"betula pendula"
"86",7146,94,1953,263,"betula pendula"
"87",7145,94,1953,264,"betula pendula"
"88",7143,97,1953,264,"betula pendula"
"89",7151,94,1953,265,"betula pendula"
"90",7149,94,1953,268,"betula pendula"
"91",7149,97,1953,276,"betula pendula"
"92",7151,97,1953,276,"betula pendula"
"93",7145,97,1953,278,"betula pendula"
"94",7144,94,1953,279,"betula pendula"
"95",7150,94,1953,281,"betula pendula"
"96",7144,97,1953,281,"betula pendula"
"97",7152,94,1953,284,"betula pendula"
"98",7142,97,1953,284,"betula pendula"
"99",7140,94,1953,288,"betula pendula"
"100",7141,94,1953,289,"betula pendula"
"101",7152,97,1953,296,"betula pendula"
"102",7150,97,1953,297,"betula pendula"
"103",7140,97,1953,298,"betula pendula"
"104",7147,97,1953,299,"betula pendula"
"105",7148,97,1953,299,"betula pendula"
"106",7146,97,1953,301,"betula pendula"
"107",7147,94,1953,304,"betula pendula"
"108",7148,94,1953,304,"betula pendula"
"109",7141,97,1953,304,"betula pendula"
"110",7147,11,1954,124,"betula pendula"
"111",7148,11,1954,124,"betula pendula"
"112",7145,11,1954,125,"betula pendula"
"113",7146,11,1954,125,"betula pendula"
"114",7150,11,1954,125,"betula pendula"
"115",7141,11,1954,126,"betula pendula"
"116",7143,11,1954,126,"betula pendula"
"117",7151,11,1954,126,"betula pendula"
"118",7144,11,1954,128,"betula pendula"
"119",7140,11,1954,131,"betula pendula"
"120",7142,11,1954,131,"betula pendula"
"121",7152,11,1954,132,"betula pendula"
"122",7146,94,1954,261,"betula pendula"
"123",7142,94,1954,262,"betula pendula"
"124",7143,94,1954,276,"betula pendula"
"125",7142,97,1954,278,"betula pendula"
"126",7147,94,1954,284,"betula pendula"
"127",7148,94,1954,284,"betula pendula"
"128",7145,94,1954,285,"betula pendula"
"129",7151,94,1954,285,"betula pendula"
"130",7150,94,1954,286,"betula pendula"
"131",7140,94,1954,288,"betula pendula"
"132",7141,94,1954,289,"betula pendula"
"133",7144,94,1954,289,"betula pendula"
"134",7141,97,1954,289,"betula pendula"
"135",7143,97,1954,290,"betula pendula"
"136",7150,97,1954,290,"betula pendula"
"137",7149,94,1954,292,"betula pendula"
"138",7144,97,1954,293,"betula pendula"
"139",7152,94,1954,297,"betula pendula"
"140",7145,97,1954,297,"betula pendula"
"141",7149,97,1954,297,"betula pendula"
"142",7140,97,1954,298,"betula pendula"
"143",7151,97,1954,299,"betula pendula"
"144",7146,97,1954,304,"betula pendula"
"145",7147,97,1954,304,"betula pendula"
"146",7148,97,1954,304,"betula pendula"
"147",7152,97,1954,307,"betula pendula"
"148",7152,11,1955,122,"betula pendula"
"149",7147,11,1955,123,"betula pendula"
"150",7148,11,1955,123,"betula pendula"
"151",7149,11,1955,124,"betula pendula"
"152",7146,11,1955,125,"betula pendula"
"153",7141,11,1955,128,"betula pendula"
"154",7143,11,1955,129,"betula pendula"
"155",7144,11,1955,130,"betula pendula"
"156",7140,11,1955,131,"betula pendula"
"157",7142,11,1955,131,"betula pendula"
"158",7150,11,1955,141,"betula pendula"
"159",7151,11,1955,141,"betula pendula"
"160",7145,11,1955,152,"betula pendula"
"161",7144,94,1955,251,"betula pendula"
"162",7143,94,1955,264,"betula pendula"
"163",7147,94,1955,266,"betula pendula"
"164",7148,94,1955,266,"betula pendula"
"165",7146,94,1955,270,"betula pendula"
"166",7149,94,1955,277,"betula pendula"
"167",7142,94,1955,278,"betula pendula"
"168",7141,94,1955,279,"betula pendula"
"169",7150,94,1955,280,"betula pendula"
"170",7152,94,1955,281,"betula pendula"
"171",7141,97,1955,282,"betula pendula"
"172",7145,94,1955,283,"betula pendula"
"173",7145,97,1955,284,"betula pendula"
"174",7143,97,1955,285,"betula pendula"
"175",7149,97,1955,286,"betula pendula"
"176",7140,94,1955,288,"betula pendula"
"177",7151,94,1955,289,"betula pendula"
"178",7144,97,1955,289,"betula pendula"
"179",7142,97,1955,293,"betula pendula"
"180",7147,97,1955,293,"betula pendula"
"181",7148,97,1955,293,"betula pendula"
"182",7150,97,1955,298,"betula pendula"
"183",7140,97,1955,299,"betula pendula"
"184",7151,97,1955,302,"betula pendula"
"185",7146,97,1955,311,"betula pendula"
"186",7152,97,1955,311,"betula pendula"
"187",7142,11,1956,119,"betula pendula"
"188",7144,11,1956,123,"betula pendula"
"189",7146,11,1956,125,"betula pendula"
"190",7147,11,1956,126,"betula pendula"
"191",7148,11,1956,126,"betula pendula"
"192",7151,11,1956,126,"betula pendula"
"193",7152,11,1956,126,"betula pendula"
"194",7143,11,1956,131,"betula pendula"
"195",7141,11,1956,133,"betula pendula"
"196",7145,11,1956,133,"betula pendula"
"197",7140,11,1956,134,"betula pendula"
"198",7150,11,1956,138,"betula pendula"
"199",7149,11,1956,144,"betula pendula"
"200",7142,94,1956,260,"betula pendula"
"201",7147,94,1956,267,"betula pendula"
"202",7148,94,1956,267,"betula pendula"
"203",7143,94,1956,268,"betula pendula"
"204",7144,94,1956,269,"betula pendula"
"205",7146,94,1956,269,"betula pendula"
"206",7151,94,1956,271,"betula pendula"
"207",7141,94,1956,274,"betula pendula"
"208",7145,94,1956,275,"betula pendula"
"209",7149,94,1956,277,"betula pendula"
"210",7152,94,1956,278,"betula pendula"
"211",7141,97,1956,279,"betula pendula"
"212",7143,97,1956,282,"betula pendula"
"213",7150,94,1956,285,"betula pendula"
"214",7149,97,1956,286,"betula pendula"
"215",7140,94,1956,289,"betula pendula"
"216",7152,97,1956,289,"betula pendula"
"217",7144,97,1956,290,"betula pendula"
"218",7145,97,1956,291,"betula pendula"
"219",7142,97,1956,292,"betula pendula"
"220",7147,97,1956,292,"betula pendula"
"221",7148,97,1956,292,"betula pendula"
"222",7146,97,1956,294,"betula pendula"
"223",7140,97,1956,295,"betula pendula"
"224",7150,97,1956,302,"betula pendula"
"225",7151,97,1956,302,"betula pendula"
"226",7147,11,1957,109,"betula pendula"
"227",7148,11,1957,109,"betula pendula"
"228",7150,11,1957,111,"betula pendula"
"229",7149,11,1957,112,"betula pendula"
"230",7145,11,1957,113,"betula pendula"
"231",7146,11,1957,117,"betula pendula"
"232",7144,11,1957,119,"betula pendula"
"233",7141,11,1957,120,"betula pendula"
"234",7140,11,1957,122,"betula pendula"
"235",7143,11,1957,122,"betula pendula"
"236",7142,11,1957,126,"betula pendula"
"237",7152,11,1957,131,"betula pendula"
"238",7151,11,1957,141,"betula pendula"
"239",7142,94,1957,254,"betula pendula"
"240",7141,94,1957,257,"betula pendula"
"241",7144,94,1957,257,"betula pendula"
"242",7141,97,1957,259,"betula pendula"
"243",7144,97,1957,265,"betula pendula"
"244",7143,94,1957,268,"betula pendula"
"245",7146,94,1957,269,"betula pendula"
"246",7149,94,1957,270,"betula pendula"
"247",7145,94,1957,276,"betula pendula"
"248",7149,97,1957,277,"betula pendula"
"249",7147,94,1957,279,"betula pendula"
"250",7148,94,1957,279,"betula pendula"
"251",7152,94,1957,282,"betula pendula"
"252",7151,94,1957,283,"betula pendula"
"253",7152,97,1957,286,"betula pendula"
"254",7140,94,1957,287,"betula pendula"
"255",7143,97,1957,288,"betula pendula"
"256",7145,97,1957,289,"betula pendula"
"257",7142,97,1957,291,"betula pendula"
"258",7150,94,1957,293,"betula pendula"
"259",7151,97,1957,293,"betula pendula"
"260",7147,97,1957,294,"betula pendula"
"261",7148,97,1957,294,"betula pendula"
"262",7146,97,1957,299,"betula pendula"
"263",7150,97,1957,302,"betula pendula"
"264",7140,97,1957,312,"betula pendula"
"265",7152,11,1958,112,"betula pendula"
"266",7150,11,1958,115,"betula pendula"
"267",7149,11,1958,123,"betula pendula"
"268",7147,11,1958,127,"betula pendula"
"269",7148,11,1958,127,"betula pendula"
"270",7145,11,1958,128,"betula pendula"
"271",7151,11,1958,130,"betula pendula"
"272",7146,11,1958,131,"betula pendula"
"273",7141,11,1958,133,"betula pendula"
"274",7143,11,1958,133,"betula pendula"
"275",7144,11,1958,134,"betula pendula"
"276",7142,11,1958,139,"betula pendula"
"277",7140,11,1958,141,"betula pendula"
"278",7143,94,1958,260,"betula pendula"
"279",7142,94,1958,262,"betula pendula"
"280",7147,94,1958,264,"betula pendula"
"281",7148,94,1958,264,"betula pendula"
"282",7146,94,1958,269,"betula pendula"
"283",7141,94,1958,271,"betula pendula"
"284",7144,94,1958,274,"betula pendula"
"285",7143,97,1958,276,"betula pendula"
"286",7144,97,1958,279,"betula pendula"
"287",7140,94,1958,281,"betula pendula"
"288",7145,94,1958,282,"betula pendula"
"289",7152,94,1958,284,"betula pendula"
"290",7149,97,1958,286,"betula pendula"
"291",7149,94,1958,288,"betula pendula"
"292",7142,97,1958,290,"betula pendula"
"293",7145,97,1958,290,"betula pendula"
"294",7152,97,1958,291,"betula pendula"
"295",7140,97,1958,292,"betula pendula"
"296",7141,97,1958,296,"betula pendula"
"297",7151,94,1958,299,"betula pendula"
"298",7150,94,1958,302,"betula pendula"
"299",7146,97,1958,309,"betula pendula"
"300",7147,97,1958,310,"betula pendula"
"301",7148,97,1958,310,"betula pendula"
"302",7150,97,1958,315,"betula pendula"
"303",7151,97,1958,320,"betula pendula"
"304",7140,11,1959,101,"betula pendula"
"305",7151,11,1959,101,"betula pendula"
"306",7149,11,1959,104,"betula pendula"
"307",7147,11,1959,105,"betula pendula"
"308",7148,11,1959,105,"betula pendula"
"309",7143,11,1959,108,"betula pendula"
"310",7141,11,1959,113,"betula pendula"
"311",7146,11,1959,113,"betula pendula"
"312",7142,11,1959,116,"betula pendula"
"313",7145,11,1959,116,"betula pendula"
"314",7144,11,1959,121,"betula pendula"
"315",7150,11,1959,133,"betula pendula"
"316",7152,11,1959,146,"betula pendula"
"317",7147,94,1959,236,"betula pendula"
"318",7148,94,1959,236,"betula pendula"
"319",7141,94,1959,254,"betula pendula"
