"","PEP_ID","BBCH","YEAR","DAY","species"
"1",7146,60,1951,219,"calluna vulgaris"
"2",7144,60,1951,221,"calluna vulgaris"
"3",7147,60,1951,231,"calluna vulgaris"
"4",7148,60,1951,231,"calluna vulgaris"
"5",7142,60,1951,238,"calluna vulgaris"
"6",7150,60,1951,244,"calluna vulgaris"
"7",7143,60,1951,246,"calluna vulgaris"
"8",7151,60,1951,251,"calluna vulgaris"
"9",7140,60,1951,253,"calluna vulgaris"
"10",7141,60,1951,260,"calluna vulgaris"
"11",7152,60,1951,263,"calluna vulgaris"
"12",7149,60,1951,272,"calluna vulgaris"
"13",7146,60,1952,228,"calluna vulgaris"
"14",7148,60,1952,228,"calluna vulgaris"
"15",7147,60,1952,228,"calluna vulgaris"
"16",7149,60,1952,238,"calluna vulgaris"
"17",7144,60,1952,239,"calluna vulgaris"
"18",7142,60,1952,243,"calluna vulgaris"
"19",7143,60,1952,246,"calluna vulgaris"
"20",7150,60,1952,248,"calluna vulgaris"
"21",7140,60,1952,252,"calluna vulgaris"
"22",7141,60,1952,259,"calluna vulgaris"
"23",7151,60,1952,272,"calluna vulgaris"
"24",7152,60,1952,273,"calluna vulgaris"
"25",7143,60,1953,219,"calluna vulgaris"
"26",7146,60,1953,219,"calluna vulgaris"
"27",7148,60,1953,228,"calluna vulgaris"
"28",7147,60,1953,228,"calluna vulgaris"
"29",7141,60,1953,230,"calluna vulgaris"
"30",7144,60,1953,233,"calluna vulgaris"
"31",7142,60,1953,242,"calluna vulgaris"
"32",7149,60,1953,246,"calluna vulgaris"
"33",7140,60,1953,251,"calluna vulgaris"
"34",7150,60,1953,254,"calluna vulgaris"
"35",7152,60,1953,259,"calluna vulgaris"
"36",7151,60,1953,274,"calluna vulgaris"
"37",7144,60,1954,225,"calluna vulgaris"
"38",7147,60,1954,225,"calluna vulgaris"
"39",7148,60,1954,225,"calluna vulgaris"
"40",7146,60,1954,228,"calluna vulgaris"
"41",7142,60,1954,238,"calluna vulgaris"
"42",7143,60,1954,244,"calluna vulgaris"
"43",7149,60,1954,250,"calluna vulgaris"
"44",7140,60,1954,252,"calluna vulgaris"
"45",7150,60,1954,254,"calluna vulgaris"
"46",7152,60,1954,255,"calluna vulgaris"
"47",7141,60,1954,263,"calluna vulgaris"
"48",7151,60,1954,266,"calluna vulgaris"
"49",7144,60,1955,240,"calluna vulgaris"
"50",7147,60,1955,244,"calluna vulgaris"
"51",7142,60,1955,244,"calluna vulgaris"
"52",7148,60,1955,244,"calluna vulgaris"
"53",7149,60,1955,246,"calluna vulgaris"
"54",7141,60,1955,248,"calluna vulgaris"
"55",7140,60,1955,252,"calluna vulgaris"
"56",7146,60,1955,252,"calluna vulgaris"
"57",7150,60,1955,254,"calluna vulgaris"
