"","PEP_ID","BBCH","YEAR","DAY","species"
"1",7147,60,1951,124,"syringa vulgaris"
"2",7148,60,1951,124,"syringa vulgaris"
"3",7150,60,1951,131,"syringa vulgaris"
"4",7146,60,1951,131,"syringa vulgaris"
"5",7145,60,1951,132,"syringa vulgaris"
"6",7152,60,1951,133,"syringa vulgaris"
"7",7151,60,1951,135,"syringa vulgaris"
"8",7144,60,1951,140,"syringa vulgaris"
"9",7141,60,1951,141,"syringa vulgaris"
"10",7143,60,1951,141,"syringa vulgaris"
"11",7142,60,1951,141,"syringa vulgaris"
"12",7140,60,1951,142,"syringa vulgaris"
"13",7149,60,1951,146,"syringa vulgaris"
"14",7147,60,1952,119,"syringa vulgaris"
"15",7148,60,1952,119,"syringa vulgaris"
"16",7142,60,1952,122,"syringa vulgaris"
"17",7150,60,1952,126,"syringa vulgaris"
"18",7145,60,1952,127,"syringa vulgaris"
"19",7146,60,1952,128,"syringa vulgaris"
"20",7144,60,1952,130,"syringa vulgaris"
"21",7149,60,1952,131,"syringa vulgaris"
"22",7151,60,1952,136,"syringa vulgaris"
"23",7152,60,1952,141,"syringa vulgaris"
"24",7143,60,1952,141,"syringa vulgaris"
"25",7140,60,1952,142,"syringa vulgaris"
"26",7141,60,1952,142,"syringa vulgaris"
"27",7149,60,1953,121,"syringa vulgaris"
"28",7147,60,1953,127,"syringa vulgaris"
"29",7148,60,1953,127,"syringa vulgaris"
"30",7144,60,1953,132,"syringa vulgaris"
"31",7146,60,1953,133,"syringa vulgaris"
"32",7151,60,1953,135,"syringa vulgaris"
"33",7141,60,1953,136,"syringa vulgaris"
"34",7142,60,1953,136,"syringa vulgaris"
"35",7150,60,1953,137,"syringa vulgaris"
"36",7140,60,1953,142,"syringa vulgaris"
"37",7152,60,1953,142,"syringa vulgaris"
"38",7143,60,1953,146,"syringa vulgaris"
"39",7145,60,1953,166,"syringa vulgaris"
"40",7152,60,1954,137,"syringa vulgaris"
"41",7141,60,1954,138,"syringa vulgaris"
"42",7146,60,1954,139,"syringa vulgaris"
"43",7148,60,1954,139,"syringa vulgaris"
"44",7147,60,1954,139,"syringa vulgaris"
"45",7140,60,1954,141,"syringa vulgaris"
"46",7145,60,1954,142,"syringa vulgaris"
"47",7144,60,1954,142,"syringa vulgaris"
"48",7143,60,1954,143,"syringa vulgaris"
"49",7142,60,1954,147,"syringa vulgaris"
"50",7150,60,1954,148,"syringa vulgaris"
"51",7151,60,1954,149,"syringa vulgaris"
"52",7149,60,1954,154,"syringa vulgaris"
"53",7149,60,1955,135,"syringa vulgaris"
"54",7150,60,1955,135,"syringa vulgaris"
"55",7148,60,1955,136,"syringa vulgaris"
"56",7147,60,1955,136,"syringa vulgaris"
"57",7151,60,1955,146,"syringa vulgaris"
"58",7145,60,1955,146,"syringa vulgaris"
"59",7143,60,1955,149,"syringa vulgaris"
"60",7146,60,1955,151,"syringa vulgaris"
"61",7152,60,1955,155,"syringa vulgaris"
"62",7142,60,1955,155,"syringa vulgaris"
"63",7144,60,1955,156,"syringa vulgaris"
"64",7140,60,1955,157,"syringa vulgaris"
"65",7141,60,1955,161,"syringa vulgaris"
"66",7149,60,1956,135,"syringa vulgaris"
"67",7148,60,1956,136,"syringa vulgaris"
"68",7147,60,1956,136,"syringa vulgaris"
"69",7140,60,1956,141,"syringa vulgaris"
"70",7151,60,1956,141,"syringa vulgaris"
"71",7145,60,1956,146,"syringa vulgaris"
"72",7146,60,1956,146,"syringa vulgaris"
"73",7150,60,1956,146,"syringa vulgaris"
"74",7141,60,1956,148,"syringa vulgaris"
"75",7144,60,1956,148,"syringa vulgaris"
"76",7142,60,1956,152,"syringa vulgaris"
"77",7143,60,1956,153,"syringa vulgaris"
"78",7152,60,1956,154,"syringa vulgaris"
"79",7144,60,1957,131,"syringa vulgaris"
"80",7147,60,1957,132,"syringa vulgaris"
"81",7148,60,1957,132,"syringa vulgaris"
"82",7152,60,1957,133,"syringa vulgaris"
"83",7141,60,1957,136,"syringa vulgaris"
"84",7146,60,1957,137,"syringa vulgaris"
"85",7145,60,1957,137,"syringa vulgaris"
"86",7143,60,1957,139,"syringa vulgaris"
"87",7149,60,1957,140,"syringa vulgaris"
"88",7151,60,1957,141,"syringa vulgaris"
"89",7140,60,1957,141,"syringa vulgaris"
"90",7142,60,1957,141,"syringa vulgaris"
"91",7150,60,1957,155,"syringa vulgaris"
"92",7152,60,1958,136,"syringa vulgaris"
"93",7148,60,1958,137,"syringa vulgaris"
"94",7147,60,1958,137,"syringa vulgaris"
"95",7151,60,1958,139,"syringa vulgaris"
"96",7149,60,1958,139,"syringa vulgaris"
"97",7150,60,1958,141,"syringa vulgaris"
"98",7145,60,1958,142,"syringa vulgaris"
"99",7146,60,1958,142,"syringa vulgaris"
"100",7140,60,1958,144,"syringa vulgaris"
"101",7143,60,1958,146,"syringa vulgaris"
"102",7141,60,1958,147,"syringa vulgaris"
