"","PEP_ID","BBCH","YEAR","DAY","species"
"1",8010,11,2001,147,"betula pubescens"
"2",8010,11,2002,135,"betula pubescens"
"3",8010,11,2003,144,"betula pubescens"
"4",8010,11,2004,139,"betula pubescens"
"5",8010,11,2005,149,"betula pubescens"
"6",8013,10,2006,130,"betula pubescens"
"7",8011,10,2006,131,"betula pubescens"
"8",8010,10,2006,132,"betula pubescens"
"9",8012,10,2006,132,"betula pubescens"
"10",8013,11,2006,132,"betula pubescens"
"11",8010,11,2006,140,"betula pubescens"
"12",8012,11,2006,142,"betula pubescens"
"13",8011,11,2006,149,"betula pubescens"
"14",8013,94,2006,279,"betula pubescens"
"15",8013,97,2006,314,"betula pubescens"
"16",8013,10,2007,122,"betula pubescens"
"17",8013,11,2007,128,"betula pubescens"
"18",8012,10,2007,129,"betula pubescens"
"19",8010,10,2007,139,"betula pubescens"
"20",8011,10,2007,141,"betula pubescens"
"21",8010,11,2007,141,"betula pubescens"
"22",8012,11,2007,141,"betula pubescens"
"23",8011,11,2007,148,"betula pubescens"
