"","PEP_ID","BBCH","YEAR","DAY","species"
"1",6862,11,1961,92,"fagus sylvatica"
"2",6875,11,1961,94,"fagus sylvatica"
"3",6874,11,1961,95,"fagus sylvatica"
"4",6863,11,1961,98,"fagus sylvatica"
"5",6866,11,1961,98,"fagus sylvatica"
"6",6873,11,1961,98,"fagus sylvatica"
"7",6869,11,1961,101,"fagus sylvatica"
"8",6867,11,1961,102,"fagus sylvatica"
"9",6870,11,1961,103,"fagus sylvatica"
"10",6868,11,1961,104,"fagus sylvatica"
"11",6872,11,1961,112,"fagus sylvatica"
"12",6872,94,1961,265,"fagus sylvatica"
"13",6870,94,1961,278,"fagus sylvatica"
"14",6868,94,1961,280,"fagus sylvatica"
"15",6863,94,1961,281,"fagus sylvatica"
"16",6875,94,1961,284,"fagus sylvatica"
"17",6866,94,1961,292,"fagus sylvatica"
"18",6869,94,1961,293,"fagus sylvatica"
"19",6873,94,1961,293,"fagus sylvatica"
"20",6867,94,1961,295,"fagus sylvatica"
"21",6874,94,1961,303,"fagus sylvatica"
"22",6862,94,1961,304,"fagus sylvatica"
"23",6873,11,1962,109,"fagus sylvatica"
"24",6862,11,1962,110,"fagus sylvatica"
"25",6867,11,1962,110,"fagus sylvatica"
"26",6875,11,1962,110,"fagus sylvatica"
"27",6874,11,1962,111,"fagus sylvatica"
"28",6863,11,1962,113,"fagus sylvatica"
"29",6870,11,1962,113,"fagus sylvatica"
"30",6866,11,1962,116,"fagus sylvatica"
"31",6868,11,1962,116,"fagus sylvatica"
"32",6869,11,1962,116,"fagus sylvatica"
"33",6872,11,1962,128,"fagus sylvatica"
"34",6866,94,1962,276,"fagus sylvatica"
"35",6872,94,1962,278,"fagus sylvatica"
"36",6875,94,1962,280,"fagus sylvatica"
"37",6870,94,1962,281,"fagus sylvatica"
"38",6868,94,1962,283,"fagus sylvatica"
"39",6863,94,1962,291,"fagus sylvatica"
"40",6867,94,1962,294,"fagus sylvatica"
"41",6873,94,1962,295,"fagus sylvatica"
"42",6874,94,1962,297,"fagus sylvatica"
"43",6862,94,1962,298,"fagus sylvatica"
"44",6869,94,1962,308,"fagus sylvatica"
"45",6862,11,1963,105,"fagus sylvatica"
"46",6866,11,1963,106,"fagus sylvatica"
"47",6875,11,1963,107,"fagus sylvatica"
"48",6867,11,1963,108,"fagus sylvatica"
"49",6873,11,1963,108,"fagus sylvatica"
"50",6874,11,1963,111,"fagus sylvatica"
"51",6863,11,1963,113,"fagus sylvatica"
"52",6868,11,1963,114,"fagus sylvatica"
"53",6869,11,1963,115,"fagus sylvatica"
"54",6870,11,1963,118,"fagus sylvatica"
"55",6872,11,1963,128,"fagus sylvatica"
"56",6866,94,1963,267,"fagus sylvatica"
"57",6863,94,1963,277,"fagus sylvatica"
"58",6875,94,1963,279,"fagus sylvatica"
"59",6872,94,1963,280,"fagus sylvatica"
"60",6870,94,1963,285,"fagus sylvatica"
"61",6874,94,1963,286,"fagus sylvatica"
"62",6868,94,1963,288,"fagus sylvatica"
"63",6869,94,1963,289,"fagus sylvatica"
"64",6873,94,1963,291,"fagus sylvatica"
"65",6862,94,1963,293,"fagus sylvatica"
"66",6867,94,1963,304,"fagus sylvatica"
"67",6863,11,1964,103,"fagus sylvatica"
"68",6875,11,1964,103,"fagus sylvatica"
"69",6873,11,1964,104,"fagus sylvatica"
"70",6862,11,1964,106,"fagus sylvatica"
"71",6869,11,1964,106,"fagus sylvatica"
"72",6867,11,1964,107,"fagus sylvatica"
"73",6874,11,1964,107,"fagus sylvatica"
"74",6866,11,1964,108,"fagus sylvatica"
"75",6868,11,1964,109,"fagus sylvatica"
"76",6870,11,1964,113,"fagus sylvatica"
"77",6872,11,1964,125,"fagus sylvatica"
"78",6874,94,1964,274,"fagus sylvatica"
"79",6870,94,1964,277,"fagus sylvatica"
"80",6872,94,1964,277,"fagus sylvatica"
"81",6875,94,1964,279,"fagus sylvatica"
"82",6862,94,1964,284,"fagus sylvatica"
"83",6873,94,1964,284,"fagus sylvatica"
"84",6863,94,1964,289,"fagus sylvatica"
"85",6866,94,1964,289,"fagus sylvatica"
"86",6869,94,1964,290,"fagus sylvatica"
"87",6868,94,1964,291,"fagus sylvatica"
"88",6867,94,1964,308,"fagus sylvatica"
"89",6862,11,1965,96,"fagus sylvatica"
"90",6867,11,1965,96,"fagus sylvatica"
"91",6873,11,1965,96,"fagus sylvatica"
"92",6866,11,1965,101,"fagus sylvatica"
"93",6875,11,1965,102,"fagus sylvatica"
"94",6863,11,1965,103,"fagus sylvatica"
"95",6868,11,1965,104,"fagus sylvatica"
"96",6874,11,1965,105,"fagus sylvatica"
"97",6869,11,1965,109,"fagus sylvatica"
"98",6870,11,1965,109,"fagus sylvatica"
"99",6872,11,1965,130,"fagus sylvatica"
"100",6872,94,1965,273,"fagus sylvatica"
"101",6874,94,1965,285,"fagus sylvatica"
"102",6875,94,1965,286,"fagus sylvatica"
"103",6863,94,1965,291,"fagus sylvatica"
"104",6866,94,1965,292,"fagus sylvatica"
"105",6870,94,1965,292,"fagus sylvatica"
"106",6862,94,1965,293,"fagus sylvatica"
"107",6869,94,1965,297,"fagus sylvatica"
"108",6873,94,1965,298,"fagus sylvatica"
"109",6868,94,1965,301,"fagus sylvatica"
"110",6867,94,1965,302,"fagus sylvatica"
"111",6867,11,1966,98,"fagus sylvatica"
"112",6869,11,1966,102,"fagus sylvatica"
"113",6862,11,1966,103,"fagus sylvatica"
"114",6870,11,1966,103,"fagus sylvatica"
"115",6873,11,1966,103,"fagus sylvatica"
"116",6875,11,1966,103,"fagus sylvatica"
"117",6863,11,1966,106,"fagus sylvatica"
"118",6866,11,1966,107,"fagus sylvatica"
"119",6868,11,1966,107,"fagus sylvatica"
"120",6874,11,1966,107,"fagus sylvatica"
"121",6872,11,1966,124,"fagus sylvatica"
"122",6872,94,1966,273,"fagus sylvatica"
"123",6874,94,1966,283,"fagus sylvatica"
"124",6866,94,1966,285,"fagus sylvatica"
"125",6868,94,1966,287,"fagus sylvatica"
"126",6875,94,1966,290,"fagus sylvatica"
"127",6863,94,1966,293,"fagus sylvatica"
"128",6870,94,1966,295,"fagus sylvatica"
"129",6873,94,1966,295,"fagus sylvatica"
"130",6869,94,1966,301,"fagus sylvatica"
"131",6862,94,1966,304,"fagus sylvatica"
"132",6867,94,1966,308,"fagus sylvatica"
"133",6862,11,1967,101,"fagus sylvatica"
"134",6873,11,1967,103,"fagus sylvatica"
"135",6875,11,1967,103,"fagus sylvatica"
"136",6867,11,1967,104,"fagus sylvatica"
"137",6866,11,1967,105,"fagus sylvatica"
