"","PEP_ID","BBCH","YEAR","DAY","species"
"1",6869,60,1961,86,"syringa vulgaris"
"2",6871,60,1961,87,"syringa vulgaris"
"3",6867,60,1961,91,"syringa vulgaris"
"4",6862,60,1961,99,"syringa vulgaris"
"5",6863,60,1961,99,"syringa vulgaris"
"6",6875,60,1961,102,"syringa vulgaris"
"7",6866,60,1961,105,"syringa vulgaris"
"8",6870,60,1961,106,"syringa vulgaris"
"9",6868,60,1961,107,"syringa vulgaris"
"10",6865,60,1961,107,"syringa vulgaris"
"11",6864,60,1961,107,"syringa vulgaris"
"12",6873,60,1961,108,"syringa vulgaris"
"13",6874,60,1961,110,"syringa vulgaris"
"14",6872,60,1961,127,"syringa vulgaris"
"15",6867,60,1962,112,"syringa vulgaris"
"16",6871,60,1962,113,"syringa vulgaris"
"17",6869,60,1962,115,"syringa vulgaris"
"18",6862,60,1962,122,"syringa vulgaris"
"19",6875,60,1962,124,"syringa vulgaris"
"20",6866,60,1962,125,"syringa vulgaris"
"21",6870,60,1962,126,"syringa vulgaris"
"22",6868,60,1962,126,"syringa vulgaris"
"23",6873,60,1962,126,"syringa vulgaris"
"24",6864,60,1962,127,"syringa vulgaris"
"25",6863,60,1962,128,"syringa vulgaris"
"26",6874,60,1962,130,"syringa vulgaris"
"27",6865,60,1962,138,"syringa vulgaris"
"28",6872,60,1962,148,"syringa vulgaris"
"29",6871,60,1963,107,"syringa vulgaris"
"30",6869,60,1963,112,"syringa vulgaris"
"31",6867,60,1963,113,"syringa vulgaris"
"32",6862,60,1963,119,"syringa vulgaris"
"33",6875,60,1963,121,"syringa vulgaris"
"34",6870,60,1963,123,"syringa vulgaris"
"35",6863,60,1963,123,"syringa vulgaris"
"36",6864,60,1963,123,"syringa vulgaris"
"37",6874,60,1963,124,"syringa vulgaris"
"38",6866,60,1963,127,"syringa vulgaris"
"39",6868,60,1963,127,"syringa vulgaris"
"40",6873,60,1963,130,"syringa vulgaris"
"41",6865,60,1963,131,"syringa vulgaris"
"42",6872,60,1963,149,"syringa vulgaris"
"43",6869,60,1964,113,"syringa vulgaris"
"44",6871,60,1964,113,"syringa vulgaris"
"45",6867,60,1964,115,"syringa vulgaris"
"46",6862,60,1964,121,"syringa vulgaris"
"47",6864,60,1964,125,"syringa vulgaris"
"48",6875,60,1964,125,"syringa vulgaris"
"49",6866,60,1964,126,"syringa vulgaris"
"50",6863,60,1964,127,"syringa vulgaris"
"51",6868,60,1964,128,"syringa vulgaris"
"52",6873,60,1964,128,"syringa vulgaris"
"53",6870,60,1964,128,"syringa vulgaris"
"54",6874,60,1964,131,"syringa vulgaris"
"55",6865,60,1964,131,"syringa vulgaris"
"56",6872,60,1964,140,"syringa vulgaris"
"57",6869,60,1965,105,"syringa vulgaris"
"58",6871,60,1965,108,"syringa vulgaris"
"59",6867,60,1965,116,"syringa vulgaris"
"60",6862,60,1965,122,"syringa vulgaris"
"61",6875,60,1965,124,"syringa vulgaris"
"62",6866,60,1965,125,"syringa vulgaris"
"63",6863,60,1965,126,"syringa vulgaris"
"64",6864,60,1965,126,"syringa vulgaris"
"65",6868,60,1965,129,"syringa vulgaris"
"66",6870,60,1965,129,"syringa vulgaris"
"67",6873,60,1965,130,"syringa vulgaris"
"68",6865,60,1965,133,"syringa vulgaris"
"69",6874,60,1965,134,"syringa vulgaris"
"70",6872,60,1965,154,"syringa vulgaris"
"71",6871,60,1966,100,"syringa vulgaris"
"72",6869,60,1966,102,"syringa vulgaris"
"73",6867,60,1966,107,"syringa vulgaris"
"74",6875,60,1966,110,"syringa vulgaris"
"75",6873,60,1966,111,"syringa vulgaris"
"76",6862,60,1966,111,"syringa vulgaris"
"77",6870,60,1966,112,"syringa vulgaris"
"78",6864,60,1966,114,"syringa vulgaris"
"79",6866,60,1966,115,"syringa vulgaris"
"80",6863,60,1966,116,"syringa vulgaris"
"81",6868,60,1966,118,"syringa vulgaris"
"82",6865,60,1966,120,"syringa vulgaris"
"83",6874,60,1966,120,"syringa vulgaris"
"84",6872,60,1966,135,"syringa vulgaris"
"85",6871,60,1967,100,"syringa vulgaris"
"86",6869,60,1967,100,"syringa vulgaris"
"87",6867,60,1967,104,"syringa vulgaris"
"88",6866,60,1967,117,"syringa vulgaris"
"89",6863,60,1967,118,"syringa vulgaris"
"90",6864,60,1967,118,"syringa vulgaris"
"91",6875,60,1967,118,"syringa vulgaris"
"92",6862,60,1967,118,"syringa vulgaris"
"93",6870,60,1967,119,"syringa vulgaris"
"94",6873,60,1967,120,"syringa vulgaris"
"95",6868,60,1967,123,"syringa vulgaris"
"96",6865,60,1967,124,"syringa vulgaris"
"97",6874,60,1967,126,"syringa vulgaris"
"98",6872,60,1967,142,"syringa vulgaris"
"99",6871,60,1968,97,"syringa vulgaris"
"100",6867,60,1968,102,"syringa vulgaris"
"101",6869,60,1968,108,"syringa vulgaris"
"102",6866,60,1968,112,"syringa vulgaris"
"103",6875,60,1968,113,"syringa vulgaris"
"104",6868,60,1968,113,"syringa vulgaris"
"105",6864,60,1968,113,"syringa vulgaris"
"106",6870,60,1968,114,"syringa vulgaris"
"107",6865,60,1968,114,"syringa vulgaris"
