"","PEP_ID","BBCH","YEAR","DAY","species"
"1",6893,0,2000,95,"beta vulgaris"
"2",6886,0,2000,101,"beta vulgaris"
"3",6950,0,2000,101,"beta vulgaris"
"4",6894,0,2000,101,"beta vulgaris"
"5",6928,0,2000,105,"beta vulgaris"
"6",6924,0,2000,105,"beta vulgaris"
"7",6929,0,2000,107,"beta vulgaris"
"8",6893,10,2000,108,"beta vulgaris"
"9",6880,0,2000,109,"beta vulgaris"
"10",6920,0,2000,111,"beta vulgaris"
"11",6910,0,2000,111,"beta vulgaris"
"12",6881,0,2000,111,"beta vulgaris"
"13",6888,0,2000,112,"beta vulgaris"
"14",6894,10,2000,112,"beta vulgaris"
"15",6924,10,2000,113,"beta vulgaris"
"16",6886,10,2000,115,"beta vulgaris"
"17",6936,0,2000,116,"beta vulgaris"
"18",6930,0,2000,116,"beta vulgaris"
"19",6879,0,2000,117,"beta vulgaris"
"20",6880,10,2000,117,"beta vulgaris"
"21",6921,0,2000,118,"beta vulgaris"
"22",6931,0,2000,119,"beta vulgaris"
"23",6928,10,2000,119,"beta vulgaris"
"24",6929,10,2000,119,"beta vulgaris"
"25",6881,10,2000,119,"beta vulgaris"
"26",6888,10,2000,120,"beta vulgaris"
"27",6950,10,2000,122,"beta vulgaris"
"28",6920,10,2000,131,"beta vulgaris"
"29",6879,10,2000,131,"beta vulgaris"
"30",6931,10,2000,133,"beta vulgaris"
"31",6930,10,2000,136,"beta vulgaris"
"32",6936,10,2000,138,"beta vulgaris"
"33",6921,10,2000,141,"beta vulgaris"
"34",6910,10,2000,152,"beta vulgaris"
"35",6929,100,2000,259,"beta vulgaris"
"36",6880,100,2000,270,"beta vulgaris"
"37",6893,100,2000,270,"beta vulgaris"
"38",6921,100,2000,270,"beta vulgaris"
"39",6924,100,2000,270,"beta vulgaris"
"40",6950,100,2000,271,"beta vulgaris"
"41",6920,100,2000,279,"beta vulgaris"
"42",6930,100,2000,280,"beta vulgaris"
"43",6894,100,2000,281,"beta vulgaris"
"44",6888,100,2000,284,"beta vulgaris"
"45",6886,100,2000,284,"beta vulgaris"
"46",6881,100,2000,286,"beta vulgaris"
"47",6879,100,2000,290,"beta vulgaris"
"48",6931,100,2000,300,"beta vulgaris"
"49",6936,100,2000,311,"beta vulgaris"
"50",6928,100,2000,319,"beta vulgaris"
"51",6886,0,2001,86,"beta vulgaris"
"52",6924,0,2001,92,"beta vulgaris"
"53",6881,0,2001,92,"beta vulgaris"
"54",6880,0,2001,93,"beta vulgaris"
"55",6894,0,2001,94,"beta vulgaris"
"56",6888,0,2001,96,"beta vulgaris"
"57",6893,0,2001,96,"beta vulgaris"
"58",6928,0,2001,97,"beta vulgaris"
"59",6950,0,2001,100,"beta vulgaris"
"60",6936,0,2001,101,"beta vulgaris"
"61",6888,10,2001,103,"beta vulgaris"
"62",6886,10,2001,105,"beta vulgaris"
"63",6881,10,2001,107,"beta vulgaris"
"64",6924,10,2001,108,"beta vulgaris"
"65",6893,10,2001,109,"beta vulgaris"
"66",6880,10,2001,110,"beta vulgaris"
"67",6910,0,2001,112,"beta vulgaris"
"68",6879,0,2001,114,"beta vulgaris"
"69",6931,0,2001,115,"beta vulgaris"
"70",6894,10,2001,116,"beta vulgaris"
"71",6930,0,2001,118,"beta vulgaris"
"72",6936,10,2001,118,"beta vulgaris"
"73",6928,10,2001,120,"beta vulgaris"
"74",6921,0,2001,121,"beta vulgaris"
"75",6950,10,2001,122,"beta vulgaris"
"76",6929,0,2001,123,"beta vulgaris"
"77",6920,0,2001,124,"beta vulgaris"
"78",6931,10,2001,127,"beta vulgaris"
"79",6879,10,2001,128,"beta vulgaris"
"80",6930,10,2001,135,"beta vulgaris"
"81",6929,10,2001,135,"beta vulgaris"
"82",6920,10,2001,138,"beta vulgaris"
"83",6921,10,2001,145,"beta vulgaris"
"84",6921,100,2001,263,"beta vulgaris"
"85",6881,100,2001,264,"beta vulgaris"
"86",6880,100,2001,268,"beta vulgaris"
"87",6950,100,2001,269,"beta vulgaris"
"88",6888,100,2001,271,"beta vulgaris"
"89",6893,100,2001,271,"beta vulgaris"
"90",6929,100,2001,272,"beta vulgaris"
"91",6936,100,2001,272,"beta vulgaris"
"92",6928,100,2001,278,"beta vulgaris"
"93",6930,100,2001,281,"beta vulgaris"
"94",6886,100,2001,284,"beta vulgaris"
"95",6894,100,2001,288,"beta vulgaris"
"96",6910,100,2001,289,"beta vulgaris"
"97",6924,100,2001,290,"beta vulgaris"
"98",6879,100,2001,291,"beta vulgaris"
"99",6920,100,2001,294,"beta vulgaris"
"100",6931,100,2001,296,"beta vulgaris"
"101",6886,0,2002,84,"beta vulgaris"
"102",6950,0,2002,86,"beta vulgaris"
"103",6881,0,2002,89,"beta vulgaris"
"104",6880,0,2002,93,"beta vulgaris"
"105",6894,0,2002,93,"beta vulgaris"
"106",6893,0,2002,95,"beta vulgaris"
"107",6888,0,2002,95,"beta vulgaris"
"108",6889,0,2002,98,"beta vulgaris"
"109",6924,0,2002,100,"beta vulgaris"
"110",6886,10,2002,100,"beta vulgaris"
"111",6928,0,2002,101,"beta vulgaris"
"112",6888,10,2002,104,"beta vulgaris"
"113",6881,10,2002,105,"beta vulgaris"
"114",6931,0,2002,107,"beta vulgaris"
"115",6893,10,2002,108,"beta vulgaris"
"116",6929,0,2002,110,"beta vulgaris"
"117",6880,10,2002,112,"beta vulgaris"
"118",6930,0,2002,114,"beta vulgaris"
"119",6894,10,2002,114,"beta vulgaris"
"120",6924,10,2002,115,"beta vulgaris"
"121",6950,10,2002,115,"beta vulgaris"
"122",6879,0,2002,116,"beta vulgaris"
"123",6928,10,2002,116,"beta vulgaris"
"124",6931,10,2002,120,"beta vulgaris"
"125",6889,10,2002,120,"beta vulgaris"
"126",6929,10,2002,121,"beta vulgaris"
"127",6879,10,2002,127,"beta vulgaris"
"128",6950,100,2002,253,"beta vulgaris"
"129",6894,100,2002,262,"beta vulgaris"
"130",6893,100,2002,267,"beta vulgaris"
"131",6888,100,2002,270,"beta vulgaris"
"132",6929,100,2002,270,"beta vulgaris"
"133",6886,100,2002,274,"beta vulgaris"
"134",6889,100,2002,277,"beta vulgaris"
"135",6930,100,2002,288,"beta vulgaris"
"136",6928,100,2002,289,"beta vulgaris"
"137",6879,100,2002,292,"beta vulgaris"
"138",6931,100,2002,309,"beta vulgaris"
"139",6881,100,2002,312,"beta vulgaris"
"140",6880,100,2002,324,"beta vulgaris"
