"","PEP_ID","BBCH","YEAR","DAY","species"
"1",6927,60,2000,170,"calluna_vulgaris"
"2",6925,60,2000,180,"calluna_vulgaris"
"3",6938,60,2000,202,"calluna_vulgaris"
"4",6888,60,2000,205,"calluna_vulgaris"
"5",6925,60,2001,177,"calluna_vulgaris"
"6",6949,60,2001,219,"calluna_vulgaris"
"7",6927,60,2001,225,"calluna_vulgaris"
"8",6888,60,2002,194,"calluna_vulgaris"
"9",6949,60,2002,217,"calluna_vulgaris"
"10",6925,60,2003,192,"calluna_vulgaris"
"11",6888,60,2003,206,"calluna_vulgaris"
"12",6927,60,2003,215,"calluna_vulgaris"
"13",6949,60,2003,215,"calluna_vulgaris"
"14",6925,60,2004,193,"calluna_vulgaris"
"15",6888,60,2004,202,"calluna_vulgaris"
"16",6927,60,2004,211,"calluna_vulgaris"
"17",6949,60,2004,217,"calluna_vulgaris"
"18",6900,60,2004,233,"calluna_vulgaris"
"19",6927,60,2005,208,"calluna_vulgaris"
"20",6949,60,2005,218,"calluna_vulgaris"
"21",6888,60,2006,202,"calluna_vulgaris"
"22",6949,60,2006,218,"calluna_vulgaris"
"23",6949,60,2007,209,"calluna_vulgaris"
"24",6949,60,2008,217,"calluna_vulgaris"
"25",6925,60,2009,187,"calluna_vulgaris"
"26",6888,60,2009,189,"calluna_vulgaris"
"27",6937,60,2009,195,"calluna_vulgaris"
"28",6949,60,2009,214,"calluna_vulgaris"
"29",6888,60,2010,189,"calluna_vulgaris"
"30",6925,60,2010,192,"calluna_vulgaris"
"31",6937,60,2010,214,"calluna_vulgaris"
"32",6949,60,2010,217,"calluna_vulgaris"
"33",6926,60,2011,158,"calluna_vulgaris"
"34",6888,60,2011,197,"calluna_vulgaris"
"35",6937,60,2011,209,"calluna_vulgaris"
"36",6949,60,2011,215,"calluna_vulgaris"
"37",6926,60,2012,157,"calluna_vulgaris"
"38",6937,60,2012,192,"calluna_vulgaris"
"39",6925,60,2012,193,"calluna_vulgaris"
"40",6888,60,2012,198,"calluna_vulgaris"
"41",6949,60,2012,215,"calluna_vulgaris"
"42",6926,60,2013,167,"calluna_vulgaris"
"43",6937,60,2013,193,"calluna_vulgaris"
"44",6925,60,2013,197,"calluna_vulgaris"
"45",6888,60,2013,197,"calluna_vulgaris"
"46",6915,60,2013,215,"calluna_vulgaris"
"47",6949,60,2013,215,"calluna_vulgaris"
