"","PEP_ID","BBCH","YEAR","DAY","species"
"1",6897,11,2000,101,"fagus sylvatica"
"2",6900,11,2000,101,"fagus sylvatica"
"3",6888,11,2000,104,"fagus sylvatica"
"4",6889,11,2000,105,"fagus sylvatica"
"5",6932,11,2000,106,"fagus sylvatica"
"6",6895,11,2000,106,"fagus sylvatica"
"7",6909,11,2000,106,"fagus sylvatica"
"8",6929,11,2000,106,"fagus sylvatica"
"9",6894,11,2000,106,"fagus sylvatica"
"10",6912,11,2000,107,"fagus sylvatica"
"11",6885,11,2000,108,"fagus sylvatica"
"12",6934,11,2000,108,"fagus sylvatica"
"13",6903,11,2000,109,"fagus sylvatica"
"14",6916,11,2000,109,"fagus sylvatica"
"15",6933,11,2000,109,"fagus sylvatica"
"16",6921,11,2000,109,"fagus sylvatica"
"17",7026,11,2000,109,"fagus sylvatica"
"18",6887,11,2000,110,"fagus sylvatica"
"19",6898,11,2000,110,"fagus sylvatica"
"20",6943,11,2000,110,"fagus sylvatica"
"21",6904,11,2000,110,"fagus sylvatica"
"22",6936,11,2000,110,"fagus sylvatica"
"23",6919,11,2000,110,"fagus sylvatica"
"24",6925,11,2000,110,"fagus sylvatica"
"25",6905,11,2000,111,"fagus sylvatica"
"26",6945,11,2000,111,"fagus sylvatica"
"27",6923,11,2000,111,"fagus sylvatica"
"28",6927,11,2000,112,"fagus sylvatica"
"29",6906,11,2000,113,"fagus sylvatica"
"30",6890,11,2000,113,"fagus sylvatica"
"31",6949,11,2000,114,"fagus sylvatica"
"32",6922,11,2000,114,"fagus sylvatica"
"33",6926,11,2000,115,"fagus sylvatica"
"34",6948,11,2000,115,"fagus sylvatica"
"35",6924,11,2000,116,"fagus sylvatica"
"36",6931,11,2000,116,"fagus sylvatica"
"37",6907,11,2000,116,"fagus sylvatica"
"38",6938,11,2000,116,"fagus sylvatica"
"39",6939,11,2000,117,"fagus sylvatica"
"40",6910,11,2000,118,"fagus sylvatica"
"41",6917,11,2000,119,"fagus sylvatica"
"42",6941,11,2000,120,"fagus sylvatica"
"43",6946,11,2000,121,"fagus sylvatica"
"44",6915,11,2000,123,"fagus sylvatica"
"45",6908,11,2000,126,"fagus sylvatica"
"46",6935,11,2000,131,"fagus sylvatica"
"47",6913,11,2000,139,"fagus sylvatica"
"48",6934,86,2000,233,"fagus sylvatica"
"49",6889,86,2000,238,"fagus sylvatica"
"50",6904,94,2000,245,"fagus sylvatica"
"51",6905,86,2000,248,"fagus sylvatica"
"52",6889,94,2000,248,"fagus sylvatica"
"53",6925,86,2000,253,"fagus sylvatica"
"54",6887,86,2000,253,"fagus sylvatica"
"55",6922,94,2000,254,"fagus sylvatica"
"56",6903,94,2000,259,"fagus sylvatica"
"57",6932,94,2000,259,"fagus sylvatica"
"58",6900,94,2000,259,"fagus sylvatica"
"59",6904,86,2000,260,"fagus sylvatica"
"60",6895,86,2000,260,"fagus sylvatica"
"61",6921,94,2000,260,"fagus sylvatica"
"62",6945,86,2000,261,"fagus sylvatica"
"63",6931,86,2000,262,"fagus sylvatica"
"64",6895,94,2000,262,"fagus sylvatica"
"65",6905,94,2000,262,"fagus sylvatica"
"66",6885,86,2000,264,"fagus sylvatica"
"67",6921,86,2000,264,"fagus sylvatica"
"68",6908,86,2000,264,"fagus sylvatica"
"69",6919,94,2000,264,"fagus sylvatica"
"70",6917,94,2000,264,"fagus sylvatica"
"71",6908,94,2000,264,"fagus sylvatica"
"72",6923,86,2000,265,"fagus sylvatica"
"73",6927,94,2000,265,"fagus sylvatica"
"74",6948,94,2000,266,"fagus sylvatica"
"75",6898,94,2000,266,"fagus sylvatica"
"76",6923,94,2000,267,"fagus sylvatica"
"77",6933,94,2000,268,"fagus sylvatica"
"78",6910,94,2000,268,"fagus sylvatica"
"79",7026,86,2000,269,"fagus sylvatica"
"80",6916,94,2000,269,"fagus sylvatica"
"81",6897,94,2000,269,"fagus sylvatica"
"82",6949,94,2000,270,"fagus sylvatica"
"83",6913,94,2000,270,"fagus sylvatica"
"84",6913,86,2000,271,"fagus sylvatica"
"85",6912,94,2000,271,"fagus sylvatica"
"86",6925,94,2000,271,"fagus sylvatica"
"87",6929,86,2000,272,"fagus sylvatica"
"88",6916,86,2000,272,"fagus sylvatica"
"89",6926,86,2000,272,"fagus sylvatica"
"90",6901,86,2000,272,"fagus sylvatica"
"91",6939,94,2000,272,"fagus sylvatica"
"92",6900,86,2000,274,"fagus sylvatica"
"93",6949,86,2000,274,"fagus sylvatica"
"94",6938,94,2000,274,"fagus sylvatica"
"95",6935,94,2000,275,"fagus sylvatica"
"96",6933,86,2000,276,"fagus sylvatica"
"97",6943,86,2000,276,"fagus sylvatica"
"98",6946,94,2000,276,"fagus sylvatica"
"99",6934,94,2000,276,"fagus sylvatica"
"100",6924,94,2000,276,"fagus sylvatica"
"101",6938,86,2000,279,"fagus sylvatica"
"102",6946,86,2000,280,"fagus sylvatica"
"103",6901,94,2000,280,"fagus sylvatica"
"104",6915,94,2000,280,"fagus sylvatica"
"105",6909,86,2000,281,"fagus sylvatica"
"106",6927,86,2000,281,"fagus sylvatica"
"107",6926,94,2000,281,"fagus sylvatica"
"108",6909,94,2000,282,"fagus sylvatica"
"109",6943,94,2000,282,"fagus sylvatica"
"110",6935,86,2000,284,"fagus sylvatica"
"111",6939,86,2000,284,"fagus sylvatica"
"112",6907,94,2000,284,"fagus sylvatica"
"113",6929,94,2000,284,"fagus sylvatica"
"114",6945,94,2000,285,"fagus sylvatica"
"115",6915,86,2000,286,"fagus sylvatica"
"116",6936,94,2000,287,"fagus sylvatica"
"117",6917,86,2000,289,"fagus sylvatica"
"118",6887,94,2000,289,"fagus sylvatica"
"119",6931,94,2000,289,"fagus sylvatica"
"120",6888,94,2000,290,"fagus sylvatica"
"121",6941,94,2000,292,"fagus sylvatica"
"122",7026,94,2000,293,"fagus sylvatica"
"123",6894,94,2000,294,"fagus sylvatica"
"124",6906,94,2000,294,"fagus sylvatica"
"125",6894,86,2000,298,"fagus sylvatica"
"126",6885,94,2000,302,"fagus sylvatica"
"127",6897,86,2000,303,"fagus sylvatica"
"128",6906,86,2000,304,"fagus sylvatica"
"129",6890,94,2000,307,"fagus sylvatica"
"130",6929,11,2001,97,"fagus sylvatica"
"131",6895,11,2001,100,"fagus sylvatica"
"132",6897,11,2001,102,"fagus sylvatica"
"133",6916,11,2001,106,"fagus sylvatica"
"134",6909,11,2001,108,"fagus sylvatica"
"135",6925,11,2001,108,"fagus sylvatica"
"136",6931,11,2001,109,"fagus sylvatica"
"137",6926,11,2001,110,"fagus sylvatica"
"138",6906,11,2001,110,"fagus sylvatica"
"139",6939,11,2001,110,"fagus sylvatica"
"140",6945,11,2001,110,"fagus sylvatica"
"141",6921,11,2001,111,"fagus sylvatica"
"142",6923,11,2001,111,"fagus sylvatica"
"143",6898,11,2001,112,"fagus sylvatica"
"144",6934,11,2001,112,"fagus sylvatica"
"145",6933,11,2001,112,"fagus sylvatica"
"146",6888,11,2001,112,"fagus sylvatica"
"147",6943,11,2001,112,"fagus sylvatica"
"148",6919,11,2001,112,"fagus sylvatica"
"149",6912,11,2001,113,"fagus sylvatica"
"150",6936,11,2001,114,"fagus sylvatica"
"151",6900,11,2001,114,"fagus sylvatica"
"152",6887,11,2001,115,"fagus sylvatica"
"153",6885,11,2001,116,"fagus sylvatica"
"154",6922,11,2001,116,"fagus sylvatica"
"155",6903,11,2001,116,"fagus sylvatica"
"156",6905,11,2001,116,"fagus sylvatica"
"157",6907,11,2001,118,"fagus sylvatica"
"158",6932,11,2001,118,"fagus sylvatica"
"159",6949,11,2001,119,"fagus sylvatica"
"160",7026,11,2001,119,"fagus sylvatica"
"161",6894,11,2001,119,"fagus sylvatica"
"162",6927,11,2001,119,"fagus sylvatica"
"163",6910,11,2001,120,"fagus sylvatica"
"164",6924,11,2001,121,"fagus sylvatica"
"165",6904,11,2001,121,"fagus sylvatica"
"166",6948,11,2001,122,"fagus sylvatica"
"167",6890,11,2001,123,"fagus sylvatica"
"168",6917,11,2001,123,"fagus sylvatica"
"169",6941,11,2001,124,"fagus sylvatica"
"170",6915,11,2001,125,"fagus sylvatica"
"171",6938,11,2001,128,"fagus sylvatica"
"172",6908,11,2001,128,"fagus sylvatica"
"173",6946,11,2001,135,"fagus sylvatica"
"174",6913,11,2001,137,"fagus sylvatica"
"175",6903,94,2001,240,"fagus sylvatica"
"176",6904,94,2001,241,"fagus sylvatica"
"177",6946,94,2001,248,"fagus sylvatica"
"178",6925,86,2001,251,"fagus sylvatica"
"179",6904,86,2001,254,"fagus sylvatica"
"180",6885,86,2001,255,"fagus sylvatica"
